Clone name,Pathogen,Species,Reaction,Part
AC T 1 /5 [TTO],Ceratosystis,,tolerant,
AC T 1 /9 [TTO],Ceratosystis,,tolerant,
ACU 85,Phytophthora,P. palmivora,tolerant,Pod
AX 3 /25,Ceratosystis,,tolerant,
B 12 [POU],Phytophthora,P. palmivora,tolerant,Pod
C 176 /P-176 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 23 [TRI],Swollen Shoot,,tolerant,
C 25 /P-25 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 26 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 34 /P-10 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 45 /P-45 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 50 /P-50 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 73 [TRI],Phytophthora,P. palmivora,tolerant,Pod
C 77 [TRI],Swollen Shoot,,tolerant,
C 83 /P-105 [TRI],Ceratosystis,,tolerant,
C 87 /137 [TRI],Ceratosystis,,tolerant,
C 87 /P-146 [TRI],Ceratosystis,,tolerant,
C 88 /P-111 [TRI],Ceratosystis,,tolerant,
C 90 /P-62 [TRI],Ceratosystis,,tolerant,
C 91 /P-64 [TRI],Ceratosystis,,tolerant,
C 91 /P-64 [TRI],Ceratosystis,,tolerant,
C 94 /P-25 [TRI],Ceratosystis,,tolerant,
C 94 /P-35 [TRI],Ceratosystis,,tolerant,
C 94 /P-48 [TRI],Ceratosystis,,tolerant,
CAS 1,Phytophthora,P. palmivora,tolerant,Pod
CAS 2,Phytophthora,P. palmivora,tolerant,Pod
CATONGO,Phytophthora,P. palmivora,tolerant,Pod
CC 3,Phytophthora,P. palmivora,tolerant,Pod
CC 38,Phytophthora,P. palmivora,tolerant,Pod
CC 41,Phytophthora,P. palmivora,tolerant,Pod
CC 42,Phytophthora,P. palmivora,tolerant,Pod
CF 176,Phytophthora,P. palmivora,tolerant,Pod
CHICO,Phytophthora,P. palmivora,tolerant,Pod
CLP 170 [VEN],Witches' Broom,,tolerant,
CLP 63 [VEN],Witches' Broom,,tolerant,
COMUM TIPICO,Phytophthora,P. palmivora,tolerant,Pod
CUI 38 [VEN],Witches' Broom,,tolerant,
D 70 [POS],Phytophthora,P. palmivora,tolerant,Pod
DE 52 /B,Ceratosystis,,tolerant,
EEG 8,Phytophthora,P. palmivora,tolerant,Pod
EET 121 [ECU],Ceratosystis,,tolerant,
EET 129 [ECU],Ceratosystis,,tolerant,
EET 272 [ECU],Ceratosystis,,tolerant,
EET 376 [ECU],Phytophthora,P. palmivora,tolerant,Pod
EET 377 [ECU],Witches' Broom,,tolerant,
EET 381 [ECU],Witches' Broom,,tolerant,
EET 392 [ECU],Witches' Broom,,tolerant,
EET 399 [ECU],Witches' Broom,,tolerant,
EET 399 [ECU],Ceratosystis,,tolerant,
EET 400 [ECU],Witches' Broom,,tolerant,
EET 400 [ECU],Ceratosystis,,tolerant,
EET 404 [ECU],Witches' Broom,,tolerant,
EET 407 [ECU],Ceratosystis,,tolerant,
EET 409 [ECU],Ceratosystis,,tolerant,
EET 48 [ECU],Ceratosystis,,tolerant,
EET 58 [ECU],Ceratosystis,,tolerant,
EET 59 [ECU],Phytophthora,P. palmivora,tolerant,Pod
EET 61 [ECU],Ceratosystis,,tolerant,
EET 96 [ECU],Ceratosystis,,tolerant,
F 85 [CIV],Swollen Shoot,,tolerant,
GA 11 [HAI],Phytophthora,P. palmivora,tolerant,Pod
GS 50,Phytophthora,P. palmivora,tolerant,Pod
ICS 1,Phytophthora,P. palmivora,tolerant,Pod
ICS 1,Witches' Broom,,tolerant,
ICS 38,Witches' Broom,,tolerant,
ICS 43,Phytophthora,P. palmivora,tolerant,Pod
