SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID
AMAZ-12,AMAZ 12,genomic,SRR9938280 NCBI ENA,SRX6686843,SAMN12500392,CRI001,P000003
AMAZ-12,AMAZ 12,genomic,SRR9938279 NCBI ENA,SRX6686844,SAMN12500392,CRI001,P000003
AMAZ-12,AMAZ 12,genomic,SRR9938273 NCBI ENA,SRX6686850,SAMN12500392,CRI001,P000003
AMAZ-12,AMAZ 12,genomic,SRR14022545 NCBI ENA,SRX10399130,SAMN12500392,CRI001,P000003
AMAZ-12,AMAZ 12,genomic,SRR14022544 NCBI ENA,SRX10399131,SAMN12500392,CRI001,P000003
AMAZ-12,AMAZ 12,transcriptomic,SRR9938231 NCBI ENA,SRX6686892,SAMN12500392,CRI001,P000003
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938290 NCBI ENA,SRX6686833,SAMN12500390,CRI001,P000004
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938289 NCBI ENA,SRX6686834,SAMN12500390,CRI001,P000004
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938284 NCBI ENA,SRX6686839,SAMN12500390,CRI001,P000004
Amaz-15/15,AMAZ 15 /15,genomic,SRR14022549 NCBI ENA,SRX10399126,SAMN12500390,CRI001,P000004
Amaz-15/15,AMAZ 15 /15,genomic,SRR14022548 NCBI ENA,SRX10399127,SAMN12500390,CRI001,P000004
Amaz-15/15,AMAZ 15 /15,transcriptomic,SRR9938229 NCBI ENA,SRX6686894,SAMN12500390,CRI001,P000004
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938283 NCBI ENA,SRX6686840,SAMN12500389,CRI001,P000007
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938282 NCBI ENA,SRX6686841,SAMN12500389,CRI001,P000007
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938281 NCBI ENA,SRX6686842,SAMN12500389,CRI001,P000007
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR14022551 NCBI ENA,SRX10399124,SAMN12500389,CRI001,P000007
