Clone name,Population
AMAZ 12,Iquitos
AMAZ 15 /15,Iquitos
COCA 3370 /5 [CHA],Iquitos
ELP 37 A,Guiana
GU 123 /V,Guiana
GU 195 /V,Guiana
GU 257 /E,Guiana
IMC 105,Iquitos
IMC 31,Iquitos
IMC 57,Iquitos
IMC 60,Iquitos
KER 1-L,Guiana
KER 6,Guiana
NA 246,Maranon
NA 33,Nanay
NA 34,Nanay
NA 70,Nanay
NA 710,Nanay
NA 807,Nanay
NA 916,Nanay
OYA 2 B,Guiana
PA 107 [PER],Maranon
PA 13 [PER],Maranon
PA 16 [PER],Maranon
PA 279 [PER],Maranon
PA 299 [PER],Maranon
PA 71 [PER],Maranon
PA 81 [PER],Maranon
PINA,Guiana
POUND 7,Nanay
SPEC 54 /1,Iquitos
