Clone name,Number,Number (max),Length,Width,Wet weight
GF 19,34.7,46,-,-,-
GF 20,35.7,47,-,-,-
GF 21,34.7,46,-,-,-
GF 22,34.4,46,-,-,-
GF 23,36.9,49,22.5,10.8,2.40
GF 24,39.8,53,-,-,-
GF 25,39.5,50,21.9,11.4,2.50
GF 26,39.7,48,24.6,11.3,2.30
GF 27,33.3,49,25.5,13.8,4.00
GF 29,39.6,49,22.8,13.3,3.10
GF 30,40.3,49,24.3,11.9,2.70
GF 31,38.7,48,25.2,12.0,2.30
GF 32,42.1,54,24.6,12.6,2.60
GF 34,37.8,48,25.7,13.9,3.50
GF 35,33.4,48,24.5,12.8,3.40
GU 1,35.2,63,-,-,2.50
GU 11,-,55,-,-,2.90
GU 113,32.5,34,-,-,2.10
GU 116,30.7,42,-,-,3.40
GU 116 /A,21.9,44,24.7,13.9,3.40
GU 12,42.4,48,-,-,2.90
GU 129 /A,28.1,44,22.0,12.5,2.70
GU 13,41.8,52,-,-,2.40
GU 131 /A,25.8,40,22.3,12.4,2.90
GU 134,30.3,42,-,-,2.70
GU 134 /A,21.8,35,23.1,12.8,2.90
GU 134 /B,22.1,40,22.7,13.0,3.10
GU 139,32.1,44,-,-,3.50
GU 139 /A,33.8,49,25.1,13.1,3.60
GU 14,39.0,50,-,-,3.00
GU 142 /A,22.9,46,22.6,12.5,2.70
GU 143,26.3,43,-,-,2.90
GU 143 /A,22.0,44,23.2,12.3,2.80
GU 145 /A,27.5,48,-,-,2.80
GU 146,30.0,37,-,-,4.30
GU 146 /A,28.5,49,24.8,13.1,3.40
GU 15,36.5,48,-,-,2.80
GU 157 /A,32.6,47,23.8,12.5,3.50
GU 160 /A,28.8,45,22.8,12.1,2.80
GU 161,28.9,38,-,-,2.10
GU 161 /A,27.0,41,23.4,12.3,3.10
GU 163 /A,23.5,40,22.9,13.0,2.60
GU 165 /A,30.3,41,21.7,11.9,2.40
GU 17,38.2,47,-,-,2.90
GU 18,38.0,46,-,-,2.40
GU 180,14.7,18,-,-,4.20
GU 182,34.5,36,-,-,3.20
GU 182 /A,21.5,40,23.5,12.1,2.80
GU 186,31.6,42,-,-,2.20
GU 186 /A,27.1,43,25.2,12.9,2.60
GU 19,35.2,48,-,-,2.70
GU 199,30.0,32,-,-,2.70
GU 2,35.9,62,-,-,2.90
GU 20,37.7,48,-,-,2.50
GU 202,36.0,36,-,-,2.20
GU 203,33.0,35,-,-,3.10
GU 205,26.5,32,-,-,1.90
GU 208,32.3,35,-,-,2.80
GU 21,40.0,50,-,-,2.30
GU 214 /A,29.7,39,24.2,12.6,3.00
GU 218,35.3,47,-,-,1.40
GU 218 /A,26.1,45,22.1,12.1,2.80
GU 22,35.9,48,-,-,2.10
GU 225,26.4,42,-,-,2.40
GU 225 /A,27.2,46,22.9,13.6,3.00
GU 227,31.5,34,-,-,2.90
GU 228,30.0,35,-,-,3.20
GU 228 /A,26.0,45,26.0,13.3,3.10
GU 23,37.4,48,-,-,2.90
GU 230,24.0,26,-,-,2.70
GU 230 /A,18.7,37,23.0,12.9,2.80
GU 236,31.0,38,-,-,1.90
GU 236 /A,26.3,41,24.1,12.6,2.60
GU 238 /A,31.9,43,22.8,11.7,3.20
GU 240 /A,23.6,41,21.8,11.2,2.70
GU 245 /A,18.2,39,21.0,11.1,2.70
GU 252,28.3,37,-,-,2.30
GU 254 /A,31.2,44,20.4,11.0,2.20
GU 256,37.0,47,-,-,1.40
GU 26,42.0,49,-,-,3.10
GU 266 /A,33.8,47,21.6,11.9,3.10
GU 268,30.4,42,-,-,2.10
GU 268 /A,28.4,44,22.4,11.8,2.70
GU 27,40.7,51,-,-,2.40
GU 272,33.6,43,-,-,2.10
GU 276,33.4,44,-,-,2.40
GU 276 /A,32.6,46,21.7,12.8,2.80
GU 278,31.2,39,-,-,2.50
GU 278 /A,29.2,44,24.3,12.5,3.00
GU 279 /B,26.7,41,23.8,13.5,3.80
GU 280 /A,33.1,44,22.8,12.3,2.90
GU 285,34.9,43,-,-,3.20
GU 285 /A,35.2,46,24.9,13.2,3.50
GU 292,28.6,42,-,-,2.60
GU 292 /A,28.7,43,24.4,12.6,3.10
GU 297,33.4,42,-,-,2.40
GU 297 /A,28.8,45,23.4,12.3,2.70
GU 3,39.5,50,-,-,3.10
GU 301 /A,28.8,41,21.9,12.0,2.60
GU 303,29.9,39,-,-,2.90
GU 303 /A,16.6,41,24.7,13.2,3.30
GU 308,25.0,38,-,-,3.20
GU 308 /A,28.6,44,21.8,10.9,3.10
GU 309 /A,25.5,44,21.8,11.4,3.00
GU 315,29.5,37,-,-,3.40
GU 315 /A,31.4,46,23.4,12.6,3.80
GU 319,34.5,37,-,-,2.30
GU 321,29.2,37,-,-,2.90
GU 321 /A,22.5,39,23.3,11.5,2.90
GU 323,30.7,38,-,-,2.70
GU 323 /A,24.0,38,23.3,12.1,3.10
GU 325,28.2,37,-,-,3.00
GU 325 /A,24.1,42,22.8,12.6,3.40
GU 33,37.7,49,-,-,2.50
GU 331,33.7,40,-,-,3.00
GU 331 /A,26.4,42,23.5,12.9,2.70
GU 334,27.0,44,-,-,3.30
GU 334 /A,23.5,40,22.1,11.4,3.00
GU 338,29.5,30,-,-,2.30
GU 34,39.0,50,-,-,2.30
GU 342,26.9,37,-,-,1.90
GU 342 /A,22.9,41,23.7,12.0,2.80
GU 36,35.0,48,-,-,3.20
GU 361,42.1,48,-,-,3.10
GU 362,33.2,46,-,-,3.00
GU 363,35.0,51,-,-,3.10
GU 364,30.7,45,-,-,2.70
GU 366,36.0,52,-,-,3.00
GU 367,37.7,48,-,-,3.00
GU 369,40.8,45,-,-,3.50
GU 38,32.5,47,-,-,3.80
GU 39,39.7,50,-,-,2.40
GU 4,-,49,-,-,3.00
GU 40,39.7,46,-,-,2.90
GU 5,40.9,54,-,-,3.40
GU 6,-,44,-,-,3.10
GU 8,-,48,-,-,2.30
GU 9,-,51,-,-,2.60
