Clone name,Basal constriction,Apex form,Length,Breadth,Weight,Length breadth ratio
GF 19,-,-,-,-,311.0,-
GF 20,-,-,-,-,456.0,-
GF 21,-,-,-,-,337.0,-
GF 22,-,-,-,-,290.0,-
GF 23,-,-,121.0,82.0,346.0,1.47
GF 24,-,-,-,-,390.0,-
GF 25,-,-,129.0,82.0,378.0,1.57
GF 26,-,-,124.0,80.0,346.0,1.55
GF 27,-,-,202.0,93.0,722.0,2.17
GF 29,-,-,147.0,83.0,426.0,1.77
GF 30,-,-,145.0,84.0,459.0,1.72
GF 31,-,-,114.0,79.0,318.0,1.44
GF 32,-,-,142.0,83.0,432.0,1.71
GF 34,-,-,156.0,91.0,594.0,1.71
GF 35,-,-,152.0,84.0,472.0,1.80
GF 36,-,-,-,-,390.0,-
GF 39,-,-,-,-,520.0,-
GF 42,-,-,-,-,450.0,-
GF 43,-,-,-,-,430.0,-
GF 44,-,-,-,-,300.0,-
GF 45,-,-,-,-,460.0,-
GF 48,-,-,-,-,260.0,-
GF 49,-,-,-,-,380.0,-
GU 1,-,-,128.0,85.0,406.0,1.50
GU 11,-,-,133.0,83.0,393.0,1.60
GU 113,-,attenuate,134.0,70.0,313.0,1.91
GU 116,very slight,-,141.0,81.0,429.0,1.74
GU 116 /A,-,-,129.0,77.0,331.0,1.67
GU 12,very slight,-,139.0,88.0,472.0,1.57
GU 129 /A,-,-,135.0,81.0,360.0,1.66
GU 13,-,-,139.0,81.0,382.0,1.71
GU 131 /A,very slight,-,154.0,77.0,384.0,2.00
GU 134,very slight,-,155.0,81.0,431.0,1.91
GU 134 /A,-,-,138.0,78.0,356.0,1.76
GU 134 /B,-,-,151.0,80.0,416.0,1.88
GU 139,-,-,163.0,87.0,523.0,1.87
GU 139 /A,-,-,175.0,87.0,545.0,2.01
GU 14,-,-,141.0,89.0,482.0,1.58
GU 142 /A,-,-,152.0,73.0,345.0,2.08
GU 143,very slight,-,151.0,77.0,399.0,1.96
GU 143 /A,-,attenuate,142.0,75.0,349.0,1.89
GU 145 /A,-,attenuate,147.0,74.0,359.0,1.98
GU 146,very slight,-,166.0,86.0,564.0,1.93
GU 146 /A,-,attenuate,156.0,85.0,483.0,1.83
GU 15,-,-,126.0,82.0,340.0,1.53
GU 157 /A,-,-,195.0,88.0,621.0,2.21
GU 160 /A,-,attenuate,139.0,78.0,354.0,1.78
GU 161,-,attenuate,153.0,82.0,384.0,1.86
GU 161 /A,-,-,161.0,83.0,471.0,1.93
GU 163 /A,-,-,146.0,82.0,442.0,1.78
GU 165 /A,-,-,132.0,81.0,363.0,1.62
GU 17,-,-,128.0,86.0,403.0,1.48
GU 18,-,-,126.0,83.0,369.0,1.51
GU 180,very slight,attenuate,168.0,85.0,485.0,1.97
GU 182,very slight,attenuate,181.0,96.0,645.0,1.88
GU 182 /A,-,attenuate,134.0,74.0,307.0,1.81
GU 186,-,attenuate,146.0,78.0,357.0,1.87
GU 186 /A,-,attenuate,147.0,79.0,381.0,1.86
GU 19,-,-,126.0,84.0,370.0,1.50
GU 199,very slight,attenuate,150.0,77.0,397.0,1.94
GU 2,-,-,138.0,89.0,440.0,1.55
GU 20,very slight,-,129.0,82.0,358.0,1.57
GU 202,very slight,attenuate,172.0,87.0,542.0,1.97
GU 203,very slight,attenuate,138.0,75.0,427.0,1.84
GU 205,very slight,attenuate,125.0,80.0,254.0,1.56
GU 208,very slight,attenuate,130.0,73.0,304.0,1.78
GU 21,-,-,135.0,82.0,361.0,1.64
GU 214 /A,-,-,138.0,79.0,409.0,1.74
GU 218,very slight,attenuate,106.0,63.0,167.0,1.68
GU 218 /A,-,attenuate,135.0,77.0,337.0,1.75
GU 22,-,-,155.0,71.0,305.0,2.18
GU 225,-,attenuate,129.0,75.0,280.0,1.72
GU 225 /A,-,-,137.0,80.0,363.0,1.71
GU 227,very slight,attenuate,141.0,80.0,369.0,1.76
GU 228,very slight,attenuate,164.0,90.0,575.0,1.82
GU 228 /A,-,-,147.0,82.0,430.0,1.79
GU 23,-,-,137.0,83.0,398.0,1.65
GU 230,very slight,attenuate,137.0,83.0,415.0,1.65
GU 230 /A,-,-,116.0,78.0,319.0,1.48
GU 236,very slight,attenuate,135.0,75.0,278.0,1.80
GU 236 /A,-,-,139.0,79.0,371.0,1.75
GU 238 /A,-,attenuate,146.0,86.0,494.0,1.69
GU 240 /A,-,-,125.0,79.0,322.0,1.58
GU 245 /A,-,attenuate,126.0,75.0,311.0,1.68
GU 252,very slight,attenuate,134.0,74.0,295.0,1.81
GU 254 /A,-,-,146.0,73.0,337.0,2.00
GU 256,very slight,attenuate,150.0,73.0,274.0,2.05
GU 26,-,-,134.0,84.0,407.0,1.59
