Clone name,Colour purple,Colour light purple,Colour white,Size,Number,Length,Width,Thickness,Total wet weight,Wet weight,Cotyledon wet weight,Cotyledon dry weight
BACAO,-,-,100,medium,29.5,18.4,13.0,6.8,148.9,1.30,0.91,0.82
HUILA A,-,-,-,large,-,26.1,15.3,10.2,-,-,-,-
RIO GUAPI,89,10,1,medium,3.0,20.1,12.3,7.9,60.1,1.64,1.40,0.89
SC 1 [COL],26,65,9,large,26.9,25.0,14.8,10.7,99.8,2.78,2.23,1.53
SC 10 [COL],41,53,6,medium,29.1,23.9,14.3,10.3,109.1,2.20,1.94,1.12
SC 11 [COL],22,66,12,large,24.1,25.6,15.6,11.9,97.8,2.71,2.36,1.35
SC 12 [COL],53,40,7,medium,24.1,22.4,14.9,10.9,102.8,2.46,2.33,1.44
SC 13 [COL],25,68,7,large,31.8,25.0,14.8,11.6,94.5,2.96,2.51,1.65
SC 14 [COL],76,24,-,medium,30.0,24.6,14.9,9.6,99.7,2.45,2.16,1.47
SC 15 [COL],60,37,3,medium,27.1,24.9,14.2,10.4,103.5,2.96,2.34,1.62
SC 16 [COL],32,29,19,large,28.3,26.0,15.3,12.1,111.0,2.42,2.30,1.51
SC 17 [COL],67,17,4,medium,30.5,24.4,14.7,10.2,95.7,2.46,2.11,1.39
SC 18 [COL],70,21,-,large,24.6,25.1,14.6,9.3,77.9,2.32,2.10,1.34
SC 19 [COL],45,43,12,large,22.5,25.4,14.9,10.4,68.7,3.13,2.35,1.63
SC 2 [COL],61,32,7,large,33.2,25.5,14.9,10.6,135.8,2.61,2.17,1.41
SC 20 [COL],48,42,10,large,26.8,25.7,15.4,10.4,119.2,2.67,2.15,1.54
SC 21 [COL],40,10,50,medium,28.7,24.9,14.8,10.4,105.3,2.82,2.42,1.35
SC 22 [COL],50,17,33,medium,30.3,22.8,15.1,9.8,123.6,2.57,2.22,1.49
SC 23 [COL],19,46,35,large,31.7,25.0,15.5,12.2,109.7,2.90,2.63,1.63
SC 28 [COL],46,45,5,medium,34.1,23.9,13.6,11.0,124.4,2.78,2.37,2.15
SC 29 [COL],44,38,9,medium,26.4,23.6,14.5,10.8,92.1,2.69,2.37,1.62
SC 3 [COL],75,25,0,medium,28.1,24.3,19.7,10.1,103.6,2.58,2.28,1.54
SC 30 [COL],45,51,4,medium,28.1,23.4,14.7,10.8,99.0,2.46,2.23,1.55
SC 31 [COL],39,47,14,large,29.6,25.2,16.5,11.1,107.7,2.51,2.35,1.43
SC 33 [COL],60,33,7,large,31.5,25.1,14.8,10.0,97.7,2.46,2.06,1.90
SC 35 [COL],50,48,2,large,31.2,26.4,14.9,10.7,101.6,2.54,2.28,1.51
SC 37 [COL],56,30,14,medium,27.2,21.9,12.9,8.7,108.7,2.21,2.06,1.54
SC 38 [COL],35,44,16,medium,32.9,24.2,14.3,10.9,97.1,2.73,2.43,1.58
SC 40 [COL],45,21,34,medium,30.2,23.3,16.1,9.9,148.1,2.18,1.95,1.40
SC 41 [COL],51,45,4,medium,21.4,23.2,14.1,11.1,58.6,1.45,1.37,1.41
SC 42 [COL],58,34,8,medium,28.5,23.8,14.0,10.0,121.2,2.42,2.34,1.59
SC 45 [COL],27,71,2,large,23.9,25.5,15.5,11.3,130.2,2.82,2.55,1.61
SC 47 [COL],44,55,1,medium,23.8,23.0,14.0,10.3,68.7,1.91,1.79,1.13
SC 48 [COL],35,35,-,medium,25.2,23.6,13.6,10.6,96.3,2.36,2.22,1.37
SC 49 [COL],17,79,4,medium,27.8,23.1,13.8,10.4,102.9,2.70,2.47,1.51
SC 5 [COL],69,22,9,medium,29.2,23.5,13.8,10.5,102.1,2.63,2.36,1.60
SC 50 [COL],32,62,6,large,25.3,26.4,15.5,10.4,81.6,2.19,2.01,1.41
SC 51 [COL],55,31,14,medium,31.3,20.1,12.9,9.9,74.8,1.85,1.39,1.06
SC 54 [COL],95,5,-,large,26.6,26.8,17.3,11.9,107.6,-,-,-
SC 55 [COL],83,13,4,medium,33.1,21.8,13.4,7.4,66.3,1.65,1.45,0.90
SC 56 [COL],15,43,20,medium,34.5,20.3,12.5,10.6,83.9,1.68,1.53,0.91
SC 6 [COL],34,55,11,medium,26.6,23.3,14.2,9.8,106.4,2.42,2.17,1.49
SC 8 [COL],59,41,0,large,29.6,25.1,14.1,10.4,117.4,2.57,2.21,1.43
SC 9 [COL],42,53,5,large,30.3,25.1,14.6,10.1,118.2,2.61,2.44,1.64
SPA 10 [COL],94,6,0,medium,31.6,22.9,11.3,8.5,94.2,1.60,1.30,0.98
SPA 11 [COL],97,3,0,medium,31.6,22.4,12.3,7.7,76.6,1.32,1.17,0.93
SPA 12 [COL],91,8,1,medium,41.6,24.3,13.1,8.0,107.9,1.78,1.58,1.16
SPA 13 [COL],91,9,-,medium,23.6,25.0,13.0,8.6,102.4,1.87,1.54,1.17
SPA 14 [COL],100,-,-,small,36.1,19.4,11.4,7.9,68.0,1.30,1.00,0.77
SPA 15 [COL],96,4,-,medium,38.6,20.8,11.4,7.2,97.3,1.45,1.17,0.92
SPA 16 [COL],98,2,-,medium,36.2,20.9,12.1,7.0,82.9,1.54,1.09,0.93
SPA 17 [COL],99,-,1,medium,30.4,19.5,10.7,7.2,71.4,1.31,1.10,0.91
SPA 18 [COL],100,-,-,medium,36.2,20.4,11.7,7.3,87.7,1.34,1.18,0.96
SPA 2 [COL],91,9,0,medium,36.4,21.9,11.4,8.0,90.7,1.54,1.31,0.96
SPA 20 [COL],98,2,-,medium,41.2,20.5,10.7,6.9,82.1,1.23,0.93,0.70
SPA 22 [COL],100,-,-,medium,30.9,20.0,11.1,7.5,64.2,1.29,1.15,0.89
SPA 3 [COL],88,12,-,medium,30.5,22.5,13.3,8.9,84.6,1.54,1.36,0.92
SPA 3 [COL],87,13,-,medium,31.3,19.5,10.7,7.0,75.6,1.38,1.29,0.87
SPA 6 [COL],77,22,1,medium,36.5,22.0,12.8,7.9,94.3,1.71,1.27,1.02
SPA 7 [COL],78,22,0,medium,38.7,20.8,11.9,8.1,102.3,1.69,1.40,1.01
SPA 8 [COL],99,-,1,medium,34.1,21.9,12.0,8.2,84.2,1.31,1.06,0.94
SPA 9 [COL],89,11,-,medium,31.1,19.6,10.8,6.9,80.3,1.24,1.12,0.82
