Clone name,Testa
BACAO,24.24
RIO GUAPI,9.12
SC 1 [COL],10.52
SC 10 [COL],6.16
SC 11 [COL],6.22
SC 12 [COL],6.67
SC 13 [COL],9.66
SC 14 [COL],7.57
SC 15 [COL],7.13
SC 16 [COL],7.63
SC 17 [COL],5.37
SC 18 [COL],11.65
SC 19 [COL],6.33
SC 2 [COL],4.96
SC 20 [COL],8.87
SC 21 [COL],6.39
SC 22 [COL],7.03
SC 23 [COL],4.71
SC 28 [COL],5.61
SC 29 [COL],5.73
SC 3 [COL],5.69
SC 30 [COL],5.5
SC 31 [COL],6.18
SC 33 [COL],7.11
SC 35 [COL],7.82
SC 37 [COL],7.18
SC 38 [COL],6.73
SC 40 [COL],6.97
SC 41 [COL],5.89
SC 42 [COL],6.04
SC 45 [COL],5.06
SC 47 [COL],7.58
SC 48 [COL],4.92
SC 49 [COL],1.86
SC 5 [COL],5.01
SC 50 [COL],5.89
SC 51 [COL],8.9
SC 55 [COL],7.64
SC 56 [COL],3.29
SC 6 [COL],5.72
SC 8 [COL],3.04
SC 9 [COL],7.6
SPA 10 [COL],10.56
SPA 11 [COL],7.34
SPA 12 [COL],12.65
SPA 13 [COL],7.17
SPA 14 [COL],8.14
SPA 15 [COL],8.32
SPA 16 [COL],6.13
SPA 17 [COL],7.53
SPA 18 [COL],10.0
SPA 2 [COL],7.7
SPA 20 [COL],8.22
SPA 22 [COL],6.81
SPA 3 [COL],4.35
SPA 3 [COL],10.2
SPA 6 [COL],8.45
SPA 7 [COL],9.6
SPA 8 [COL],6.14
SPA 9 [COL],7.57
