Clone name,Ligule colour,Petal length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ovary width,Ovary length,Ovary length width,Ovule number,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Self compatibility,Info,Notes
BACAO,moderate anthocyanin,3.50,intense anthocyanin,2.45,6.15,2.65,1.00,0.89,1.12,-,1.42,1.95,1.37,37,1.0,deep violet,5.00,6.4,present,present,-,Translation of Pantone colour codes.,Accession 55
HUILA A,anthocyanin absent,10.30,anthocyanin absent,2.20,8.7,4.14,3.20,2.56,1.25,4.00,1.0,1.2,1.2,41,2.0,dark purple,8.73,9.85,present,present,-,Translation of Pantone colour codes.,Accession 51
PENTAGONA /R,anthocyanin absent,11.00,moderate anthocyanin,2.00,7.6,3.80,2.56,2.83,0.94,4.26,1.0,1.1,1.1,37,2.0,dull green,7.10,12.3,present,present,-,Translation of Pantone colour codes.,Accession 54
PENTAGONA /V,anthocyanin absent,9.10,moderate anthocyanin,2.00,7.8,3.90,2.00,2.01,0.99,4.00,1.0,1.1,1.1,44,2.0,dark purple,6.70,10.95,present,present,self incompatible,Translation of Pantone colour codes.,Accession 53
RIO GUAPI,anthocyanin absent,9.50,slight anthocyanin,2.00,8.55,4.27,2.23,2.00,1.11,4.00,1.0,1.15,1.15,40,2.0,dark purple,6.10,12.5,present,present,-,Translation of Pantone colour codes.,Accession 52
SC 1 [COL],anthocyanin absent,11.40,slight anthocyanin,2.25,7.87,3.49,3.27,3.05,1.07,3.95,1.67,1.09,0.65,37,1.9,purplish red,7.26,16.0,present,present,self compatible,Translation of Pantone colour codes.,-
SC 10 [COL],anthocyanin absent,11.30,slight anthocyanin,2.00,8.0,4.00,3.30,3.00,1.10,4.00,1.0,1.0,1.0,38,2.6,purplish red,7.70,15.1,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 11 [COL],anthocyanin absent,11.50,anthocyanin absent,2.00,8.05,2.01,3.30,3.00,1.10,4.06,1.0,1.0,1.0,45,2.1,purplish red,6.20,15.1,present,present,self compatible,Translation of Pantone colour codes.,-
SC 12 [COL],anthocyanin absent,11.60,slight anthocyanin,2.40,9.04,3.76,4.00,3.20,1.25,4.66,1.0,1.0,1.0,41,2.6,dark magenta,7.10,14.8,present,present,self compatible,Translation of Pantone colour codes.,-
SC 13 [COL],anthocyanin absent,11.70,anthocyanin absent,2.00,7.8,3.90,4.05,3.00,1.35,4.09,1.0,1.0,1.0,44,2.3,magenta,7.63,12.2,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 14 [COL],anthocyanin absent,11.50,moderate anthocyanin,2.00,7.65,3.83,3.10,2.90,1.06,4.00,1.0,1.0,1.0,40,2.0,greyish magenta,6.66,16.3,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 15 [COL],anthocyanin absent,11.60,moderate anthocyanin,2.10,8.37,4.18,3.30,3.00,1.04,3.96,1.0,1.0,1.0,47,2.2,purplish red,6.95,17.1,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 16 [COL],anthocyanin absent,13.00,slight - moderate anthocyanin,2.16,8.25,3.81,3.26,3.00,1.08,4.13,1.0,1.05,1.05,41,2.0,purplish red,6.50,16.0,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 17 [COL],anthocyanin absent,10.90,anthocyanin absent,2.17,8.0,3.68,3.36,2.66,1.26,4.20,1.0,1.0,1.0,45,2.0,dark magenta,8.46,16.06,present,present,self compatible,Translation of Pantone colour codes.,-
SC 18 [COL],anthocyanin absent,11.70,moderate anthocyanin,2.30,8.25,3.58,3.06,3.10,1.02,4.13,1.0,1.18,1.18,43,2.0,purplish red,7.16,14.66,present,present,self compatible,Translation of Pantone colour codes.,-
SC 19 [COL],anthocyanin absent,11.80,anthocyanin absent,2.15,8.1,3.76,3.60,2.98,1.20,4.33,1.0,1.0,1.0,44,2.0,purplish red,7.30,14.65,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 2 [COL],anthocyanin absent,11.50,slight anthocyanin,2.50,8.5,3.40,3.13,3.06,1.02,4.00,1.0,1.0,1.0,42,2.0,purplish red,7.26,16.15,present,present,self compatible,Translation of Pantone colour codes.,-
SC 20 [COL],anthocyanin absent,15.70,intense anthocyanin,2.45,8.5,3.46,3.10,2.93,1.05,4.20,1.0,1.0,1.0,45,2.0,dark magenta,6.60,15.6,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 21 [COL],slight anthocyanin,11.60,slight anthocyanin,2.42,8.5,3.51,3.03,3.10,0.97,4.00,1.0,1.06,1.06,32,2.0,violet red,7.60,16.15,present,present,self compatible,Translation of Pantone colour codes.,-
SC 22 [COL],slight anthocyanin,10.30,moderate anthocyanin,2.35,8.4,3.59,2.93,3.10,0.94,4.06,0.99,0.99,1.0,40,2.5,violet red,7.13,16.0,present,present,self incompatible,Translation of Pantone colour codes.,-
SC 23 [COL],slight anthocyanin,10.60,intense anthocyanin,2.20,8.2,3.72,3.30,2.09,1.57,3.86,1.0,1.0,1.0,35,2.0,dark magenta,6.93,13.46,present,present,self compatible,Translation of Pantone colour codes.,-
SC 26 [COL],anthocyanin absent,12.50,intense anthocyanin,2.50,10.07,4.03,3.76,3.66,1.02,4.90,1.0,1.38,1.38,40,2.1,dark magenta,7.80,14.66,present,present,-,Translation of Pantone colour codes.,-
SC 27 [COL],anthocyanin absent,11.30,slight anthocyanin,2.30,8.1,3.52,3.06,2.93,1.04,4.26,1.0,1.07,1.07,38,2.0,purplish red,7.13,13.73,present,present,self compatible,Translation of Pantone colour codes.,-
