Clone name,Shape,Basal constriction,Apex form,Rugosity,Ridge desc,Husk thickness,Length,Breadth,Colour,Weight,Hardness,Length breadth ratio
BACAO,ovate,absent,rounded,smooth,"7 prominance of spacing 7 (ICA___DS, 7 and 7)",3.85 mm,123.8,82.3,yellow,398.0,very hard,1.50
HUILA A,oblong,slight,attenuate,slight,"2 prominance of spacing 3 (ICA___DS, 2 and 3)",-,-,-,yellow,-,soft,-
PENTAGONA /R,pentagona,moderate,acute,warty,-,-,-,-,-,-,soft,-
PENTAGONA /V,pentagona,moderate,acute,warty,-,-,-,-,red,-,soft,-
RIO GUAPI,oblong,slight,rounded,smooth,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.65 mm,131.1,82.2,yellow - orange,337.0,hard,1.59
SC 1 [COL],orbicular,moderate - slight,attenuate,slight,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.66 mm,186.0,85.0,brown,609.0,moderate,2.18
SC 10 [COL],elliptical,moderate,attenuate,intense,"7 prominance of spacing 5 (ICA___DS, 7 and 5)",0.50 mm,190.4,88.1,orange,649.0,soft,2.16
SC 11 [COL],orbicular,moderate - slight,attenuate,moderate,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.55 mm,179.3,76.5,yellow,476.0,soft,2.34
SC 12 [COL],orbicular,slight,attenuate,slight,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.53 mm,199.9,91.8,yellow,665.0,moderate,2.17
SC 13 [COL],orbicular,very slight,acute,intense,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.77 mm,211.1,95.5,yellow - orange,784.0,soft,2.21
SC 14 [COL],orbicular,slight,obtuse,slight,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.62 mm,190.3,90.3,red - orange,614.0,moderate,2.10
SC 15 [COL],orbicular,moderate - slight,attenuate,slight,"5 prominance of spacing 3 (ICA___DS, 5 and 3)",0.71 mm,193.7,94.3,red - yellow,599.0,moderate,2.05
SC 16 [COL],orbicular,moderate,attenuate,moderate,"5 prominance of spacing 3 (ICA___DS, 5 and 3)",0.75 mm,197.1,86.8,yellow,599.0,moderate,2.27
SC 17 [COL],orbicular,moderate - slight,obtuse,slight,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",0.53 mm,172.4,86.6,orange,615.0,moderate,1.99
SC 18 [COL],orbicular,very slight,attenuate,slight,"7 prominance of spacing 5 (ICA___DS, 7 and 5)",0.58 mm,164.9,91.3,yellow - brown,470.0,moderate,1.80
SC 19 [COL],orbicular,very slight,acute,moderate,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",0.53 mm,203.9,73.0,yellow - brown,622.0,moderate,2.79
SC 2 [COL],orbicular,moderate - slight,acute,moderate,"7 prominance of spacing 2 (ICA___DS, 7 and 2)",0.56 mm,199.4,85.6,red - brown,606.0,moderate,2.32
SC 20 [COL],orbicular,slight,attenuate,intense,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",0.65 mm,196.0,97.5,yellow,704.0,moderate,2.01
