Clone name,Length,Width,L w ratio,Basal angle,Apical angle,Petiole length,Pulvinus length,Notes
ALMEIDA,251.0,97.0,2.6,106.7,74.4,19,17,Data collected on 28/06/1991
AMAZ 12,250.0,86.0,2.9,106.5,60.4,11,14,Data collected on 15/10/1991
AMAZ 1 /5,327.0,116.0,3.2,114.7,60.3,25,18,Data collected on 26/04/1991
AMAZ 3 /2,272.0,100.0,2.7,115.9,69.8,25,18,Data collected on 07/03/1991
AMAZ 6,282.0,89.0,3.2,110.9,53.3,20,18,Data collected on 06/02/1991
B 12 /1 [POU],233.0,83.0,2.8,118.0,77.2,19,15,Data collected on 29/08/1991
B 13 /3 [POU],226.0,86.0,2.6,125.9,79.2,15,13,Data collected on 12/11/1991
B 14 /9 [POU],229.0,87.0,2.6,107.2,68.0,15,15,Data collected on 15/08/1991
B 18 /4 [POU],256.0,84.0,3.1,119.8,80.7,21,18,Data collected on 12/08/1991
B 18 /5 [POU],244.0,96.0,2.5,117.5,68.0,18,13,Data collected on 09/05/1991
B 23 /2 [POU],198.0,66.0,3.0,144.5,86.1,18,9,Data collected on 12/12/1991
B 5 /3 [POU],293.0,84.0,3.4,105.2,73.4,22,16,Data collected on 15/08/1991
B 7 /21 [POU],262.0,89.0,3.0,118.6,75.9,21,14,Data collected on 12/12/1991
B 7 /38 [POU],246.0,91.0,2.7,127.4,86.0,12,5,Data collected on 15/08/1991
B 8 /4 [POU],183.0,53.0,3.5,108.0,76.6,14,11,Data collected on 12/11/1991
CATONGO,293.0,113.0,2.6,105.2,69.0,19,18,Data collected on 28/06/1991
COCA 3343 /7 [CHA],309.0,92.0,3.3,142.4,53.8,16,11,Data collected on 31/05/1991
COCA 3348 /44 [CHA],258.0,87.0,3.0,103.5,65.7,20,15,Data collected on 31/05/1991
CRU 104,340.0,96.0,3.6,113.3,49.9,24,17,Data collected on 08/03/1991
CRUZ 7 /11,302.0,102.0,3.0,129.4,63.6,15,15,Data collected on 22/02/1991
