Clone name,Self compatibility
ICS 1,self compatible
ICS 101,self compatible
ICS 104,self compatible
ICS 12,self incompatible
ICS 2,self incompatible
ICS 25,self compatible
ICS 31,self compatible
ICS 36,self compatible
ICS 39,self incompatible
ICS 44,self compatible
ICS 45,self compatible
ICS 54,self compatible
ICS 55,self compatible
ICS 6,self compatible
ICS 60,self incompatible
ICS 67,self compatible
ICS 70,self compatible
ICS 8,self compatible
ICS 85,self compatible
ICS 9,self compatible
ICS 91,self compatible
ICS 95,self compatible
