Clone name,Female parent,Male parent,Parent,Station,Country,Region,Year,Status
DR 1,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1948,current
DR 2,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1948,current
DR 38,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1948,current
DRC 16,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1997,current
DRC 15,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2008,current
ICCRI 01,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2005,current
ICCRI 02,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2009,current
ICCRI 05,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,-,current
ICS 60,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980's,current
TSH 858,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980's,current
UIT 1,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980's,current
GC7 [IDN],-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1997,current
ICS 13,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1997,current
RCC 70,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1998,current
RCC 71,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1998,current
RCC 72,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1998,current
RCC 73,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1998,current
ICCRI 03,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2006,current
ICCRI 04,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2006,current
ICCRI 07,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2012,current
SCA 6,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2009,current
Sulawesi 01,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2008,current
Sulawesi 02,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2008,current
Sulawesi 03,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2012,current
ICCRI 09,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2019,current
MCC 01,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,2014,current
MCC 02,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,-,current
ICCRI 03,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,-,current
ICCRI 04,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,-,current
Sulawesi 02,-,-,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,-,current
-,-,-,ICS 60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,-,-,ICS 13,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,-,-,Sca 6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,-,-,Sca 12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,ICS 60,TSH 858,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,ICS 60,Sca 6,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,ICS 60,Sca 12,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,TSH 858,Sca 6,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,UIT 1,NA 33,-,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,-,1980s,-
-,-,-,ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,1990-2011,-
-,-,-,GC 7,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,1990-2011,-
-,-,-,UIT1,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,1990-2011,-
-,-,-,SCA6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,1990-2011,-
-,-,-,SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,East Java,1990-2011,-
