Clone name,Pathogen,Species,Reaction,Info,Part,Notes
AM 1 /53 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
AM 2 /6 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
AM 2 /82 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
AM 2 /92 [POU],Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
AMAZ 12,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
B 13 /6 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
B 23 /6 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
B 6 /3 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
B 6 /8 [POU],Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
CL 10 /5,Phytophthora,P. palmivora,resistant,Score: 1 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
CL 19 /10,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
CL 19 /31,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
CL 19 /49,Phytophthora,P. palmivora,moderate resistance,Score: 3 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
CLM 96,Phytophthora,P. palmivora,resistant,Score: 2 (1-8 Scale),Pod,"Fully grown, unripe detached pods (4-5 months old)."
