Clone name,Pathogen,Species,Reaction,Part,Notes
CATONGO,Phytophthora,P. palmivora,resistant,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
CATONGO,Phytophthora,P. palmivora,susceptible,Leaf,"Interflush 2, Unattached and punch inoculated"
CATONGO,Phytophthora,P. palmivora,resistant,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 1,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 1,Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and punch inoculated"
ICS 1,Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
ICS 40,Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
ICS 40,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 40,Phytophthora,P. palmivora,resistant,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
ICS 6,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 6,Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
ICS 6,Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
ICS 8,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 8,Phytophthora,P. palmivora,susceptible,Leaf,"Interflush 2, Unattached and punch inoculated"
ICS 8,Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
ICS 84,Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
ICS 84,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 84,Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
ICS 95,Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
ICS 95,Phytophthora,P. palmivora,susceptible,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
ICS 95,Phytophthora,P. palmivora,resistant,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
IMC 67,Phytophthora,P. palmivora,moderate resistance,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
IMC 67,Phytophthora,P. palmivora,susceptible,Leaf,"Interflush 2, Unattached and punch inoculated"
IMC 67,Phytophthora,P. palmivora,moderate resistance,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
PA 30 [PER],Phytophthora,P. palmivora,moderate resistance,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
PA 30 [PER],Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
PA 30 [PER],Phytophthora,P. palmivora,moderate resistance,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
PA 46 [PER],Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
PA 46 [PER],Phytophthora,P. palmivora,susceptible,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
PA 46 [PER],Phytophthora,P. palmivora,moderate resistance,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
SCA 12,Phytophthora,P. palmivora,moderate resistance,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
SCA 12,Phytophthora,P. palmivora,moderate resistance,Leaf,"Interflush 2, Unattached and punch inoculated"
SCA 12,Phytophthora,P. palmivora,moderate resistance,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
SCA 6,Phytophthora,P. palmivora,moderate resistance,Leaf (abaxial surface),"Interflush 2, Unattached and not wounded"
SCA 6,Phytophthora,P. palmivora,resistant,Leaf,"Interflush 2, Unattached and punch inoculated"
SCA 6,Phytophthora,P. palmivora,moderate resistance,Leaf (adaxial surface),"Interflush 2, Unattached and not wounded"
