Clone name,Pathogen,Species,Reaction,Part,Notes
AX 286,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
AX 286,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 9mm stab inoculated"
CLM 91,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
CLM 91,Phytophthora,P. capsici,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 43,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 43,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 9mm stab inoculated"
ICS 66,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 66,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 9mm stab inoculated"
ICS 85,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
ICS 85,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 9mm stab inoculated"
ICS 95,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 9mm stab inoculated"
ICS 95,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
IMC 30,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
IMC 30,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 9mm stab inoculated"
IMC 44,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
IMC 44,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 9mm stab inoculated"
IMC 49,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
IMC 49,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 9mm stab inoculated"
JA 10 /12 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
JA 10 /12 [POU],Phytophthora,P. capsici,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
JA 5 /25 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
JA 5 /25 [POU],Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 9mm stab inoculated"
JA 5 /39 [POU],Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
JA 5 /39 [POU],Phytophthora,P. capsici,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
MO 9,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
MO 9,Phytophthora,P. capsici,moderate resistance,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 186,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 186,Phytophthora,P. capsici,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 286,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 286,Phytophthora,P. capsici,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 90,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
NA 90,Phytophthora,P. capsici,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
SJ 2 /22 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
SJ 2 /22 [POU],Phytophthora,P. capsici,susceptible,Pod,"Unripe, Unattached and 3mm stab inoculated"
SLC 18,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
SLC 18,Phytophthora,P. capsici,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
SPA 7 [COL],Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and 3mm stab inoculated"
SPA 7 [COL],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and 9mm stab inoculated"
