Clone name,Pathogen,Species,Reaction,Part,Notes
AM 2 /62 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
B 18 /4 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CL 13 /17,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CL 15 /197,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CLEM /S-62-2,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and not wounded"
CLM 91,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Unattached and not wounded"
COCA 3310 /3 [CHA],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CRU 124,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
CRU 132,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CRU 19,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
CRU 37,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CRU 40,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
CRU 47,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
EET 162 [ECU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
EET 338 [ECU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
EET 397 [ECU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
GS 48,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
GS 62,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
GU 241,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Unattached and not wounded"
GU 305,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Unattached and not wounded"
GU 332,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 16,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 3,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 41,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Unattached and not wounded"
ICS 46,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 53,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 60,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
ICS 67,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 103,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 11,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 14,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 23,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
IMC 27,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Unattached and not wounded"
