Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl
AGU 17 [CHA],-,1,Curaray,0.931,Coca R - Napo R,0.626
AGU 22 [CHA],-,1,Curaray,0.86,Coca R - Napo R,0.536
AGU 31 [CHA],-,1,Curaray,0.964,Curaray R - Napo R,0.690
AGU 5 [CHA],-,1,Curaray,0.991,Coca R - Napo R,0.985
AGU 8 [CHA],-,1,Curaray,0.558,n-a,-
AM 1 /57 [POU],-,1,Iquitos,0.996,IMC I,0.998
AMAZ 1 /5,-,2,Iquitos,0.751,Amazonas,0.942
AMAZ 10,-,2,Iquitos,0.73,Amazonas,0.994
AMAZ 11,-,2,Iquitos,0.567,n-a,-
AMAZ 12,-,1,Iquitos,0.682,n-a,-
AMAZ 13,-,2,Iquitos,0.735,all,0.966
AMAZ 14,-,2,Iquitos,0.77,all,0.990
AMAZ 14,-,2,Iquitos,0.8,Amazonas,0.989
AMAZ 15 /15,-,1,Iquitos,0.818,Amazonas,0.888
AMAZ 2,-,2,Iquitos,0.725,all,0.997
AMAZ 4,-,1,Iquitos,0.756,Amazonas,0.879
AMAZ 5 /2,-,2,Iquitos,0.777,Amazonas,0.998
AMAZ 9,-,3,Iquitos,0.495,n-a,-
AMELONADO 1 [MAY],-,2,Amelonado,0.987,Amelonado Type I,0.996
AMELONADO 2 [MAY],-,2,Amelonado,0.997,Amelonado Type I,0.976
B 3 [BLZ],-,1,Criollo,0.997,Lacandona,0.478
B 48 [BLZ],-,1,Criollo,0.992,Belize,0.953
Borne 7-A-2,-,2,Guiana,0.991,Camopi R - Euleupousing R,0.703
Borne 7-A-6,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.685
Borne 7-B-2,-,2,Guiana,0.997,Camopi R,0.558
Borne 7-B-3,-,2,Guiana,0.994,Camopi R - Euleupousing R,0.960
Borne 7-B-4,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.982
Borne 7-B-5,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.508
BE 10,1,2,Amelonado,0.703,Amelonado Type III,0.890
BE 2,1,2,Amelonado,0.521,n-a,-
BE 3,6,2,Amelonado,0.646,n-a,-
BE 4,3,2,Amelonado,0.827,Amelonado Type III,0.879
BE 5,2,2,Amelonado,0.976,Amelonado Type II,0.453
BE 7,7,2,Amelonado,0.971,Amelonado Type I,0.664
BE 8,2,3,Amelonado,0.281,n-a,-
BE 9,1,1,Maranon,0.639,n-a,-
BEN 1 [VEN],-,1,Criollo,0.996,Santa Marta,0.730
BEN 5 [VEN],-,1,Criollo,0.998,Santa Marta,0.950
BOB 8 [CHA],2,2,Nacional,0.551,n-a,-
C SUL 1,2,1,Iquitos,0.536,n-a,-
C SUL 10,1,1,Iquitos,0.528,n-a,-
C SUL 5,1,3,Purus,0.521,n-a,-
C SUL 9,2,3,Purus,0.453,n-a,-
CA S 5,-,1,Criollo,0.998,Lacandona,0.795
CAB 122,2,1,Purus,0.996,Caete R - Purus R,0.985
CAB 123,2,1,Purus,0.987,Caete R - Purus R,0.989
CAB 124,3,1,Purus,0.99,Caete R - Purus R,0.992
CAB 126,2,2,Maranon,0.495,n-a,-
CAB 127,2,1,Purus,0.996,Caete R - Purus R,0.990
CAB 128,4,1,Purus,0.996,Caete R - Purus R,0.990
CAB 130,2,1,Purus,0.99,Caete R - Purus R,0.991
CAB 131,2,1,Purus,0.989,Caete R - Purus R,0.983
CAB 132,1,1,Purus,0.996,Caete R - Purus R,0.977
CAB 145,1,1,Purus,0.993,Acre R,0.946
CAB 146,2,1,Purus,0.996,Acre R,0.994
CAB 147,1,1,Purus,0.988,Acre R,0.946
CAB 148,2,1,Purus,0.977,Acre R,0.993
CAB 149,2,1,Purus,0.991,Acre R,0.990
CAB 150,4,1,Purus,0.915,Acre R,0.993
CAB 151,6,1,Purus,0.986,Acre R,0.873
CAB 152,3,1,Purus,0.99,Acre R,0.990
CAB 153,2,1,Purus,0.993,Acre R,0.996
CAB 154,4,1,Purus,0.99,Acre R,0.816
CAB 155,4,1,Purus,0.971,Acre R,0.976
CAB 156,7,1,Purus,0.993,Acre R,0.895
CAB 16,2,2,Amelonado,0.871,Amelonado Type III,0.575
CAB 17,4,1,Maranon,0.574,n-a,-
CAB 18,3,1,Maranon,0.59,n-a,-
CAB 181,1,2,Purus,0.465,n-a,-
CAB 182,4,2,Purus,0.532,n-a,-
CAB 183,1,2,Contamana,0.818,Embira R,0.994
CAB 184,5,2,Contamana,0.726,Embira R,0.993
CAB 185,2,2,Contamana,0.703,Embira R,0.994
CAB 186,2,2,Contamana,0.775,Embira R,0.997
CAB 187,1,2,Contamana,0.745,Embira R,0.996
CAB 188,4,2,Contamana,0.729,Embira R,0.989
CAB 19,4,1,Maranon,0.655,n-a,-
CAB 190,5,2,Contamana,0.693,n-a,-
CAB 191,5,1,Purus,0.927,Purus R,0.959
CAB 193,4,1,Purus,0.924,Purus R,0.936
CAB 194,1,1,Purus,0.985,Purus R,0.710
CAB 195,2,1,Purus,0.76,Purus R,0.961
CAB 196,4,1,Purus,0.992,Purus R,0.884
CAB 197,3,1,Purus,0.986,Purus R,0.971
CAB 198,4,1,Purus,0.988,Purus R,0.613
CAB 20,3,2,Amelonado,0.587,n-a,-
CAB 200,1,1,Purus,0.737,all,0.557
CAB 21,3,1,Maranon,0.47,n-a,-
CAB 211,1,1,Purus,0.981,Caete R - Purus R,0.619
CAB 213,4,1,Purus,0.989,Acre R,0.692
CAB 219,3,2,Maranon,0.984,Ji - Parana R,0.890
CAB 22,2,1,Maranon,0.604,n-a,-
CAB 221,1,2,Maranon,0.982,Ji - Parana R,0.958
CAB 224,2,2,Maranon,0.791,Ji - Parana R,0.702
CAB 23,1,1,Maranon,0.516,n-a,-
CAB 232,7,2,Maranon,0.997,Ji - Parana R,0.989
CAB 233,1,2,Maranon,0.997,Ji - Parana R,0.989
CAB 234,4,2,Maranon,0.992,Ji - Parana R,0.992
CAB 236,6,2,Purus,0.57,n-a,-
CAB 24,3,2,Amelonado,0.51,n-a,-
CAB 244,9,2,Maranon,0.995,Ji - Parana R,0.997
CAB 25,2,1,Maranon,0.507,n-a,-
CAB 251,1,2,Maranon,0.993,Ji - Parana R,0.918
CAB 253,9,2,Maranon,0.996,Ji - Parana R,0.994
CAB 321,1,2,Iquitos,0.7,Middle Solimoes R,0.992
CAB 322,1,2,Iquitos,0.717,Middle Solimoes R,0.995
CAB 323,3,2,Iquitos,0.677,n-a,-
CAB 324,4,2,Iquitos,0.529,n-a,-
CAB 326,4,2,Iquitos,0.483,n-a,-
CAB 327,3,2,Iquitos,0.684,n-a,-
CAB 328,10,2,Iquitos,0.672,n-a,-
CAB 329,4,2,Iquitos,0.709,Middle Solimoes R,0.997
CAB 330,9,2,Iquitos,0.674,n-a,-
CAB 331,4,2,Iquitos,0.782,Middle Solimoes R,0.995
CAB 334,4,3,Purus,0.803,Upper Solimoes R - Ica R,0.814
CAB 335,6,2,Amelonado,0.557,n-a,-
CAB 336,3,3,Purus,0.77,Upper Solimoes R - Ica R,0.956
CAB 339,1,3,Purus,0.831,Upper Solimoes R - Ica R,0.970
CAB 340,2,2,Purus,0.826,Upper Solimoes R - Ica R,0.992
CAB 341,2,3,Purus,0.819,Upper Solimoes R - Ica R,0.985
CAB 342,1,2,Purus,0.823,Upper Solimoes R - Ica R,0.997
CAB 343,3,3,Purus,0.83,Upper Solimoes R - Ica R,0.950
