Clone name,Productivity
GU 114 /F,very low
GU 114 L,very low
GU 114 /P,very low
GU 125 /C,low
GU 133 /C,low
GU 134 /A,very high
GU 134 /B,very high
GU 134 C,very high
GU 139 /A,very high
GU 140 /F,very high
GU 140 /S,very high
GU 143 /A,very high
GU 143 B,very high
GU 143 C,very high
GU 144 /A,very high
GU 144 /B,very high
GU 144 /C,very high
GU 144 /L,very high
GU 168 /H,low
GU 171 /C,low
GU 175 /P,low
GU 183 /G,low
GU 195 /P,very low
GU 195 /V,very low
GU 207 /H,low
GU 219 /F,low
GU 221 /C,very low
GU 221 /H,very low
GU 221 J,very low
GU 221 /V,very low
GU 226 /V,medium
GU 241 /P,low
GU 241 /V,low
GU 251 D,very low
GU 251 /L,very low
GU 259 /C,low
GU 261 /A,very low
GU 261 /P,very low
GU 263 /V,medium
GU 265 /P,low
GU 269 /V,low
GU 277 /G,high
GU 280 /A,very high
GU 285 /A,very high
GU 285 B,very high
GU 285 C,very high
GU 286 /A,very high
GU 286 /P,very high
GU 296 /H,low
GU 303 /A,very high
GU 303 B,very high
GU 307 /F,low
GU 310 /P,low
GU 314 /N,very low
GU 325 /A,very high
