Clone name,Pathogen,Reaction,Infection,Info,Part,Notes
AC T 2 /13 [TTO],Vascular Streak Dieback,,12.50,Severery of infection was Low.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
AC T 2 /18 [TTO],Vascular Streak Dieback,,7.10,Severery of infection was Low.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
AMAZ 15 /15,Vascular Streak Dieback,,37.20,"14.1% of trees with <30% infected branches, 20.1% of trees with 30 to 70% infected branches, 3.0% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
AMAZ 2 /1,Vascular Streak Dieback,,73.20,"62.5% of trees with <30% infected branches, 10.7% of trees with 30 to 70% infected branches, 0.0% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
B 4 /7 [POU],Vascular Streak Dieback,,6.60,Severery of infection was High.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
BE 10,Vascular Streak Dieback,,15.00,Severery of infection was Moderate.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
C 13 /5 [TRI],Vascular Streak Dieback,,6.60,Severery of infection was Low.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
C 87 /56 [TRI],Vascular Streak Dieback,,3.30,Severery of infection was Low.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
CAS 1,Vascular Streak Dieback,,76.60,"70.6% of trees with <30% infected branches, 3.0% of trees with 30 to 70% infected branches, 3.0% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
CC 10,Vascular Streak Dieback,,27.80,"14.4% of trees with <30% infected branches, 6.9% of trees with 30 to 70% infected branches, 6.5% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
CC 11,Vascular Streak Dieback,,23.00,"16.1% of trees with <30% infected branches, 6.9% of trees with 30 to 70% infected branches, 0.0% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
EET 308 [ECU],Vascular Streak Dieback,,86.20,"48.7% of trees with <30% infected branches, 4.9% of trees with 30 to 70% infected branches, 32.6% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
EET 339 [ECU],Vascular Streak Dieback,,80.40,"63.8% of trees with <30% infected branches, 5.5% of trees with 30 to 70% infected branches, 11.1% of trees with >70% infected branches.",Field Reaction,"Sime Darby Plantations, Devon Estate."
EET 353 [ECU],Vascular Streak Dieback,,23.00,Severery of infection was Low.,Field Reaction,"Sime Darby Plantations, Merlimau Estate."
EET 381 [ECU],Vascular Streak Dieback,tolerant,-,,,
