Clone name,Seed index,Pod index
AC T 2 /13 [TTO],54.9,22.2
AC T 2 /18 [TTO],210.5,52.6
AC T 4 /2 [TTO],93.1,26.1
AMAZ 15 /15,121.0,34.9
AMAZ 2 /1,115.2,31.9
B 4 /7 [POU],123.9,31.7
BE 10,106.4,32.4
C 13 /5 [TRI],114.2,25.4
C 87 /56 [TRI],94.0,28.8
CAS 1,85.8,23.5
CC 10,73.7,22.5
CC 11,72.7,22.7
CCN 10,74.9,18.9
EET 308 [ECU],94.1,26.8
EET 339 [ECU],103.1,29.3
EET 353 [ECU],96.1,28.9
EET 400 [ECU],118.3,31.1
EQX 12 [EQX],82.9,26.3
EQX 80 [EQX],180.1,41.4
ICS 100,113.9,31.3
ICS 95,106.6,33.2
IMC 23,117.3,31.6
M 109 [ICT],99.7,26.3
M 180 [ICT],142.2,33.3
MATINA 1 /9,116.7,39.4
MO 81,99.1,38.2
MO 98,127.0,23.0
MOQ 2 /16,120.1,32.2
MOQ 4 /17,95.6,33.0
P 10 [MEX],95.1,24.0
P 43 [MEX],100.1,27.2
PA 107 [PER],145.9,36.2
PA 127 [PER],101.1,31.7
PA 13 [PER],113.8,38.9
PA 175 [PER],126.9,32.2
PA 300 [PER],90.0,27.8
PA 7 [PER],130.9,33.1
POUND 12,119.3,29.2
POUND 16,139.8,26.9
POUND 7,113.1,26.4
REDAMEL 1 /21,76.0,24.0
REDAMEL 1 /21,121.5,33.7
RIM 41 [MEX],83.3,22.0
RIM 52 [MEX],88.4,23.5
RIM 76 [MEX],116.6,31.1
SCA 20,74.7,26.5
SCR 5,92.0,21.2
SIAL 93,82.4,25.0
SIAL 98,147.2,33.5
SPA 10 [COL],88.1,21.3
SPA 9 [COL],122.1,33.6
SPEC 138 /13,112.1,33.9
SPEC 185 /4,113.8,38.4
SPEC 41 /11,147.0,38.4
SPEC 41 /6,94.6,25.6
STAHEL,126.5,43.3
UF 11,73.7,25.2
UF 221,81.6,24.7
UF 221,84.5,31.8
UF 613,89.7,24.9
UF 676,70.3,21.8
UIT 1,73.0,21.8
