Clone name,Pathogen,Species,Reaction,Infection,Part,Notes
CAS 3,Phytophthora,P. palmivora,moderate resistance,100.00,Pod,"Unripe, Attached and not wounded"
CATONGO,Phytophthora,P. palmivora,tolerant,95.00,Pod,"Unripe, Attached and not wounded"
CC 10,Phytophthora,P. palmivora,moderately susceptible,100.00,Pod,"Unripe, Attached and not wounded"
CC 178,Phytophthora,P. palmivora,tolerant,-,Pod,(Note: Potentially interesting.)
CC 38,Phytophthora,P. palmivora,moderate resistance,90.00,Pod,"Unripe, Attached and not wounded"
CC 41,Phytophthora,P. palmivora,moderately susceptible,100.00,Pod,"Unripe, Attached and not wounded"
CC 42,Phytophthora,P. palmivora,tolerant,85.00,Pod,"Unripe, Attached and not wounded (Note: Slow lesion development)"
CC 45,Phytophthora,P. palmivora,moderately susceptible,90.00,Pod,"Unripe, Attached and not wounded"
CC 69,Phytophthora,P. palmivora,tolerant,-,Pod,(Note: Potentially interesting.)
DIAMANTES 800,Phytophthora,P. palmivora,tolerant,80.00,Pod,"Unripe, Attached and not wounded"
EET 156 [ECU],Phytophthora,P. palmivora,moderate resistance,70.00,Pod,"Unripe, Attached and not wounded"
EET 19 [ECU],Phytophthora,P. palmivora,tolerant,-,Pod,(Note: Potentially interesting.)
EET 338 [ECU],Phytophthora,P. palmivora,tolerant,35.00,Pod,"Unripe, Attached and not wounded (Note: Very resistant to epidermal and epicarp penetration.)"
EET 353 [ECU],Phytophthora,P. palmivora,intermediate,100.00,Pod,"Unripe, Attached and not wounded"
EET 376 [ECU],Phytophthora,P. palmivora,tolerant,50.00,Pod,"Unripe, Attached and not wounded (Note: Resistant to epidermal and epicarp penetration.)"
EET 397 [ECU],Phytophthora,P. palmivora,moderately susceptible,100.00,Pod,"Unripe, Attached and not wounded"
EET 59 [ECU],Phytophthora,P. palmivora,tolerant,100.00,Pod,"Unripe, Attached and not wounded"
EET 75 [ECU],Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
GS 36,Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
IMC 67,Phytophthora,P. palmivora,moderately susceptible,90.00,Pod,"Unripe, Attached and not wounded"
POUND 12,Phytophthora,P. palmivora,susceptible,80.00,Pod,"Unripe, Attached and not wounded"
POUND 16,Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
POUND 7,Phytophthora,P. palmivora,tolerant,70.00,Pod,"Unripe, Attached and not wounded"
RIM 10 [MEX],Phytophthora,P. palmivora,susceptible,90.00,Pod,"Unripe, Attached and not wounded"
RIM 13 [MEX],Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
RIM 52 [MEX],Phytophthora,P. palmivora,susceptible,95.00,Pod,"Unripe, Attached and not wounded"
RIM 56 [MEX],Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
SCA 12,Phytophthora,P. palmivora,tolerant,55.00,Pod,"Unripe, Attached and not wounded (Note: Resistant to epidermal and epicarp penetration.)"
SCA 6,Phytophthora,P. palmivora,tolerant,40.00,Pod,"Unripe, Attached and not wounded (Note: Resistant to epidermal and epicarp penetration.)"
SGU 71,Phytophthora,P. palmivora,intermediate,100.00,Pod,"Unripe, Attached and not wounded"
SIC 433,Phytophthora,P. palmivora,moderate resistance,100.00,Pod,"Unripe, Attached and not wounded"
UF 10,Phytophthora,P. palmivora,moderately susceptible,100.00,Pod,"Unripe, Attached and not wounded"
UF 12,Phytophthora,P. palmivora,moderately susceptible,90.00,Pod,"Unripe, Attached and not wounded"
UF 122,Phytophthora,P. palmivora,susceptible,95.00,Pod,"Unripe, Attached and not wounded"
UF 168,Phytophthora,P. palmivora,moderately susceptible,95.00,Pod,"Unripe, Attached and not wounded"
UF 221,Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
UF 29,Phytophthora,P. palmivora,susceptible,100.00,Pod,"Unripe, Attached and not wounded"
UF 296,Phytophthora,P. palmivora,moderately susceptible,95.00,Pod,"Unripe, Attached and not wounded"
UF 36,Phytophthora,P. palmivora,moderate resistance,100.00,Pod,"Unripe, Attached and not wounded"
