Clone name,Self compatibility
BAL 209,self compatible
BR 25,self compatible
KKM 1,self incompatible
KKM 2,self incompatible
KKM 5,self incompatible
KKM 6,self incompatible
PBC 112,self compatible
PBC 113,self compatible
PBC 123,self compatible
PBC 130,self compatible
PBC 131,self compatible
PBC 140,self compatible
PBC 159,self compatible
PBC 179,self compatible
QH 1003,self incompatible
QH 1176,self incompatible
QH 12,self incompatible
QH 1213,self incompatible
QH 186,self incompatible
QH 22,self incompatible
QH 240,self incompatible
QH 37,self incompatible
QH 441,self incompatible
QH 670,self incompatible
SDS 11,self compatible
SDS 18,self compatible
SDS 20,self compatible
SDS 21,self compatible
SDS 36,self compatible
SDS 4,self compatible
SDS 41,self compatible
SDS 46,self compatible
SDS 52,self compatible
SDS 54,self compatible
SDS 58,self compatible
SDS 6,self compatible
SDS 74,self compatible
SDS 8,self compatible
SDS 84,self compatible
TG 135,self compatible
TG 137 /A,self compatible
TG 137 /B,self compatible
TG 148,self compatible
TG 157,self compatible
TG 240,self compatible
TG 266,self incompatible
TG 446,self compatible
TG 78,self compatible
TGC,self compatible
UPC 41,self incompatible
UPC 50,self compatible
