Clone name,Seed index,Pod index,Yield ha
BAL 209,90.0,23.6,2391
BR 25,-,-,2686
FP 10,100.0,26.7,930
FP 6,87.7,24.0,1368
FP 7,95.2,27.7,713
FP 8,94.3,20.3,1135
FP 9,84.7,24.1,985
KKM 1,94.3,17.4,3930
KKM 15,100.0,19.1,2410
KKM 17,93.4,18.9,2260
KKM 19,84.7,17.9,2700
KKM 2,90.9,20.1,3560
KKM 22,91.7,24.0,2420
KKM 25,76.9,29.7,2440
KKM 26,86.9,27.1,1760
KKM 27,84.7,20.1,1860
KKM 28,91.7,23.7,2310
KKM 3,100.0,22.6,2110
KKM 4,94.3,24.9,2040
KKM 5,93.4,21.7,2020
KKM 6,76.9,24.0,1990
PBC 112,99.0,25.0,1534
PBC 113,86.9,19.6,1502
PBC 123,96.1,23.0,1453
PBC 130,78.1,22.0,1911
PBC 131,78.1,18.6,1442
PBC 140,79.3,25.0,1677
PBC 159,81.9,19.0,1564
PBC 179,79.3,20.8,1592
QH 1003,75.7,27.0,2486
QH 1176,96.1,24.7,3707
QH 12,103.0,28.8,3296
QH 1213,87.7,21.1,5497
QH 186,103.0,23.8,2646
QH 22,88.4,22.3,2692
QH 240,100.0,25.1,2574
QH 37,66.6,19.1,2587
QH 441,100.0,27.3,3215
QH 670,85.4,22.2,3892
SDS 11,107.5,29.1,2163
SDS 18,78.7,19.7,2031
SDS 20,94.3,22.8,1121
SDS 21,106.3,29.6,1321
SDS 36,106.3,26.6,1499
SDS 4,101.0,24.6,1459
SDS 41,98.0,25.8,1246
SDS 46,100.0,25.6,1357
SDS 52,97.0,25.5,1459
SDS 54,109.8,28.9,1404
SDS 58,92.5,23.7,1602
SDS 6,98.0,26.5,1073
SDS 74,93.4,23.4,1564
SDS 8,103.0,27.1,1921
SDS 84,89.2,24.8,812
TG 135,84.0,21.0,3671
TG 137 /A,66.6,18.0,3572
TG 137 /B,71.9,21.0,4176
TG 148,61.7,15.0,3925
TG 157,58.1,17.0,3125
TG 240,112.3,32.0,3399
TG 250,106.3,27.0,3370
TG 266,60.2,15.0,3605
TG 446,69.9,24.0,4151
TG 78,102.0,28.0,3569
TGC,95.2,24.0,3462
UPC 41,83.3,22.1,2280
UPC 50,76.9,24.6,2957
