Clone name,Tissue,Mean cd,Accumulation
AGU 3339 /12 [CHA],bean,0.43,low
AM 1 /54 [POU],leaf,1.12,low
AM 2 /18 [POU],leaf,4.84,high
AM 2 /61 [POU],bean,1.85,high
AMAZ 3 /2,leaf,4.11,high
AMAZ 3 /2,bean,1.81,high
B 5 /3 [POU],leaf,1.13,low
B 5 /3 [POU],bean,0.58,low
CL 10 /3,leaf,0.97,low
CL 27 /50,leaf,0.96,low
CL 27 /50,bean,0.38,low
CLM 116,leaf,5.24,high
CLM 116,bean,1.72,high
CRU 72,leaf,3.99,high
CRU 72,bean,1.81,high
ICS 1,bean,0.42,low
ICS 6,leaf,0.98,low
ICS 86,leaf,1.04,low
IMC 105,bean,1.89,high
IMC 67,leaf,1.02,low
JA 4 /17 [POU],leaf,4.38,high
JA 4 /17 [POU],bean,2.01,high
JA 5 /39 [POU],bean,0.32,low
LP 3 /4 [POU],leaf,1.12,low
LP 4 /21 [POU],bean,2.06,high
LV 20 [POU],bean,0.5,low
LZ 13,bean,0.47,low
NA 312,leaf,4.62,high
NA 34,leaf,4.96,high
PA 120 [PER],leaf,0.95,low
PA 125 [PER],leaf,4.07,high
PA 132 [PER],bean,2.16,high
PA 218 [PER],bean,0.39,low
REDAMEL 1 /30,leaf,0.77,low
REDAMEL 1 /30,bean,0.17,low
SCA 3,bean,1.96,high
SCA 5,bean,2.08,high
SLA 30,leaf,4.25,high
SLC 19,bean,0.51,low
SP 1 [VEN],leaf,4.25,high
