Clone name,Pathogen,Species,Reaction,Info,Part
AM 1 [BR2],Phytophthora,P. citrophthora,resistant,Average score = 1.5,
AM 2 [BR2],Phytophthora,P. citrophthora,resistant,Average score = 1.8,
BB 1-33 [BR2],Phytophthora,P. citrophthora,intermediate,Average score = 2.7,
BB 6018 [BR2],Phytophthora,P. citrophthora,resistant,Average score = 1.7,
BB 6020 [BR2],Phytophthora,P. citrophthora,intermediate,Average score = 2.1,
BB 6021 [BR2],Phytophthora,P. citrophthora,intermediate,Average score = 2,
CSF 22,Phytophthora,P. citrophthora,intermediate,Average score = 2.9,
DF 1,Phytophthora,P. citrophthora,intermediate,Average score = 2.2,
FADA 100,Phytophthora,P. citrophthora,resistant,Average score = 1.8,
FADA 18,Phytophthora,P. citrophthora,resistant,Average score = 1.9,
FF 38,Phytophthora,P. citrophthora,intermediate,Average score = 2,
FL 16,Phytophthora,P. citrophthora,resistant,Average score = 1.6,
FL 29,Phytophthora,P. citrophthora,intermediate,Average score = 2.7,
FL 60,Phytophthora,P. citrophthora,intermediate,Average score = 2.1,
FL 77,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
FLN 30,Phytophthora,P. citrophthora,intermediate,Average score = 2.6,
FLN 46,Phytophthora,P. citrophthora,resistant,Average score = 1.8,
FSR 1,Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
FSU 1,Phytophthora,P. citrophthora,intermediate,Average score = 2.1,
FSU 7,Phytophthora,P. citrophthora,intermediate,Average score = 2.1,
FSU 127,Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
FSU 13,Phytophthora,P. citrophthora,intermediate,Average score = 2.7,
FSU 151,Phytophthora,P. citrophthora,resistant,Average score = 1.9,
FSU 77,Phytophthora,P. citrophthora,intermediate,Average score = 2.4,
GM 33,Phytophthora,P. citrophthora,resistant,Average score = 1.9,
HR 20,Phytophthora,P. citrophthora,susceptible,Average score = 3.3,
HR 29,Phytophthora,P. citrophthora,susceptible,Average score = 3.1,
M 5 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
NV 2,Phytophthora,P. citrophthora,susceptible,Average score = 3.1,
NV 22,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
NV 77,Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
NV SV-1,Phytophthora,P. citrophthora,intermediate,Average score = 2.4,
PA 150 [PER],Phytophthora,P. citrophthora,resistant,Average score = 1.5,
PA 30 [PER],Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
PAT 118,Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
PAT 84,Phytophthora,P. citrophthora,intermediate,Average score = 2.6,
PB 617,Phytophthora,P. citrophthora,intermediate,Average score = 2.7,
PH 16 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.7,
PS57 1,Phytophthora,P. citrophthora,intermediate,Average score = 2,
PS57 111,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
RS 309 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
RS 311 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.8,
RS 316 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.4,
RS 903 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
RT 6 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.7,
RT 9 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.8,
RT 106 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
RV-ID 8,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
RV-ID 12,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
SCS 18 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2,
SCS 20 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.2,
SIAL 169,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
SIC 23,Phytophthora,P. citrophthora,intermediate,Average score = 2.4,
SJ 2 [BRA],Phytophthora,P. citrophthora,susceptible,Average score = 3.5,Leaf disc
SM 2 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.2,
SM 4 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.9,
SM 6 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
T 10 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.8,
T 11 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.9,
TR 12 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2.5,
TR 15 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2,
TR 22 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.9,
TR 35 [BRA],Phytophthora,P. citrophthora,intermediate,Average score = 2,
TR 36 [BRA],Phytophthora,P. citrophthora,resistant,Average score = 1.7,
TSH 1188,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
VB 515,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
VB 547,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
VB 679,Phytophthora,P. citrophthora,intermediate,Average score = 2.3,
VB 892,Phytophthora,P. citrophthora,intermediate,Average score = 2.8,
VB 900,Phytophthora,P. citrophthora,intermediate,Average score = 2.2,
VB 902,Phytophthora,P. citrophthora,intermediate,Average score = 2.1,
