Clone name,Country,Region,Year,Status
CEPEC 41,Brazil,Bahia,1995-2014,-
EET 397 [ECU],Brazil,Bahia,1995-2014,-
TSH 1188,Brazil,Bahia,1995-2014,-
TSH 516,Brazil,Bahia,1995-2014,-
TSH 565,Brazil,Bahia,1995-2014,-
TSA 654,Brazil,Bahia,1998-2014,-
TSA 656,Brazil,Bahia,1998-2014,-
TSAN 792,Brazil,Bahia,1998-2014,-
TSH 774,Brazil,Bahia,1998-2014,-
VB 900,Brazil,Bahia,2001-2014,-
VB 1151,Brazil,Bahia,2002-2014,-
CEPEC 2003,Brazil,Bahia,2002-2014,-
CEPEC 2004,Brazil,Bahia,2002-2014,-
CEPEC 2005,Brazil,Bahia,2002-2014,-
CEPEC 2006,Brazil,Bahia,2002-2014,-
VB 681,Brazil,Bahia,2002-2014,-
VB 547,Brazil,Bahia,2002-2014,-
VB 663,Brazil,Bahia,2002-2014,-
VB 514,Brazil,Bahia,2002-2014,-
VB 892,Brazil,Bahia,2002-2014,-
CCN 10,Brazil,Bahia,2003 onwards,current
CCN 51,Brazil,Bahia,2003 onwards,current
CP 38 [BRA],Brazil,Bahia,2003-2014,-
CP 39 [BRA],Brazil,Bahia,2003-2014,-
CP 40 [BRA],Brazil,Bahia,2003-2014,-
CP 49 [BRA],Brazil,Bahia,2003 onwards,current
CP 53 [BRA],Brazil,Bahia,2003-2014,-
EET 392 [ECU],Brazil,Bahia,2003-2014,-
PH 16 [BRA],Brazil,Bahia,2003 onwards,current
VB 276,Brazil,Bahia,2003-2014,-
VB 515,Brazil,Bahia,2003 -2014,-
VB 679,Brazil,Bahia,2003 -2014,-
PS 13-19,Brazil,Bahia,2004 onwards,current
RV-ID 8,Brazil,Bahia,2004-2014,-
SJ 2 [BRA],Brazil,Bahia,2004 onwards,current
CA 1.4 [BRA],Brazil,Bahia,2006 -2014,-
CCN 16,Brazil,Bahia,2006 -2014,-
Ipiranga 1,Brazil,Bahia,2006 onwards,current
PH 9 [BRA],Brazil,Bahia,2007 onwards,current
