Clone name,Sepal width,Sepal length,Ligule length,Ligule width,Ovary width,Ovary length,Ovule number,Style length,Staminode length,Pedicel length
RIM 10 [MEX],2.4,8.6,4.3,3.1,1.0,1.9,41,2.5,7.5,2.5
RIM 100 [MEX],2.7,8.9,4.0,3.2,1.1,2.0,41,2.7,7.7,2.5
RIM 101 [MEX],2.6,8.8,3.9,3.2,1.0,2.0,42,2.5,7.5,2.2
RIM 105 [MEX],2.7,8.9,4.1,3.1,1.0,2.0,42,2.5,7.5,2.3
RIM 106 [MEX],2.6,8.5,4.0,3.1,1.0,2.0,36,2.5,7.2,2.4
RIM 113 [MEX],2.5,8.8,4.0,3.0,1.0,2.0,42,2.6,7.5,2.3
RIM 117 [MEX],2.7,9.0,4.0,3.2,1.0,2.0,41,2.6,7.5,2.3
RIM 13 [MEX],2.6,8.5,4.0,3.0,1.0,1.9,43,2.4,7.1,2.3
RIM 15 [MEX],2.4,8.5,4.0,3.1,1.0,1.9,42,2.5,7.3,2.4
RIM 19 [MEX],2.7,8.9,4.2,3.1,1.0,1.9,40,2.5,7.5,2.4
RIM 2 [MEX],2.6,8.8,3.9,3.0,1.0,1.9,39,2.5,7.1,2.2
RIM 23 [MEX],2.5,8.6,4.0,3.1,1.1,1.9,43,2.5,7.1,2.3
RIM 24 [MEX],2.3,8.1,4.0,2.9,1.0,1.8,41,2.4,7.0,2.2
RIM 26 [MEX],2.1,7.7,3.9,2.9,1.0,2.0,43,2.1,7.0,2.0
RIM 30 [MEX],2.4,8.4,4.0,3.0,1.0,1.8,41,2.4,7.1,2.1
RIM 34 [MEX],2.4,8.4,4.1,3.0,1.0,1.9,42,2.5,7.5,2.2
RIM 39 [MEX],2.4,8.2,4.1,3.0,1.0,1.9,44,2.6,7.6,2.2
RIM 41 [MEX],2.6,8.8,4.0,3.0,1.0,1.9,44,2.5,7.6,2.3
RIM 44 [MEX],2.6,8.2,3.9,3.0,1.1,2.0,40,2.9,7.1,2.5
RIM 48 [MEX],2.7,8.7,4.0,3.1,1.1,1.9,41,2.5,7.1,2.5
RIM 52 [MEX],2.7,8.9,4.0,3.2,1.2,2.0,42,2.5,7.4,2.5
RIM 56 [MEX],2.6,8.2,3.9,3.0,1.0,1.8,41,2.3,7.0,2.2
RIM 6 [MEX],2.6,8.8,3.9,3.0,1.1,1.9,45,2.7,7.6,2.3
RIM 68 [MEX],2.2,7.0,3.2,2.8,1.0,1.9,39,2.3,6.6,1.7
RIM 71 [MEX],2.7,9.0,4.1,3.1,1.2,2.1,41,2.6,7.5,2.5
RIM 75 [MEX],2.3,7.6,3.8,3.0,1.0,1.9,41,2.4,6.9,2.3
RIM 76 [MEX],2.4,8.0,3.8,2.9,1.0,1.7,36,2.4,6.6,2.0
RIM 76 [MEX],2.0,6.6,3.3,2.7,1.0,1.9,37,2.2,6.0,1.4
RIM 78 [MEX],2.2,7.8,3.6,3.0,1.0,1.8,39,2.4,6.8,2.3
RIM 8 [MEX],2.4,7.9,3.8,2.9,1.1,1.9,43,2.3,7.0,2.1
RIM 88 [MEX],2.5,8.5,4.0,3.0,1.0,1.9,42,2.4,7.1,2.3
