Clone name,Number,Length,Width,Thickness,Dry weight,Cotyledon dry weight
RIM 10 [MEX],28.5,23.2,14.2,9.9,1.35,1.25
RIM 100 [MEX],26.3,23.6,13.9,9.5,1.42,1.32
RIM 101 [MEX],29.6,23.7,13.5,8.9,1.2,1.11
RIM 105 [MEX],27.1,23.2,13.2,9.3,1.11,1.01
RIM 106 [MEX],26.7,23.7,13.9,9.5,1.34,1.24
RIM 113 [MEX],28.4,24.0,14.2,10.4,1.29,1.16
RIM 117 [MEX],30.7,23.5,13.9,9.9,1.31,1.21
RIM 13 [MEX],28.9,24.2,14.2,10.9,1.4,1.3
RIM 15 [MEX],32.5,23.2,14.1,10.2,1.33,1.21
RIM 19 [MEX],30.4,23.4,14.1,10.6,1.39,1.28
RIM 2 [MEX],29.0,23.5,13.8,10.0,1.33,1.21
RIM 23 [MEX],27.3,23.9,14.2,10.3,1.37,1.25
RIM 24 [MEX],27.0,22.5,13.8,9.1,1.39,1.28
RIM 26 [MEX],28.2,24.5,14.3,10.5,1.41,1.3
RIM 30 [MEX],29.1,23.6,14.2,10.1,1.45,1.35
RIM 34 [MEX],26.4,23.1,13.5,9.9,1.45,1.33
RIM 39 [MEX],26.9,22.9,13.6,9.5,1.39,1.28
RIM 41 [MEX],25.0,22.5,13.5,9.6,1.4,1.28
RIM 44 [MEX],27.8,24.1,14.2,10.0,1.35,1.26
RIM 48 [MEX],26.8,24.0,14.1,10.4,1.29,1.17
RIM 52 [MEX],30.5,24.1,14.2,10.3,1.35,1.26
RIM 56 [MEX],32.5,23.6,13.8,9.4,1.32,1.21
RIM 6 [MEX],26.3,23.9,14.1,10.0,1.33,1.21
RIM 68 [MEX],25.8,23.9,13.7,11.2,1.27,1.16
RIM 71 [MEX],26.9,23.2,14.0,10.1,1.36,1.25
RIM 75 [MEX],33.4,23.9,14.7,9.7,1.45,1.36
RIM 76 [MEX],32.8,24.4,14.5,10.2,1.51,1.42
RIM 76 [MEX],30.0,23.4,13.3,10.4,1.4,1.19
RIM 78 [MEX],32.6,23.5,14.2,9.5,1.4,1.3
RIM 8 [MEX],33.6,22.9,13.8,9.2,1.22,1.09
RIM 88 [MEX],31.1,23.4,13.7,9.7,1.34,1.23
