Clone name,Seed index,Pod index
RIM 10 [MEX],80.0,18.0
RIM 100 [MEX],75.7,19.0
RIM 101 [MEX],90.0,21.9
RIM 105 [MEX],99.0,18.1
RIM 106 [MEX],80.6,20.6
RIM 113 [MEX],86.2,19.9
RIM 117 [MEX],82.6,18.3
RIM 13 [MEX],76.9,19.9
RIM 15 [MEX],82.6,19.3
RIM 19 [MEX],78.1,19.8
RIM 2 [MEX],82.6,18.8
RIM 23 [MEX],80.0,21.1
RIM 24 [MEX],78.1,18.6
RIM 26 [MEX],76.9,19.6
RIM 30 [MEX],74.0,19.5
RIM 34 [MEX],75.1,17.9
RIM 39 [MEX],78.1,18.5
RIM 41 [MEX],78.1,20.8
RIM 44 [MEX],79.3,19.5
RIM 48 [MEX],85.4,20.1
RIM 52 [MEX],79.3,19.7
RIM 56 [MEX],82.6,19.8
RIM 6 [MEX],82.6,22.6
RIM 68 [MEX],86.2,19.1
RIM 71 [MEX],80.0,20.6
RIM 75 [MEX],73.5,18.6
RIM 76 [MEX],84.0,21.3
RIM 76 [MEX],70.4,18.0
RIM 78 [MEX],76.9,19.2
RIM 8 [MEX],91.7,19.6
RIM 88 [MEX],81.3,17.6
