Clone name,Pathogen,Species,Reaction,Infection,Part,Notes
CATIE 1000,Phytophthora,P. palmivora,susceptible,66.0,Pod,Unripe and not wounded
CATONGO,Phytophthora,P. palmivora,moderate resistance,45.0,Pod,Unripe and not wounded
CC 210,Phytophthora,P. palmivora,moderate resistance,98.0,Pod,Unripe and not wounded
CC 225,Phytophthora,P. palmivora,moderate resistance,89.0,Pod,Unripe and not wounded
CC 41,Phytophthora,P. palmivora,moderate resistance,85.0,Pod,Unripe and not wounded
DIAMANTES 800,Phytophthora,P. palmivora,susceptible,81.0,Pod,Unripe and not wounded
EET 162 [ECU],Phytophthora,P. palmivora,resistant,12.0,Pod,Unripe and not wounded
EET 164 [ECU],Phytophthora,P. palmivora,resistant,35.0,Pod,Unripe and not wounded
EET 376 [ECU],Phytophthora,P. palmivora,resistant,26.0,Pod,Unripe and not wounded
EET 399 [ECU],Phytophthora,P. palmivora,resistant,21.0,Pod,Unripe and not wounded
EET 400 [ECU],Phytophthora,P. palmivora,resistant,12.0,Pod,Unripe and not wounded
EET 49 [ECU],Phytophthora,P. palmivora,resistant,9.0,Pod,Unripe and not wounded
EET 59 [ECU],Phytophthora,P. palmivora,moderate resistance,93.0,Pod,Unripe and not wounded
EET 80 [ECU],Phytophthora,P. palmivora,susceptible,89.0,Pod,Unripe and not wounded
EET 94 [ECU],Phytophthora,P. palmivora,susceptible,84.0,Pod,Unripe and not wounded
EET 95 [ECU],Phytophthora,P. palmivora,resistant,18.0,Pod,Unripe and not wounded
EET 96 [ECU],Phytophthora,P. palmivora,resistant,39.0,Pod,Unripe and not wounded
ICS 1,Phytophthora,P. palmivora,resistant,55.0,Pod,Unripe and not wounded
IMC 67,Phytophthora,P. palmivora,resistant,5.0,Pod,Unripe and not wounded
NA 34,Phytophthora,P. palmivora,moderate resistance,53.0,Pod,Unripe and not wounded
PA 121 [PER],Phytophthora,P. palmivora,resistant,70.0,Pod,Unripe and not wounded
PA 13 [PER],Phytophthora,P. palmivora,resistant,41.0,Pod,Unripe and not wounded
PA 169 [PER],Phytophthora,P. palmivora,resistant,64.0,Pod,Unripe and not wounded
PORCELANA 3,Phytophthora,P. palmivora,resistant,53.0,Pod,Unripe and not wounded
POUND 12,Phytophthora,P. palmivora,resistant,17.0,Pod,Unripe and not wounded
POUND 7,Phytophthora,P. palmivora,resistant,20.0,Pod,Unripe and not wounded
RB 41 [BRA],Phytophthora,P. palmivora,resistant,39.0,Pod,Unripe and not wounded
RB 46 [BRA],Phytophthora,P. palmivora,moderate resistance,37.0,Pod,Unripe and not wounded
RIM 105 [MEX],Phytophthora,P. palmivora,susceptible,67.0,Pod,Unripe and not wounded
RIM 23 [MEX],Phytophthora,P. palmivora,moderate resistance,70.0,Pod,Unripe and not wounded
RIM 24 [MEX],Phytophthora,P. palmivora,susceptible,59.0,Pod,Unripe and not wounded
RIM 44 [MEX],Phytophthora,P. palmivora,susceptible,94.0,Pod,Unripe and not wounded
RIM 56 [MEX],Phytophthora,P. palmivora,moderate resistance,39.0,Pod,Unripe and not wounded
RIM 75 [MEX],Phytophthora,P. palmivora,susceptible,48.0,Pod,Unripe and not wounded
RIM 76 [MEX],Phytophthora,P. palmivora,susceptible,53.0,Pod,Unripe and not wounded
RIM 88 [MEX],Phytophthora,P. palmivora,susceptible,49.0,Pod,Unripe and not wounded
SANTA CLARA 3 [CRI],Phytophthora,P. palmivora,moderate resistance,87.0,Pod,Unripe and not wounded
SCA 12,Phytophthora,P. palmivora,resistant,5.0,Pod,Unripe and not wounded
SCA 6,Phytophthora,P. palmivora,resistant,0.0,Pod,Unripe and not wounded
SGU 69,Phytophthora,P. palmivora,susceptible,88.0,Pod,Unripe and not wounded
SIAL 163,Phytophthora,P. palmivora,susceptible,73.0,Pod,Unripe and not wounded
SIAL 325,Phytophthora,P. palmivora,moderate resistance,62.0,Pod,Unripe and not wounded
SIAL 407,Phytophthora,P. palmivora,susceptible,68.0,Pod,Unripe and not wounded
SIAL 56,Phytophthora,P. palmivora,susceptible,91.0,Pod,Unripe and not wounded
SIAL 93,Phytophthora,P. palmivora,susceptible,77.0,Pod,Unripe and not wounded
SPA 9 [COL],Phytophthora,P. palmivora,resistant,13.0,Pod,Unripe and not wounded
UF 221,Phytophthora,P. palmivora,susceptible,68.0,Pod,Unripe and not wounded
UF 29,Phytophthora,P. palmivora,resistant,18.0,Pod,Unripe and not wounded
UF 296,Phytophthora,P. palmivora,moderate resistance,50.0,Pod,Unripe and not wounded
UF 613,Phytophthora,P. palmivora,moderate resistance,25.0,Pod,Unripe and not wounded
UF 667,Phytophthora,P. palmivora,susceptible,76.0,Pod,Unripe and not wounded
