Clone name,Pathogen,Reaction,Part
AB 1 [BRA],Witches' Broom,resistant,Seedling
AB 1 [BRA],Witches' Broom,intermediate,Field Reaction
BE 3,Witches' Broom,intermediate,Field Reaction
BE 3,Witches' Broom,susceptible,Seedling
BE 7,Witches' Broom,resistant,Field Reaction
BE 7,Witches' Broom,susceptible,Seedling
C SUL 1,Witches' Broom,intermediate,Seedling
C SUL 1,Witches' Broom,intermediate,Field Reaction
C SUL 10,Witches' Broom,intermediate,Seedling
C SUL 10,Witches' Broom,resistant,Field Reaction
C SUL 2,Witches' Broom,susceptible,Seedling
C SUL 2,Witches' Broom,resistant,Field Reaction
C SUL 3,Witches' Broom,resistant,Field Reaction
C SUL 3,Witches' Broom,intermediate,Seedling
C SUL 4,Witches' Broom,susceptible,Seedling
C SUL 4,Witches' Broom,resistant,Field Reaction
C SUL 5,Witches' Broom,resistant,Seedling
C SUL 5,Witches' Broom,resistant,Field Reaction
C SUL 7,Witches' Broom,susceptible,Seedling
C SUL 7,Witches' Broom,resistant,Field Reaction
C SUL 8,Witches' Broom,susceptible,Field Reaction
C SUL 8,Witches' Broom,susceptible,Seedling
C SUL 9,Witches' Broom,susceptible,Seedling
C SUL 9,Witches' Broom,resistant,Field Reaction
CA 2 [BRA],Witches' Broom,resistant,Seedling
CA 2 [BRA],Witches' Broom,intermediate,Field Reaction
CA 3 [BRA],Witches' Broom,susceptible,Seedling
CA 3 [BRA],Witches' Broom,susceptible,Field Reaction
CA 4 [BRA],Witches' Broom,susceptible,Field Reaction
CA 4 [BRA],Witches' Broom,susceptible,Seedling
CA 6 [BRA],Witches' Broom,intermediate,Field Reaction
CA 6 [BRA],Witches' Broom,susceptible,Seedling
CAB 145,Witches' Broom,resistant,Seedling
CAB 145,Witches' Broom,resistant,Field Reaction
CAB 148,Witches' Broom,resistant,Field Reaction
CAB 148,Witches' Broom,resistant,Seedling
CAB 153,Witches' Broom,resistant,Seedling
CAB 153,Witches' Broom,resistant,Field Reaction
CAB 154,Witches' Broom,resistant,Seedling
CAB 156,Witches' Broom,resistant,Seedling
CAB 156,Witches' Broom,resistant,Field Reaction
CAB 160,Witches' Broom,resistant,Seedling
CAB 160,Witches' Broom,resistant,Field Reaction
CAB 191,Witches' Broom,resistant,Field Reaction
CAB 191,Witches' Broom,resistant,Seedling
CAB 193,Witches' Broom,resistant,Field Reaction
CAB 193,Witches' Broom,resistant,Seedling
CAB 194,Witches' Broom,susceptible,Field Reaction
CAB 194,Witches' Broom,resistant,Seedling
CAB 264,Witches' Broom,susceptible,Seedling
CAB 265,Witches' Broom,resistant,Seedling
CAB 265,Witches' Broom,resistant,Field Reaction
CAB 266,Witches' Broom,resistant,Field Reaction
CAB 266,Witches' Broom,resistant,Seedling
CAB 269,Witches' Broom,susceptible,Seedling
CAB 269,Witches' Broom,intermediate,Field Reaction
CAB 271,Witches' Broom,resistant,Seedling
CAB 271,Witches' Broom,resistant,Field Reaction
CAB 272,Witches' Broom,resistant,Seedling
CAB 272,Witches' Broom,susceptible,Field Reaction
CAB 273,Witches' Broom,susceptible,Seedling
CAB 273,Witches' Broom,susceptible,Field Reaction
CAB 274,Witches' Broom,resistant,Field Reaction
CAB 274,Witches' Broom,resistant,Seedling
CAB 329 /25,Witches' Broom,intermediate,Seedling
CAB 5 /2,Witches' Broom,susceptible,Seedling
CAB 5003 /23,Witches' Broom,resistant,Field Reaction
CAB 5003 /23,Witches' Broom,susceptible,Seedling
CAB 510 /20,Witches' Broom,susceptible,Seedling
CAB 520,Witches' Broom,susceptible,Seedling
CAB 526,Witches' Broom,intermediate,Seedling
CAB 533,Witches' Broom,susceptible,Seedling
CAB 5336 /16,Witches' Broom,susceptible,Seedling
CAB 5336 /16,Witches' Broom,intermediate,Field Reaction
CAB 5336 /19,Witches' Broom,resistant,Seedling
CAB 557,Witches' Broom,susceptible,Seedling
CAB 64,Witches' Broom,resistant,Field Reaction
CAB 64,Witches' Broom,resistant,Seedling
CAB 833,Witches' Broom,susceptible,Seedling
CAB 844,Witches' Broom,susceptible,Seedling
CAB 884,Witches' Broom,susceptible,Seedling
CC 34,Witches' Broom,resistant,Seedling
CC 34,Witches' Broom,susceptible,Field Reaction
CC 39,Witches' Broom,susceptible,Seedling
CC 39,Witches' Broom,intermediate,Field Reaction
CCN 51,Witches' Broom,resistant,Seedling
CCN 51,Witches' Broom,resistant,Field Reaction
CEPEC 1003,Witches' Broom,susceptible,Seedling
CEPEC 1003,Witches' Broom,resistant,Field Reaction
CEPEC 15,Witches' Broom,resistant,Seedling
CEPEC 15,Witches' Broom,resistant,Field Reaction
CEPEC 18,Witches' Broom,intermediate,Field Reaction
CEPEC 18,Witches' Broom,intermediate,Seedling
CEPEC 21,Witches' Broom,resistant,Seedling
CEPEC 21,Witches' Broom,resistant,Field Reaction
CEPEC 26,Witches' Broom,intermediate,Field Reaction
CEPEC 26,Witches' Broom,intermediate,Seedling
CEPEC 35,Witches' Broom,susceptible,Seedling
CEPEC 38,Witches' Broom,resistant,Field Reaction
CEPEC 38,Witches' Broom,intermediate,Seedling
CEPEC 50,Witches' Broom,susceptible,Seedling
CEPEC 50,Witches' Broom,intermediate,Field Reaction
CEPEC 504,Witches' Broom,resistant,Field Reaction
CEPEC 504,Witches' Broom,resistant,Seedling
CEPEC 511,Witches' Broom,susceptible,Seedling
CEPEC 511,Witches' Broom,susceptible,Field Reaction
CEPEC 519,Witches' Broom,resistant,Seedling
CEPEC 519,Witches' Broom,resistant,Field Reaction
CEPEC 538,Witches' Broom,susceptible,Field Reaction
CEPEC 538,Witches' Broom,susceptible,Seedling
CEPEC 550,Witches' Broom,intermediate,Seedling
CEPEC 550,Witches' Broom,intermediate,Field Reaction
CEPEC 74,Witches' Broom,resistant,Field Reaction
CEPEC 74,Witches' Broom,intermediate,Seedling
CEPEC 84,Witches' Broom,resistant,Field Reaction
