Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Cotyledon wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Notes
C 4 /11 [TRI],63,24,-,7,2.00,1.25,25.6,14.4,8.4,Accession 19
CC 10,79,21,-,-,3.22,2.08,29.7,15.9,11.3,Accession 58
CC 41,100,-,-,-,1.99,1.18,25.0,14.0,9.0,Accession 59
CC 9,100,-,-,-,1.73,1.12,25.0,12.5,9.0,Accession 57
EET 103 [ECU],58,2,-,-,2.35,1.57,27.2,14.1,9.7,Accession 28
EET 162 [ECU],100,-,-,-,2.08,1.36,26.6,13.8,9.0,Accession 29
EET 19 [ECU],68,12,-,20,2.80,1.89,28.0,16.2,10.4,Accession 23
EET 238 [ECU],100,-,-,-,2.00,1.36,25.6,13.1,9.2,Accession 30
EET 433 [ECU],37,34,19,10,1.96,1.34,26.5,12.6,9.3,Accession 34
EET 433 [ECU],50,30,16,4,2.02,1.36,26.9,12.6,9.5,Accession 33
EET 48 [ECU],100,-,-,-,2.45,1.6,27.5,14.5,9.9,Accession 24
EET 62 [ECU],95,5,-,-,2.33,1.52,26.6,14.1,10.0,Accession 25
EET 95 [ECU],100,-,-,-,2.29,1.54,26.8,14.2,9.4,Accession 26
EET 96 [ECU],100,-,-,-,2.31,1.49,27.3,13.9,9.9,Accession 27
GS 29,83,8,-,9,1.80,1.17,23.3,13.7,9.2,Accession 17
GS 36,85,13,-,2,2.00,1.29,23.9,14.2,9.1,Accession 18
ICS 1,76,14,1,9,1.90,1.2,25.9,14.1,8.3,Accession 1
ICS 100,66,21,3,10,1.90,1.22,25.4,12.8,9.2,Accession 10
ICS 16,85,12,1,2,2.20,1.4,25.6,15.3,8.6,Accession 4
ICS 55,19,30,1,50,1.90,1.0,23.4,14.3,8.9,Accession 5
ICS 6,91,9,-,-,2.30,1.5,26.0,15.3,9.0,Accession 2
ICS 75,41,36,10,13,1.90,1.3,23.8,13.9,9.1,Accession 6
ICS 8,88,22,-,-,2.30,1.5,25.2,15.3,9.7,Accession 3
ICS 89,73,27,-,-,1.80,1.1,22.4,14.2,9.3,Accession 7
ICS 95,67,29,-,4,1.50,1.0,22.7,12.1,8.7,Accession 8
ICS 98,73,27,-,-,1.80,1.1,22.7,13.3,9.7,Accession 9
IMC 67,92,8,-,-,1.30,0.93,22.8,11.2,7.9,Accession 13
OC 61 [VEN],20,40,17,23,2.65,1.6,26.4,15.8,10.5,Accession 48
OC 77 [VEN],4,80,-,16,2.22,1.29,26.6,13.5,10.6,Accession 49
PA 121 [PER],100,-,-,-,1.57,1.01,22.9,12.1,8.9,Accession 51
POUND 12,88,12,-,-,-,0.69,21.1,10.2,6.9,Accession 15
POUND 18,100,-,-,-,1.19,0.88,23.0,11.6,7.5,Accession 64
POUND 7,100,-,-,-,1.30,0.95,22.1,12.3,7.7,Accession 14
PQTO 87 [VEN],84,16,-,-,1.88,1.18,23.8,13.8,9.1,Accession 47
RIM 10 [MEX],85,15,-,-,2.10,1.74,25.7,14.6,11.6,Accession 60
RIM 13 [MEX],64,34,-,2,2.51,1.58,25.3,14.2,11.2,Accession 61
RIM 30 [MEX],75,19,2,4,2.56,1.62,25.5,14.4,11.5,Accession 62
RIM 48 [MEX],61,35,2,2,2.33,1.51,24.9,14.0,10.9,Accession 63
SC 10 [VEN],100,-,-,-,1.91,1.16,25.2,13.4,8.7,Accession 46
SC 5 [COL],65,32,2,1,2.34,1.43,24.6,14.4,10.9,Accession 35
SC 6 [COL],35,45,14,6,2.03,1.32,24.0,14.0,10.1,Accession 36
SCA 12,92,8,-,-,1.10,0.66,22.0,10.5,7.1,Accession 12
SCA 6,71,29,-,-,1.00,0.62,19.7,10.2,7.5,Accession 11
SIAL 163,100,-,-,-,1.43,0.92,23.2,12.1,11.0,Accession 44
SIAL 325,100,-,-,-,1.47,0.99,24.7,11.2,7.9,Accession 45
SIAL 70,100,-,-,-,1.58,1.06,24.2,12.7,7.7,Accession 42
SIAL 88,100,-,-,-,1.74,1.13,25.0,12.7,8.3,Accession 43
SIC 801,-,30,70,-,1.53,1.04,25.1,12.3,7.7,Accession 37
SIC 802,42,-,58,-,1.60,1.12,24.7,12.4,8.1,Accession 38
SIC 812,15,-,85,-,1.33,0.89,24.2,11.9,7.2,Accession 39
SIC 823,8,-,92,-,1.38,0.96,23.8,11.8,7.5,Accession 40
SIC 831,15,-,85,-,1.57,1.09,25.5,12.3,7.7,Accession 41
SILECIA 1 [ECU],-,-,-,-,-,2.8,-,-,-,Accession 66
SILECIA 5 [ECU],-,-,-,-,-,2.4,-,-,-,Accession 67
SPA 9 [COL],93,7,-,-,1.52,1.02,22.7,12.3,8.6,Accession 50
TRONCO 1800,99,1,-,-,1.78,1.15,24.1,12.7,9.5,Accession 31
TRONCO 2270,44,32,11,13,1.95,1.27,26.9,11.7,9.9,Accession 32
TSA 644,99,1,-,-,1.40,0.95,22.2,11.9,8.1,Accession 20
TSA 654,94,6,-,-,1.32,0.88,23.2,11.3,8.3,
TSAN 792,92,8,-,-,1.73,1.12,24.6,13.7,8.0,Accession 22
TSH 565,85,11,-,4,1.59,1.0,24.8,12.0,8.8,Accession 21
UF 221,85,15,-,-,2.85,1.8,28.0,15.6,10.3,Accession 53
UF 29,100,-,-,-,1.58,1.05,23.0,13.0,9.1,Accession 52
UF 613,83,17,-,-,2.30,1.44,26.3,13.9,10.0,Accession 54
UF 650,87,13,-,-,3.47,2.2,29.8,16.6,11.4,Accession 55
