Clone name,Shape,Rugosity,Ridge desc,Husk thickness,Length,Breadth,Colour,Hardness,Length breadth ratio,Notes
C 4 /11 [TRI],amelonado,smooth,paired,13.5 mm,150.0,90.0,light red and green,moderate,1.66,accession 19
CC 10,angoleta,intense,paired,14.8 mm,210.0,99.0,yellow,moderate,2.12,accession 58
CC 41,angoleta,moderate,paired,16.8 mm,162.0,96.0,yellow,hard,1.68,accession 59
CC 9,cundeamor,moderate,paired,12.7 mm,165.0,82.0,yellow,moderate,2.01,accession 57
EET 103 [ECU],angoleta,intense,paired,16.2 mm,179.0,94.0,bright yellow / yellow (ridge/furrow),hard,1.90,accession 28
EET 156 [ECU],amelonado,-,-,-,-,-,-,-,-,accession 65
EET 162 [ECU],cundeamor,intense,paired,15.3 mm,168.0,92.0,yellow / light red and green (ridge/furrow),hard,1.82,accession 29
EET 19 [ECU],cundeamor,intense,paired,17.4 mm,196.0,109.0,yellow / light red and green (ridge/furrow),moderate,1.79,accession 23
EET 238 [ECU],angoleta,intense,paired,17.3 mm,177.0,99.0,yellow / light red and green (ridge/furrow),hard,1.78,accession 30
EET 433 [ECU],angoleta,intense,paired,13.3 mm,156.0,92.0,yellow,moderate,1.69,accession 34
EET 433 [ECU],angoleta,intense,paired,15.1 mm,213.0,93.0,yellow,hard,2.29,accession 33
EET 48 [ECU],cundeamor,intense,paired,17.3 mm,180.0,96.0,yellow / light red and green (ridge/furrow),hard,1.87,accession 24
EET 62 [ECU],cundeamor,intense,paired,18.3 mm,191.0,104.0,yellow / light red and green (ridge/furrow),hard,1.83,accession 25
EET 95 [ECU],cundeamor,intense,paired,15.9 mm,179.0,93.0,yellow,hard,1.92,accession 26
EET 96 [ECU],angoleta,intense,paired,17.6 mm,188.0,100.0,yellow / light red and green (ridge/furrow),hard,1.88,accession 27
GS 29,angoleta,intense,paired,12.7 mm,185.0,83.0,light red and green / bright red and yellow (ridge/furrow),moderate,2.22,accession 17
GS 36,cundeamor,intense,paired,13.6 mm,182.0,87.0,"light red, yellow and green / light red and green (ridge/furrow)",hard,2.09,accession 18
ICS 1,cundeamor,moderate,paired,12.9 mm,176.0,86.0,light red and green,moderate,2.04,accession 1
ICS 100,angoleta,moderate,paired,12.1 mm,163.0,85.0,yellow and green / yellow (ridge/furrow),moderate,1.91,accession 10
ICS 16,amelonado,moderate,paired,15.7 mm,174.0,96.0,"light red, yellow and green / bright red and yellow (ridge/furrow)",hard,1.81,accession 4
ICS 55,angoleta,smooth,paired,10.8 mm,142.0,75.0,light red and green,soft,1.89,accession 5
ICS 6,cundeamor,intense,paired,13.4 mm,183.0,95.0,yellow and green / yellow (ridge/furrow),hard,1.92,accession 2
ICS 75,angoleta,moderate,paired,10.8 mm,159.0,89.0,yellow / bright red and yellow (ridge/furrow),moderate,1.78,accession 6
ICS 8,cundeamor,intense,paired,9.2 mm,173.0,85.0,yellow and green / yellow (ridge/furrow),moderate,2.03,accession 3
ICS 89,angoleta,intense,paired,13.0 mm,170.0,85.0,yellow and green,moderate,2.00,accession 7
ICS 95,cundeamor,intense,paired,11.9 mm,193.0,79.0,light red and green / yellow and green (ridge/furrow),soft,2.44,accession 8
ICS 98,cundeamor,moderate,paired,12.5 mm,174.0,79.0,"light red, yellow and green / bright red and yellow (ridge/furrow)",moderate,2.20,accession 9
