Clone name,L w ratio,Basal angle,Apical angle
C 4 /11 [TRI],2.52,117.0,100.0
CC 10,2.79,127.0,90.0
CC 41,2.91,154.0,84.0
CC 9,2.94,161.0,86.0
EET 103 [ECU],2.32,143.0,100.0
EET 162 [ECU],2.59,134.0,100.0
EET 19 [ECU],3.04,113.0,76.0
EET 238 [ECU],2.73,128.0,94.0
EET 433 [ECU],2.67,161.0,92.0
EET 433 [ECU],2.66,136.0,104.0
EET 48 [ECU],2.99,127.0,84.0
EET 62 [ECU],2.74,145.0,95.0
EET 95 [ECU],2.37,143.0,96.0
EET 96 [ECU],2.75,140.0,93.0
GS 29,2.88,132.0,89.0
GS 36,2.87,137.0,90.0
ICS 1,2.53,126.0,95.0
ICS 100,2.71,118.0,85.0
ICS 16,2.61,135.0,92.0
ICS 55,2.63,139.0,99.0
ICS 6,2.72,135.0,84.0
ICS 75,2.31,134.0,113.0
ICS 8,3.42,142.0,79.0
ICS 89,2.46,126.0,94.0
ICS 95,2.57,157.0,94.0
ICS 98,2.56,122.0,109.0
IMC 67,3.07,153.0,76.0
OC 61 [VEN],2.75,122.0,90.0
OC 77 [VEN],3.54,109.0,75.0
PA 121 [PER],3.03,155.0,79.0
POUND 12,2.94,145.0,87.0
POUND 7,3.01,168.0,80.0
PQTO 87 [VEN],2.67,141.0,101.0
RIM 10 [MEX],3.01,130.0,73.0
RIM 13 [MEX],2.91,138.0,75.0
RIM 30 [MEX],3.00,120.0,75.0
RIM 48 [MEX],2.83,149.0,80.0
SC 10 [VEN],2.46,124.0,111.0
SC 5 [COL],-,151.0,86.0
SC 6 [COL],-,139.0,86.0
SCA 12,2.66,113.0,93.0
SCA 6,3.11,132.0,85.0
SIAL 163,2.99,155.0,85.0
SIAL 325,2.86,139.0,86.0
SIAL 70,2.74,146.0,95.0
SIAL 88,2.95,136.0,91.0
SIC 801,2.65,136.0,96.0
SIC 802,2.74,142.0,94.0
SIC 812,2.59,142.0,100.0
SIC 823,2.77,138.0,93.0
SIC 831,2.71,148.0,95.0
SILECIA 1 [ECU],3.04,106.0,88.0
SILECIA 1 [ECU],3.04,106.0,88.0
SILECIA 5 [ECU],3.04,115.0,91.0
SILECIA 5 [ECU],3.04,115.0,94.0
SPA 9 [COL],2.79,173.0,96.0
TRONCO 1800,3.00,130.0,82.0
TRONCO 2270,2.77,132.0,86.0
TSA 644,3.06,128.0,86.0
TSA 654,3.13,171.0,83.0
TSAN 792,3.41,106.0,79.0
TSH 565,3.60,119.0,88.0
UF 221,2.81,123.0,84.0
UF 29,2.80,151.0,89.0
UF 613,3.06,128.0,74.0
UF 650,2.83,124.0,76.0
