Clone name,Self compatibility
BE 2,self incompatible
BS 2,self incompatible
C SUL 3,self incompatible
C SUL 7,self incompatible
CAAG,self incompatible
CAS 1,self incompatible
CAS 3,self incompatible
CATIE 1000,self compatible
CATONGO,self compatible
CC 10,self compatible
CC 100,self incompatible
CC 103,self compatible
CC 106,self incompatible
CC 107,self compatible
CC 120,self incompatible
CC 121,self compatible
CC 124,self incompatible
CC 132,self compatible
CC 137,self compatible
CC 138,self incompatible
CC 139,self compatible
CC 143,self compatible
CC 144,self compatible
CC 152,self compatible
CC 158,self compatible
CC 169,self compatible
CC 17,self compatible
CC 173,self compatible
CC 18,self compatible
CC 182,self incompatible
CC 200,self compatible
CC 201,self incompatible
CC 210,self incompatible
CC 211,self incompatible
CC 212,self compatible
CC 213,self incompatible
CC 214,self incompatible
CC 215,self compatible
CC 220,self incompatible
CC 222,self compatible
CC 223,self compatible
CC 224,self incompatible
CC 225,self incompatible
CC 226,self incompatible
CC 228,self incompatible
CC 231,self incompatible
CC 232,self compatible
CC 235,self incompatible
CC 236,self incompatible
CC 240,self incompatible
CC 241,self compatible
CC 243,self incompatible
CC 244,self incompatible
CC 245,self incompatible
CC 249,self compatible
CC 250,self compatible
CC 251,self incompatible
CC 252,self incompatible
CC 253,self incompatible
CC 256,self compatible
CC 257,self compatible
CC 259,self compatible
CC 262,self compatible
CC 265,self compatible
CC 266,self incompatible
MATINA 1 /6,self incompatible
CC 27,self compatible
CC 33,self compatible
CC 34,self compatible
CC 35,self compatible
CC 37,self compatible
CC 38,self compatible
CC 39,self compatible
CC 40,self compatible
CC 41,self compatible
CC 42,self compatible
CC 45,self compatible
CC 47,self compatible
CC 48,self compatible
CC 49,self compatible
CC 52,self incompatible
CC 54,self compatible
CC 67,self incompatible
CC 69,self incompatible
CC 71,self compatible
CC 74,self compatible
CC 79,self incompatible
CC 83,self incompatible
CC 9,self compatible
DIAMANTES 800,self incompatible
EEG 25,self compatible
EEG 27,self compatible
EEG 29,self compatible
EEG 65,self incompatible
EET 156 [ECU],self incompatible
EET 162 [ECU],self compatible
EET 183 [ECU],self compatible
EET 19 [ECU],self incompatible
EET 228 [ECU],self compatible
EET 250 [ECU],self incompatible
EET 338 [ECU],self compatible
EET 353 [ECU],self compatible
EET 364 [ECU],self compatible
EET 376 [ECU],self incompatible
EET 377 [ECU],self incompatible
EET 390 [ECU],self incompatible
EET 397 [ECU],self incompatible
EET 399 [ECU],self incompatible
EET 400 [ECU],self incompatible
EET 41 [ECU],self compatible
EET 45 [ECU],self incompatible
EET 48 [ECU],self incompatible
EET 53 [ECU],self compatible
EET 59 [ECU],self incompatible
EET 62 [ECU],self incompatible
EET 67 [ECU],self compatible
EET 75 [ECU],self incompatible
EET 94 [ECU],self compatible
EET 95 [ECU],self compatible
EET 96 [ECU],self compatible
GA 11 [HAI],self incompatible
GS 36,self compatible
GS 50,self compatible
GS 78,self compatible
ICS 1,self compatible
ICS 100,self incompatible
ICS 117,self incompatible
ICS 133,self incompatible
ICS 137,self incompatible
ICS 138,self incompatible
ICS 16,self incompatible
ICS 29,self incompatible
