Clone name,Shape,Colour,Notes
AMANAVEN [CRI],amelonado,green,-
APA 4,amelonado,green,-
APA 5,amelonado,green,-
BE 10,amelonado,green,-
BE 2,calabacillo,green,-
BE 3,amelonado,green,-
BE 4,amelonado,red,-
BE 5,amelonado,green,-
BE 8,amelonado,green,-
BS 2,angoleta,green,-
C SUL 3,amelonado,green,-
C SUL 7,amelonado,intense green,-
CAAG,amelonado,green,-
CACAO ENANO,amelonado,green,-
CARMELO 1-59 [MEX],amelonado,green,-
CAS 1,amelonado,green,-
CAS 3,amelonado,green,-
CATIE 1000,amelonado,green,-
CATONGO,calabacillo,green,-
CC 10,angoleta,intense green,-
CC 100,amelonado,green,-
CC 103,amelonado,green,-
CC 106,amelonado,intense green,-
CC 107,amelonado,intense green,-
CC 120,-,green,-
CC 121,amelonado,green,-
CC 124,amelonado,red,-
CC 132,amelonado,green,-
CC 137,amelonado,green,-
CC 138,amelonado,intense green,-
CC 139,amelonado,green,-
CC 143,amelonado,green,-
CC 144,amelonado,green,-
CC 152,amelonado,intense green,-
CC 158,amelonado,green,-
CC 169,amelonado,green,-
CC 17,angoleta,intense green,-
CC 173,amelonado,green,-
CC 18,amelonado,intense green,-
CC 182,cundeamor,intense green,-
CC 200,amelonado,green,-
CC 201,amelonado,green,-
CC 210,amelonado,green,-
CC 211,amelonado,intense green,-
CC 212,amelonado,green,-
CC 213,amelonado,intense green,-
CC 214,amelonado,green,-
CC 215,amelonado,green,-
CC 220,amelonado,green,-
CC 221,amelonado,green,-
CC 222,amelonado,intense green,-
CC 223,amelonado,red,-
CC 224,amelonado,green,-
CC 225,amelonado,intense green,-
CC 226,amelonado,green,-
CC 228,amelonado,intense green,-
CC 231,amelonado,intense green,-
CC 232,amelonado,green,-
CC 234,amelonado,green,-
CC 235,amelonado,red,-
CC 236,angoleta,intense green,-
CC 237,amelonado,green,-
CC 240,angoleta,green,-
CC 241,amelonado,intense green,-
CC 243,amelonado,red,-
CC 244,amelonado,green,-
CC 245,angoleta,green,-
CC 246,angoleta,green,-
CC 249,amelonado,green,-
CC 250,amelonado,green,-
CC 251,amelonado,intense green,-
CC 252,amelonado,red,-
CC 253,amelonado,red,-
CC 254,angoleta,red,-
CC 255,angoleta,intense green,-
CC 256,amelonado,intense green,-
CC 257,amelonado,intense green,-
CC 258,amelonado,green,-
CC 259,amelonado,green,-
CC 260,amelonado,green,-
CC 261,amelonado,green,-
CC 262,amelonado,green,-
CC 263,amelonado,green,-
CC 265,angoleta,green,-
CC 266,amelonado,red,-
MATINA 1 /6,amelonado,green,-
CC 27,amelonado,green,-
CC 30,amelonado,red,-
CC 33,amelonado,green,-
CC 34,amelonado,green,-
CC 35,angoleta,green,-
CC 37,amelonado,red,-
CC 38,amelonado,green,-
CC 39,amelonado,green,-
CC 40,amelonado,green,-
CC 41,amelonado,green,-
CC 42,amelonado,green,-
CC 43,cundeamor,intense green,-
CC 44,amelonado,green,-
CC 45,amelonado,red,-
CC 46,amelonado,green,-
CC 47,amelonado,green,-
CC 48,amelonado,green,-
CC 49,amelonado,green,-
CC 52,amelonado,red,-
CC 54,amelonado,green,-
CC 67,amelonado,green,-
CC 69,angoleta,red,-
CC 71,cundeamor,green,-
CC 74,amelonado,red,-
CC 79,amelonado,green,-
CC 83,amelonado,green,-
CC 9,amelonado,green,-
CC 99,cundeamor,intense green,-
CHU 120 [VEN],angoleta,red,-
CHU 24 [VEN],angoleta,red,-
CNS 22 [VEN],cundeamor,green,-
CNS 23 [VEN],angoleta,green,-
COCA 3312 [CHA],amelonado,green,-
CRIOLLO [CRI],amelonado,green,-
CRIOLLO 1 [CRI],cundeamor,green,-
CRIOLLO 10 [CRI],amelonado,green,-
CRIOLLO 11 [CRI],angoleta,light green,-
CRIOLLO 12 [CRI],angoleta,light green,-
CRIOLLO 13 [CRI],angoleta,light green,-
CRIOLLO 14 [CRI],angoleta,green,-
CRIOLLO 15 [CRI],amelonado,intense green,-
CRIOLLO 17 [CRI],cundeamor,intense green,-
CRIOLLO 18 [CRI],angoleta,green,-
CRIOLLO 19 [CRI],angoleta,light green,-
CRIOLLO 2 [CRI],cundeamor,green,-
CRIOLLO 20 [CRI],angoleta,light green,-
CRIOLLO 21 [CRI],angoleta,green,-
CRIOLLO 216 [CRI],angoleta,green,-
CRIOLLO 22 [CRI],angoleta,light green,-
CRIOLLO 23 [CRI],angoleta,light green,-
CRIOLLO 24 [CRI],angoleta,light green,-
CRIOLLO 25 [CRI],angoleta,light green,-
CRIOLLO 26 [CRI],amelonado,green,-
CRIOLLO 27 [CRI],cundeamor,light green,-
CRIOLLO 28 [CRI],amelonado,green,-
CRIOLLO 29 [CRI],angoleta,green,-
CRIOLLO 3 [CRI],amelonado,green,-
CRIOLLO 33 [CRI],cundeamor,intense green,-
CRIOLLO 34 [CRI],amelonado,intense green,-
CRIOLLO 35 [CRI],cundeamor,green,-
