Clone name,Pathogen,Species,Reaction,Part,Notes
AMANAVEN [CRI],Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
APA 4,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
B 10 [POU],Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
BE 10,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
BE 2,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
BE 3,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
BE 4,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
BE 5,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
BS 2,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
C SUL 7,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CAAG,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CATIE 1000,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CATONGO,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CATONGO /BLANCO,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CATONGO /ORIGINAL,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CATONGO /URUCUCA,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 10,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 100,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 103,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 106,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 107,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 121,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 124,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 132,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 137,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 138,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 139,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 144,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
CC 152,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 158,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 169,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
CC 17,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 173,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 18,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 182,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 201,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 210,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 211,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 212,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 213,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 214,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 215,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 220,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 222,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 223,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 224,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 225,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 228,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 231,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 232,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 234,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 235,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 236,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
CC 237,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 240,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 241,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 243,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 244,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 245,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 246,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 249,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 250,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 251,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
CC 252,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 253,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 254,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 256,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
CC 257,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 265,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 266,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
CC 27,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
CC 33,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
CC 34,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
