Clone name,Pathogen,Species,Reaction,Info,Part,Notes
Borne 7-A-2,Phytophthora,P. megakarya,moderate resistance,Mean of lesion score = 2.18,Leaf Disc Test,Population Borne 7
Borne 7-B-3,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.43,Leaf Disc Test,Population Borne 7
Borne 7-B-5,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.19,Leaf Disc Test,Population Borne 7
Borne 7-B-6,Phytophthora,P. megakarya,resistant,Described as Very Resistant. Mean of lesion score = 0.84,Leaf Disc Test,Population Borne 7
ELP 16 A,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.06,Leaf Disc Test,Population Euleupousing
ELP 2 B,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 2.81,Leaf Disc Test,Population Euleupousing
ELP 20 A,Phytophthora,P. megakarya,resistant,Described as Very Resistant. Mean of lesion score = 0.89,Leaf Disc Test,Population Euleupousing
ELP 22 A,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.18,Leaf Disc Test,Population Euleupousing
ELP 28 A,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 2.71,Leaf Disc Test,Population Euleupousing
ELP 37 A,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 3.04,Leaf Disc Test,Population Euleupousing
ELP 40 B,Phytophthora,P. megakarya,susceptible,Described as Very Susceptible. Mean of lesion score = 3.61,Leaf Disc Test,Population Euleupousing
SAN MIGUEL 3360 [CHA],Phytophthora,P. megakarya,susceptible,Described as Very Susceptible. Mean of lesion score = 3.56,Leaf Disc Test,-
GF 23,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 3.28,Leaf Disc Test,-
GU 123 /V,Phytophthora,P. megakarya,resistant,Described as Very Resistant. Mean of lesion score = 0.16,Leaf Disc Test,Population Tanpok
GU 125 /C,Phytophthora,P. megakarya,resistant,Described as Very Resistant. Mean of lesion score = 0.71,Leaf Disc Test,Population Camopi 6
GU 129 B,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 2.66,Leaf Disc Test,Population Camopi 7
GU 134 /A,Phytophthora,P. megakarya,susceptible,Mean of lesion score = 2.63,Leaf Disc Test,Population Camopi 7
GU 134 /B,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.34,Leaf Disc Test,Population Camopi 7
GU 134 C,Phytophthora,P. megakarya,resistant,Mean of lesion score = 1.55,Leaf Disc Test,Population Camopi 7
