Clone name,Pathogen,Species,Reaction,Infection,Info,Part,Notes
AC T 2 /11 [TTO],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
AMAZ 3 /2,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
AMELONADO 15 [MAY],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
APA 5,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 12,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 14,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 2,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
ARF 24,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 31,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 32,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
ARF 33,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
ARF 37,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
ARF 5,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
ARF 6,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
ARF 22,Phytophthora,P. palmivora,resistant,0.70,Artificial reaction to black pod and natural incidence of the disease over 3 years,-,Rated as Highly Resistant
ARF 22,Frosty Pod,-,-,55.00,Natural incidence of the disease over 9 years,Field reaction,-
BE 4,Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
BE 8,Phytophthora,P. palmivora,-,0.20,Natural incidence of the disease over 3 years,Field reaction,-
BE 8,Frosty Pod,-,moderate resistance,48.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,-,-
CATIE-R1,Phytophthora,P. palmivora,-,3.20,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R1,Frosty Pod,-,-,14.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R2,Phytophthora,P. palmivora,-,0.00,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R2,Frosty Pod,-,-,14.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R3,Phytophthora,P. palmivora,-,0.10,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R3,Frosty Pod,-,-,19.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R4,Phytophthora,P. palmivora,-,0.20,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R4,Frosty Pod,-,-,9.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R5,Phytophthora,P. palmivora,-,1.80,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R5,Frosty Pod,-,-,9.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R6,Phytophthora,P. palmivora,-,0.10,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R6,Frosty Pod,-,-,5.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE-R7,Phytophthora,P. palmivora,-,0.70,Natural incidence of the disease over 3 years,Field reaction,-
CATIE-R7,Frosty Pod,-,-,15.00,Natural incidence of the disease over 9 years,Field reaction,-
CATIE 1000,Phytophthora,P. palmivora,-,0.00,Natural incidence of the disease over 3 years,Field reaction,-
CATIE 1000,Frosty Pod,-,-,79.00,Natural incidence of the disease over 9 years,Field reaction,-
CC 137,Phytophthora,P. palmivora,-,0.20,Natural incidence of the disease over 3 years,Field reaction,-
CC 137,Frosty Pod,-,-,27.00,Natural incidence of the disease over 9 years,Field reaction,-
CC 240,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CCN 51,Phytophthora,P. palmivora,-,0.10,Natural incidence of the disease over 3 years,Field reaction,"Although this clone shares many morpho-physiological characteristics with the true type, it is an off-type as determined by USDA-ARS"
CCN 51,Frosty Pod,-,-,43.00,Natural incidence of the disease over 9 years,Field reaction,"Although this clone shares many morpho-physiological characteristics with the true type, it is an off-type as determined by USDA-ARS"
CHU 120 [VEN],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CL 19 /10,Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CRIOLLO 14 [CRI],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CRIOLLO 43 [CRI],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CRIOLLO 66 [CRI],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CRIOLLO 8 [CRI],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
CRIOLLO 34 [CRI],Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
EET 129 [ECU],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
EET 272 [ECU],Phytophthora,P. palmivora,resistant,-,Artificial reaction to black pod (Paper Disc Method),-,Rated as Highly Resistant
EET 401 [ECU],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
EET 407 [ECU],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
EET 75 [ECU],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
EET 183 [ECU],Phytophthora,P. palmivora,-,0.00,Natural incidence of the disease over 3 years,Field reaction,-
EET 183 [ECU],Frosty Pod,-,-,25.00,Natural incidence of the disease over 9 years,Field reaction,-
EET 59 [ECU],Phytophthora,P. palmivora,resistant,0.10,Artificial reaction to black pod and natural incidence of the disease over 3 years,-,Rated as Highly Resistant
EET 59 [ECU],Frosty Pod,-,-,51.00,Natural incidence of the disease over 9 years,Field reaction,-
EQX 69 [EQX],Frosty Pod,-,moderate resistance,-,Artificial reaction to frosty pod,-,-
