Clone name,Pod index,Yield ha,Info,Notes
ARF 22,-,1167,3 year mean,-
BE 8,-,527,3 year mean,-
CATIE-R1,-,1678,3 year mean,-
CATIE-R2,-,1106,3 year mean,-
CATIE-R3,-,815,3 year mean,-
CATIE-R4,-,2272,3 year mean,-
CATIE-R5,-,1076,3 year mean,-
CATIE-R6,-,2538,3 year mean,-
CATIE-R7,-,1230,3 year mean,-
CATIE 1000,-,422,3 year mean,-
CC 137,-,1547,3 year mean,-
CCN 51,-,1265,3 year mean,"Although this clone shares many morpho-physiological characteristics with the true type, it is an off-type as determined by USDA-ARS"
EET 183 [ECU],-,1137,3 year mean,-
EET 59 [ECU],-,778,3 year mean,-
GU 133 /N,-,98,3 year mean,-
ICS 44,-,633,3 year mean,-
ICS 95,22.0,1037,3 year mean,-
IMC 60,-,656,3 year mean,-
P 23 [MEX],-,133,3 year mean,-
PA 169 [PER],-,659,3 year mean,-
PMCT 58,-,1144,3 year mean,-
POUND 7,-,908,3 year mean,-
RB 41 [BRA],-,243,3 year mean,-
SCA 12,-,231,3 year mean,-
SCA 6,-,155,3 year mean,-
SGU 84,-,409,3 year mean,-
UF 273,-,1194,3 year mean,-
UF 712,-,288,3 year mean,-
