Clone name,Pod index,Yield ha,Notes
CATIE-R1,29.0,1674,Yield is average for years 6 to 11.
CATIE-R4,18.0,2070,Yield is average for years 6 to 11.
CATIE-R6,24.0,2363,Yield is average for years 6 to 11.
CC 137,24.0,1321,Yield is average for years 6 to 11.
CCN 51,18.0,1034,Yield is average for years 6 to 11.
ICS 95,22.0,926,Yield is average for years 6 to 11.
PMCT 58,27.0,1036,Yield is average for years 6 to 11.
POUND 7,25.0,668,Yield is average for years 6 to 11.
SCA 6,47.0,117,Yield is average for years 6 to 11.
UF 273,31.0,1395,Yield is average for years 6 to 11.
