Clone name,Pathogen,Reaction,Infection,Notes
BE 10,Frosty Pod,susceptible,100.0,External Severety = 5.0 and Internal Severety = 5.0
BE 2,Frosty Pod,susceptible,100.0,External Severety = 4.6 and Internal Severety = 5.0
BE 3,Frosty Pod,susceptible,92.0,External Severety = 2.4 and Internal Severety = 4.2
BE 4,Frosty Pod,susceptible,85.0,External Severety = 4.1 and Internal Severety = 4.4
BE 5,Frosty Pod,susceptible,100.0,External Severety = 4.1 and Internal Severety = 4.7
BS 2,Frosty Pod,susceptible,94.0,External Severety = 4.7 and Internal Severety = 4.7
C SUL 3,Frosty Pod,susceptible,94.0,External Severety = 5.0 and Internal Severety = 5.0
CAAG,Frosty Pod,susceptible,100.0,External Severety = 4.5 and Internal Severety = 4.9
CACAO ENANO,Frosty Pod,susceptible,100.0,External Severety = 4.1 and Internal Severety = 5.0
CATIE 1000,Frosty Pod,susceptible,87.0,External Severety = 4.6 and Internal Severety = 4.8
CATONGO,Frosty Pod,susceptible,93.0,External Severety = 3.0 and Internal Severety = 4.0
CATONGO /BLANCO,Frosty Pod,susceptible,100.0,External Severety = 3.6 and Internal Severety = 4.9
CC 10,Frosty Pod,susceptible,100.0,External Severety = 4.5 and Internal Severety = 4.3
CC 100,Frosty Pod,susceptible,100.0,External Severety = 3.8 and Internal Severety = 4.1
CC 103,Frosty Pod,susceptible,100.0,External Severety = 4.1 and Internal Severety = 4.5
CC 107,Frosty Pod,susceptible,100.0,External Severety = 4.5 and Internal Severety = 4.8
CC 124,Frosty Pod,moderately susceptible,63.0,External Severety = 2.0 and Internal Severety = 3.0
CC 137,Frosty Pod,moderately susceptible,83.0,External Severety = 2.7 and Internal Severety = 3.5
CC 139,Frosty Pod,susceptible,100.0,External Severety = 4.4 and Internal Severety = 5.0
CC 143,Frosty Pod,susceptible,100.0,External Severety = 4.9 and Internal Severety = 5.0
CC 144,Frosty Pod,susceptible,80.0,External Severety = 2.5 and Internal Severety = 3.8
CC 152,Frosty Pod,susceptible,92.0,External Severety = 4.5 and Internal Severety = 4.5
CC 158,Frosty Pod,susceptible,98.0,External Severety = 3.9 and Internal Severety = 4.6
CC 169,Frosty Pod,susceptible,81.0,External Severety = 4.2 and Internal Severety = 4.2
CC 17,Frosty Pod,susceptible,100.0,External Severety = 4.6 and Internal Severety = 4.8
CC 18,Frosty Pod,susceptible,86.0,External Severety = 3.9 and Internal Severety = 4.0
CC 182,Frosty Pod,susceptible,77.0,External Severety = 2.0 and Internal Severety = 3.8
CC 200,Frosty Pod,susceptible,100.0,External Severety = 4.4 and Internal Severety = 0.8
