Clone name,Pathogen,Species,Reaction,Part
ARF 10,Phytophthora,P. palmivora,moderate resistance,Pod
ARF 14,Phytophthora,P. palmivora,resistant,Pod
ARF 18,Phytophthora,P. palmivora,moderate resistance,Pod
ARF 21,Phytophthora,P. palmivora,moderate resistance,Pod
ARF 27,Phytophthora,P. palmivora,moderately susceptible,Pod
ARF 31,Phytophthora,P. palmivora,resistant,Pod
ARF 37,Phytophthora,P. palmivora,moderate resistance,Pod
ARF 4,Phytophthora,P. palmivora,resistant,Pod
ARF 4,Phytophthora,P. palmivora,moderate resistance,Pod
ARF 41,Phytophthora,P. palmivora,moderately susceptible,Pod
ARF 42,Phytophthora,P. palmivora,moderate resistance,Pod
B 2 [POU],Phytophthora,P. palmivora,susceptible,Pod
BE 10,Phytophthora,P. palmivora,susceptible,Pod
BE 5,Phytophthora,P. palmivora,susceptible,Pod
CAS 3,Phytophthora,P. palmivora,moderately susceptible,Pod
CATIE 1000,Phytophthora,P. palmivora,resistant,Pod
CATONGO,Phytophthora,P. palmivora,susceptible,Pod
CC 100,Phytophthora,P. palmivora,susceptible,Pod
CC 103,Phytophthora,P. palmivora,susceptible,Pod
CC 124,Phytophthora,P. palmivora,moderate resistance,Pod
CC 138,Phytophthora,P. palmivora,susceptible,Pod
CC 139,Phytophthora,P. palmivora,susceptible,Pod
CC 143,Phytophthora,P. palmivora,moderate resistance,Pod
CC 158,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 17,Phytophthora,P. palmivora,susceptible,Pod
CC 200,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 201,Phytophthora,P. palmivora,susceptible,Pod
CC 210,Phytophthora,P. palmivora,susceptible,Pod
CC 213,Phytophthora,P. palmivora,susceptible,Pod
CC 215,Phytophthora,P. palmivora,moderate resistance,Pod
CC 221,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 224,Phytophthora,P. palmivora,susceptible,Pod
CC 231,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 235,Phytophthora,P. palmivora,susceptible,Pod
CC 236,Phytophthora,P. palmivora,susceptible,Pod
CC 237,Phytophthora,P. palmivora,susceptible,Pod
CC 241,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 244,Phytophthora,P. palmivora,moderate resistance,Pod
CC 245,Phytophthora,P. palmivora,susceptible,Pod
CC 246,Phytophthora,P. palmivora,moderate resistance,Pod
CC 249,Phytophthora,P. palmivora,susceptible,Pod
CC 250,Phytophthora,P. palmivora,moderate resistance,Pod
CC 255,Phytophthora,P. palmivora,moderately susceptible,Pod
CC 256,Phytophthora,P. palmivora,moderate resistance,Pod
CC 258,Phytophthora,P. palmivora,susceptible,Pod
