Clone name,Pathogen,Reaction
ICS 39,Vascular Streak Dieback,moderate tolerance
ICS 60,Vascular Streak Dieback,moderate tolerance
NA 32,Vascular Streak Dieback,susceptible
NA 33,Vascular Streak Dieback,tolerant
PA 138 [PER],Vascular Streak Dieback,tolerant
PA 35 [PER],Vascular Streak Dieback,susceptible
PA 7 [PER],Vascular Streak Dieback,susceptible
PA 76 [PER],Vascular Streak Dieback,tolerant
SCA 12,Vascular Streak Dieback,tolerant
SCA 6,Vascular Streak Dieback,tolerant
UIT 1,Vascular Streak Dieback,moderate tolerance
UIT 2,Vascular Streak Dieback,moderate tolerance
