Parent,Station,Country
T85/799,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
T79/501,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
T60/887,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
SCA 6,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
POR,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
PA150,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
NA32,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
IMC67,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
IFC412,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
IFC15,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
IFC1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
ICS1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
