Clone name,Pathogen,Reaction
AM 2 /28 [POU],Witches' Broom,tolerant
AM 2 /38 [POU],Witches' Broom,tolerant
B 7 /2 [POU],Witches' Broom,tolerant
B 7 /5 [POU],Witches' Broom,tolerant
CL 10 /15,Witches' Broom,tolerant
CL 15,Witches' Broom,tolerant
CL 19 /4,Witches' Broom,tolerant
CLM 19,Witches' Broom,tolerant
IMC 30,Witches' Broom,tolerant
JA 2 /26 [POU],Witches' Broom,tolerant
JA 3 /11 [POU],Witches' Broom,tolerant
JA 7 /2 [POU],Witches' Broom,tolerant
JA 7 /9 [POU],Witches' Broom,tolerant
JA 8 /62 [POU],Witches' Broom,tolerant
LP 1 /45 [POU],Witches' Broom,tolerant
LP 6 /12 [POU],Witches' Broom,tolerant
LV 56 [POU],Witches' Broom,tolerant
LX 20,Witches' Broom,tolerant
LZ 2,Witches' Broom,tolerant
MO 80,Witches' Broom,tolerant
MOQ 1 /17,Witches' Broom,tolerant
MOQ 1 /19,Witches' Broom,tolerant
MOQ 5 /4,Witches' Broom,tolerant
MOQ 6 /67,Witches' Broom,tolerant
NA 8,Witches' Broom,tolerant
SLC 4,Witches' Broom,tolerant
