Clone name,Pathogen,Reaction,Notes
Aryadi 2,Vascular Streak Dieback,resistant,"Tested at Bonebone, North Luwu"
DRC 15,Vascular Streak Dieback,moderate resistance,"Tested at Allacimpo, Pinrang"
Geni J,Vascular Streak Dieback,resistant,"Tested at Allacimpo, Pinrang"
Hari J,Vascular Streak Dieback,resistant,"Tested at Bonebone, North Luwu"
ICCRI 04,Vascular Streak Dieback,moderate resistance,"Tested at Bonebone, North Luwu"
ICCRI 04,Vascular Streak Dieback,moderately susceptible,"Tested at Allacimpo, Pinrang"
M 1 [IDN],Vascular Streak Dieback,moderately susceptible,"Tested at Bonebone, North Luwu, and Allacimpo, Pinrang"
M 4 [IDN],Vascular Streak Dieback,moderately susceptible,"Tested at Bonebone, North Luwu, and Allacimpo, Pinrang"
M 5 [IDN],Vascular Streak Dieback,resistant,"Tested at Allacimpo, Pinrang"
M 6 [IDN],Vascular Streak Dieback,moderate resistance,"Tested at Allacimpo, Pinrang"
MA/PG 01 [IDN],Vascular Streak Dieback,susceptible,"Tested at Bonebone, North Luwu"
Panimbu Red,Vascular Streak Dieback,susceptible,"Tested at Bonebone, North Luwu"
Panimbu Red,Vascular Streak Dieback,moderately susceptible,"Tested at Allacimpo, Pinrang"
Patila Green,Vascular Streak Dieback,susceptible,"Tested at Bonebone, North Luwu"
PBC 123,Vascular Streak Dieback,resistant,"Tested at Bonebone, North Luwu, and Allacimpo, Pinrang"
PCK,Vascular Streak Dieback,moderate resistance,"Tested at Allacimpo, Pinrang"
RB [IDN],Vascular Streak Dieback,moderate resistance,"Tested at Allacimpo, Pinrang"
SS Rewang,Vascular Streak Dieback,susceptible,"Tested at Bonebone, North Luwu"
Terobok Green,Vascular Streak Dieback,susceptible,"Tested at Bonebone, North Luwu"
TR 1 [IDN],Vascular Streak Dieback,susceptible,"Tested at Allacimpo, Pinrang"
YD 75,Vascular Streak Dieback,moderately susceptible,"Tested at Bonebone, North Luwu"
