Clone name,Number,Wet weight
AGU 17 [CHA],36.0,1.66
AMAZ 1,40.0,1.34
AMAZ 10,41.0,0.72
AMAZ 9,28.0,1.50
BOB 3 [CHA],39.0,1.60
BOB 8 [CHA],36.0,1.64
COCA 3023 [CHA],28.0,0.80
COCA 3335 [CHA],22.0,1.65
COCA 3338 [CHA],27.0,1.25
CUR 15 [CHA],25.0,1.50
CUR 3 [CHA],28.0,1.86
NAPO 1 [CHA],26.0,1.73
NAPO 18 [CHA],19.0,1.50
NAPO 25 [CHA],23.0,1.24
NAPO 3 [CHA],12.0,1.60
NAPO 30 [CHA],43.0,-
NAPO 41 [CHA],20.0,1.44
SAN MIGUEL 8 [CHA],35.0,1.15
SAN MIGUEL 9 [CHA],34.0,1.20
TAP 1 [CHA],38.0,0.80
TAP 12 [CHA],32.0,1.02
TAP 2 [CHA],40.0,0.94
TAP 7 [CHA],46.0,0.76
TIPUTINI 1 [CHA],32.0,1.12
TIPUTINI 2 [CHA],41.0,0.89
TIPUTINI 4 [CHA],32.0,1.17
UNAP 1 [CHA],37.0,0.89
