Clone name,Pathogen,Reaction,Notes
CBO 159 [VEN],Phytophthora,resistant,Agallas (S)
CBO 159 [VEN],Witches' Broom,moderately susceptible,Agallas (S)
CBO 159 [VEN],Ceratosystis,resistant,Agallas (S)
CBO 176 [VEN],Phytophthora,susceptible,Agallas (S)
CBO 176 [VEN],Witches' Broom,moderately susceptible,Agallas (S)
CBO 176 [VEN],Ceratosystis,moderate resistance,Agallas (S)
CBO 177 [VEN],Phytophthora,resistant,"P. parasitica (S), P. megasperma (S), P. syringae (S)"
CBO 177 [VEN],Witches' Broom,resistant,"P. parasitica (S), P. megasperma (S), P. syringae (S)"
CBO 177 [VEN],Ceratosystis,moderate resistance,"P. parasitica (S), P. megasperma (S), P. syringae (S)"
CHO 163 [VEN],Phytophthora,resistant,"Conopia (S), P. parasitica (S), P. megasperma (S)"
CHO 163 [VEN],Witches' Broom,susceptible,
CHO 163 [VEN],Phytophthora,susceptible,
CHO 163 [VEN],Witches' Broom,susceptible,"Conopia (S), P. parasitica (S), P. megasperma (S)"
CHO 163 [VEN],Ceratosystis,resistant,
CHO 163 [VEN],Ceratosystis,resistant,"Conopia (S), P. parasitica (S), P. megasperma (S)"
CHO 174 [VEN],Phytophthora,resistant,"Agallas present, P. parasitica (S), P. megasperma (S)"
CHO 174 [VEN],Witches' Broom,susceptible,"Agallas present, P. parasitica (S), P. megasperma (S)"
CHO 174 [VEN],Ceratosystis,resistant,"Agallas present, P. parasitica (S), P. megasperma (S)"
CHO 24 [VEN],Witches' Broom,resistant,Fusarium (S)
CHO 24 [VEN],Phytophthora,susceptible,Fusarium (S)
CHO 24 [VEN],Ceratosystis,moderate resistance,Fusarium (S)
CHO 31 [VEN],Witches' Broom,moderate resistance,"Agallas (MS), Fusarium (S)"
CHO 31 [VEN],Phytophthora,susceptible,"Agallas (MS), Fusarium (S)"
CHO 31 [VEN],Ceratosystis,resistant,"Agallas (MS), Fusarium (S)"
CHO 41 [VEN],Witches' Broom,resistant,Agalla (S)
CHO 41 [VEN],Phytophthora,susceptible,Agalla (S)
CHO 41 [VEN],Ceratosystis,moderate resistance,Agalla (S)
CHU 2 [VEN],Witches' Broom,susceptible,
CHU 2 [VEN],Phytophthora,resistant,
CHU 2 [VEN],Ceratosystis,resistant,
CLP 170 [VEN],Phytophthora,susceptible,Agallas (S)
CLP 170 [VEN],Witches' Broom,moderately susceptible,Agallas (S)
CLP 170 [VEN],Ceratosystis,resistant,Agallas (S)
CUI 32 [VEN],Phytophthora,resistant,"P. parasitica (S), P. megasperma (S), P. syringae (S), Agallas (S)"
CUI 32 [VEN],Witches' Broom,moderately susceptible,"P. parasitica (S), P. megasperma (S), P. syringae (S), Agallas (S)"
CUI 32 [VEN],Ceratosystis,resistant,"P. parasitica (S), P. megasperma (S), P. syringae (S), Agallas (S)"
CUI 33 [VEN],Phytophthora,susceptible,
CUI 33 [VEN],Witches' Broom,resistant,
CUI 33 [VEN],Ceratosystis,resistant,
CUI 38 [VEN],Phytophthora,susceptible,Agallas (R)
CUI 38 [VEN],Witches' Broom,moderately susceptible,Agallas (R)
CUI 38 [VEN],Ceratosystis,susceptible,Agallas (R)
D 11 [VEN],Phytophthora,susceptible,
D 11 [VEN],Witches' Broom,susceptible,
D 11 [VEN],Ceratosystis,resistant,
D 15 [VEN],Phytophthora,susceptible,
D 15 [VEN],Witches' Broom,susceptible,
D 15 [VEN],Ceratosystis,resistant,
D 4 [VEN],Phytophthora,susceptible,
D 4 [VEN],Witches' Broom,susceptible,
D 4 [VEN],Ceratosystis,resistant,
D 5 [VEN],Phytophthora,susceptible,
D 5 [VEN],Witches' Broom,susceptible,
D 5 [VEN],Ceratosystis,resistant,
HAA 4 [VEN],Phytophthora,susceptible,
HAA 4 [VEN],Witches' Broom,susceptible,
HAA 4 [VEN],Ceratosystis,susceptible,
LC 165 [VEN],Phytophthora,susceptible,
LC 165 [VEN],Witches' Broom,moderately susceptible,
LC 165 [VEN],Ceratosystis,susceptible,
LC 168 [VEN],Phytophthora,resistant,"P. parasitica (S), P. syringae (S), P. megasperma (S)"
