Clone name,Ligule colour,Stamen size,Sepal colour,Sepal size,Ligule size,Staminode colour,Pedicel size,Self compatibility
AM 1 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,-
CBO 159 [VEN],intense anthocyanin,medium,moderate anthocyanin,medium,medium,intense anthocyanin,medium,-
CBO 176 [VEN],intense anthocyanin,large,moderate anthocyanin,large,large,intense anthocyanin,large,self compatible
CBO 177 [VEN],intense anthocyanin,small,slight anthocyanin,large,medium,moderate anthocyanin,large,self compatible
CHO 163 [VEN],moderate anthocyanin,large,-,large,medium,moderate anthocyanin,large,self compatible
CHO 163 [VEN],intense anthocyanin,medium,moderate anthocyanin,large,medium,intense anthocyanin,large,self compatible
CHO 174 [VEN],intense anthocyanin,medium,slight anthocyanin,large,large,intense anthocyanin,large,self compatible
CHO 24 [VEN],intense anthocyanin,medium,slight anthocyanin,-,medium,intense anthocyanin,large,self compatible
CHO 31 [VEN],moderate anthocyanin,medium,moderate anthocyanin,medium,medium,intense anthocyanin,large,self compatible
CHO 41 [VEN],moderate anthocyanin,medium,slight anthocyanin,medium,medium,moderate anthocyanin,large,self compatible
CHU 2 [VEN],moderate anthocyanin,medium,slight anthocyanin,medium,medium,moderate anthocyanin,medium,self compatible
CLP 170 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,large,self compatible
CUI 32 [VEN],intense anthocyanin,medium,moderate anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
CUI 33 [VEN],intense anthocyanin,medium,moderate anthocyanin,medium,large,intense anthocyanin,medium,self compatible
CUI 38 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,small,intense anthocyanin,medium,-
D 11 [VEN],intense anthocyanin,large,intense anthocyanin,large,medium,intense anthocyanin,medium,-
D 15 [VEN],intense anthocyanin,large,intense anthocyanin,large,medium,intense anthocyanin,large,-
D 4 [VEN],intense anthocyanin,large,slight anthocyanin,medium,medium,intense anthocyanin,large,-
D 5 [VEN],intense anthocyanin,small,slight anthocyanin,small,medium,intense anthocyanin,small,-
HAA 4 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,-
LC 165 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LC 168 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LM 169 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LMR [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LR 5 [VEN],intense anthocyanin,medium,moderate anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LRR 3 [VEN],intense anthocyanin,medium,slight anthocyanin,medium,medium,intense anthocyanin,medium,self compatible
LRV 1 [VEN],intense anthocyanin,medium,slight anthocyanin,large,large,intense anthocyanin,large,self compatible
LVL 2 [VEN],intense anthocyanin,large,slight anthocyanin,large,large,intense anthocyanin,large,self compatible
M 1 [VEN],intense anthocyanin,large,moderate anthocyanin,large,large,intense anthocyanin,large,-
M 2 [VEN],moderate anthocyanin,large,slight anthocyanin,medium,medium,moderate anthocyanin,medium,-
