Clone name,Colour
AM 1 [VEN],intermediate anthocyanin
CBO 159 [VEN],intermediate anthocyanin
CBO 176 [VEN],intense anthocyanin
CBO 177 [VEN],slight anthocyanin
CHO 163 [VEN],intermediate anthocyanin
CHO 163 [VEN],slight anthocyanin
CHO 174 [VEN],slight anthocyanin
CHO 31 [VEN],intense anthocyanin
CHO 41 [VEN],intense anthocyanin
CHU 2 [VEN],slight anthocyanin
CLP 170 [VEN],intermediate anthocyanin
CUI 32 [VEN],intermediate anthocyanin
CUI 33 [VEN],intermediate anthocyanin
CUI 38 [VEN],intermediate anthocyanin
D 11 [VEN],intermediate anthocyanin
D 15 [VEN],intense anthocyanin
D 4 [VEN],intermediate anthocyanin
D 5 [VEN],slight anthocyanin
HAA 4 [VEN],intense anthocyanin
LC 165 [VEN],intense anthocyanin
LC 168 [VEN],intermediate anthocyanin
LM 169 [VEN],slight anthocyanin
LMR [VEN],slight anthocyanin
LR 5 [VEN],intermediate anthocyanin
LRR 3 [VEN],slight anthocyanin
LRV 1 [VEN],slight anthocyanin
LVL 2 [VEN],intermediate anthocyanin
M 1 [VEN],intense anthocyanin
M 2 [VEN],slight anthocyanin
O 14 [VE2],intermediate anthocyanin
OC 60 [VEN],intermediate anthocyanin
OC 61 [VEN],intermediate anthocyanin
OC 73 [VEN],intermediate anthocyanin
OC 77 [VEN],intermediate anthocyanin
PEN 158 [VEN],slight anthocyanin
PLAYA ALTA 1 [VEN],slight anthocyanin
PLAYA ALTA 2 [VEN],slight anthocyanin
PLAYA ALTA 3 [VEN],slight anthocyanin
PLAYA ALTA 4 [VEN],slight anthocyanin
PLAYA ALTA 5 [VEN],intermediate anthocyanin
PORCELANA 1,intermediate anthocyanin
PORCELANA 10,intermediate anthocyanin
PORCELANA 11,slight anthocyanin
PORCELANA 12,slight anthocyanin
PORCELANA 13,intense anthocyanin
PORCELANA 14,slight anthocyanin
PORCELANA 15,slight anthocyanin
PORCELANA 16,slight anthocyanin
PORCELANA 17,slight anthocyanin
PORCELANA 2,intermediate anthocyanin
PORCELANA 21,slight anthocyanin
PORCELANA 3,slight anthocyanin
PQTO 72 [VEN],intense anthocyanin
PQTO 87 [VEN],intense anthocyanin
SC 10 [VEN],intermediate anthocyanin
SC 12 [VEN],slight anthocyanin
SC 20 [VEN],intermediate anthocyanin
SC 9 [VEN],intermediate anthocyanin
VILL 185 [VEN],intense anthocyanin
