Clone name,Shape,Basal form,Apex form
AM 1 [VEN],ovate,rounded,acuminate
CBO 159 [VEN],elliptic,rounded,caudate
CBO 176 [VEN],elliptic,rounded,acuminate
CBO 177 [VEN],elliptic,rounded,acuminate
CHO 163 [VEN],elliptic,rounded,caudate
CHO 163 [VEN],ovate,rounded,acuminate
CHO 174 [VEN],elliptic,rounded,acuminate
CHO 24 [VEN],elliptic,rounded,caudate
CHO 31 [VEN],elliptic,rounded,caudate
CHO 41 [VEN],elliptic,rounded,caudate
CHU 2 [VEN],elliptic,rounded,caudate
CLP 170 [VEN],ovate,rounded,acuminate
CUI 32 [VEN],ovate,rounded,caudate
CUI 33 [VEN],elliptic,rounded,acuminate
CUI 38 [VEN],elliptic,rounded,acuminate
D 11 [VEN],elliptic,rounded,caudate
D 15 [VEN],elliptic,rounded,caudate
D 4 [VEN],elliptic,rounded,caudate
D 5 [VEN],elliptic,rounded,caudate
HAA 4 [VEN],elliptic,rounded,caudate
LC 165 [VEN],elliptic,rounded,caudate
LC 168 [VEN],elliptic,rounded,acuminate
LM 169 [VEN],ovate,rounded,caudate
LMR [VEN],elliptic,rounded,acuminate
LR 5 [VEN],elliptic,rounded,acuminate
LRR 3 [VEN],elliptic,rounded,acuminate
LRV 1 [VEN],elliptic,rounded,acuminate
LVL 2 [VEN],ovate,rounded,acuminate
M 1 [VEN],elliptic,rounded,caudate
M 2 [VEN],elliptic,rounded,caudate
O 14 [VE2],elliptic,rounded,acuminate
OC 60 [VEN],elliptic,rounded,caudate
OC 61 [VEN],elliptic,rounded,acuminate
OC 73 [VEN],elliptic,rounded,acuminate
OC 77 [VEN],lanceolate,obtuse,acuminate
PEN 158 [VEN],elliptic,rounded,caudate
PLAYA ALTA 1 [VEN],elliptic,rounded,caudate
PLAYA ALTA 2 [VEN],elliptic,rounded,caudate
PLAYA ALTA 3 [VEN],elliptic,obtuse,caudate
PLAYA ALTA 4 [VEN],lanceolate,rounded,caudate
PLAYA ALTA 5 [VEN],ovate,rounded,caudate
PORCELANA 1,ovate,rounded,acuminate
PORCELANA 10,elliptic,rounded,caudate
PORCELANA 11,elliptic,rounded,acuminate
PORCELANA 12,elliptic,rounded,acuminate
PORCELANA 13,elliptic,rounded,caudate
PORCELANA 14,elliptic,rounded,caudate
PORCELANA 15,elliptic,rounded,caudate
PORCELANA 16,elliptic,rounded,acuminate
PORCELANA 17,elliptic,rounded,acuminate
PORCELANA 2,ovate,,
PORCELANA 21,elliptic,rounded,acuminate
PQTO 72 [VEN],ovate,rounded,acuminate
PQTO 87 [VEN],elliptic,rounded,acuminate
SC 10 [VEN],elliptic,rounded,acuminate
SC 12 [VEN],lanceolate,rounded,caudate
SC 20 [VEN],ovate,rounded,acuminate
SC 9 [VEN],elliptic,rounded,caudate
VILL 185 [VEN],elliptic,rounded,caudate
