Clone name,Female parent,Male parent,Station,Country,Year,Status
TCS 1,-,-,CORPOICA (Now Agrosavia),Colombia,2014,-
TCS 13,-,-,CORPOICA (Now Agrosavia),Colombia,2017,-
TCS 19,-,-,CORPOICA (Now Agrosavia),Colombia,2017,-
FLE2,-,-,FEDECACAO,Colombia,2000's,-
FLE3,-,-,FEDECACAO,Colombia,2000's,-
FSV41,-,-,FEDECACAO,Colombia,2000's,-
FEC2,-,-,FEDECACAO,Colombia,2000's,-
FTA2,-,-,FEDECACAO,Colombia,2000's,-
FSA11,-,-,FEDECACAO,Colombia,2000's,-
FSA12,-,-,FEDECACAO,Colombia,2000's,-
FEAR5,-,-,FEDECACAO,Colombia,2000's,-
-,PA46,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,P7,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS1,SCA6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS6,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,TSH812,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS39,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS6,TSA654,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS1,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS6,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,IMC67,EET62,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS60,SCA12,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET62,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,IMC67,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS6,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,TSH792,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET400,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS40,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,P7,ICS60,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,TSH565,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS1,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,P7,ICS39,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,P7,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET400,ICS1,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET400,ICS39,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET400,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET400,ICS60,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS95,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,EET96,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,ICS8,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
-,P7,ICS1,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s
