Clone name,Number,Total wet weight,Wet weight
GU 112,30.0,130.0,4.33
GU 113,36.0,95.0,2.64
GU 114,22.0,100.0,4.55
GU 115,14.0,65.0,4.64
GU 116,44.0,175.0,3.98
GU 117,11.0,60.0,5.45
GU 122,33.0,115.0,3.48
GU 123,28.0,130.0,4.64
GU 124,11.0,35.0,3.18
GU 125,39.0,120.0,3.08
GU 126,14.0,85.0,6.07
GU 127,12.0,30.0,2.5
GU 128,28.0,200.0,7.14
GU 129,42.0,150.0,3.57
GU 130,23.0,75.0,3.26
GU 131,18.0,90.0,5.0
GU 132,18.0,70.0,3.89
GU 133,42.0,190.0,4.52
GU 134,24.0,115.0,4.79
GU 135,24.0,85.0,3.54
GU 136,20.0,40.0,2.0
GU 137,38.0,125.0,3.29
GU 138,36.0,110.0,3.06
GU 139,24.0,90.0,3.75
GU 140,38.0,70.0,1.84
GU 141,14.0,60.0,4.29
GU 142,40.0,115.0,2.88
GU 143,31.0,110.0,3.55
GU 144,33.0,110.0,3.33
GU 145,23.0,65.0,2.83
GU 146,25.0,115.0,4.6
GU 147,38.0,150.0,3.95
GU 148,40.0,120.0,3.0
GU 149,38.0,160.0,4.21
GU 150,19.0,50.0,2.63
GU 151,14.0,60.0,4.29
GU 152,27.0,125.0,4.63
GU 153,32.0,115.0,3.59
GU 154,26.0,100.0,3.85
GU 155,15.0,60.0,4.0
GU 156,37.0,120.0,3.24
GU 157,16.0,60.0,3.75
GU 158,22.0,110.0,5.0
GU 159,15.0,45.0,3.0
GU 160,40.0,140.0,3.5
GU 161,41.0,135.0,3.29
GU 162,26.0,55.0,2.12
GU 163,44.0,105.0,2.39
GU 164,38.0,100.0,2.63
GU 165,12.0,35.0,2.92
GU 166,27.0,140.0,5.19
GU 167,22.0,60.0,2.73
GU 168,36.0,80.0,2.22
GU 169,41.0,125.0,3.05
GU 170,37.0,95.0,2.57
GU 171,13.0,40.0,3.08
GU 172,31.0,115.0,3.71
GU 173,28.0,80.0,2.86
GU 174,38.0,120.0,3.16
GU 175,26.0,80.0,3.08
GU 176,21.0,55.0,2.62
GU 177,16.0,60.0,3.75
GU 178,44.0,115.0,2.61
GU 179,25.0,80.0,3.2
GU 180,41.0,180.0,4.39
GU 181,44.0,130.0,2.95
GU 182,23.0,85.0,3.7
GU 183,44.0,140.0,3.18
GU 184,39.0,125.0,3.21
GU 185,29.0,120.0,4.14
GU 186,43.0,135.0,3.14
GU 187,26.0,80.0,3.08
GU 188,40.0,150.0,3.75
GU 189,40.0,105.0,2.63
GU 190,33.0,90.0,2.73
GU 191,12.0,20.0,1.67
GU 192,29.0,70.0,2.41
GU 193,15.0,40.0,2.67
GU 194,14.0,50.0,3.57
GU 195,10.0,50.0,5.0
GU 196,33.0,85.0,2.58
GU 197,23.0,50.0,2.17
GU 198,34.0,95.0,2.79
GU 199,21.0,85.0,4.05
GU 200,12.0,60.0,5.0
GU 201,16.0,40.0,2.5
GU 202,18.0,40.0,2.22
GU 203,32.0,90.0,2.81
GU 204,7.0,25.0,3.57
GU 205,28.0,120.0,4.29
GU 206,37.0,130.0,3.51
GU 207,32.0,130.0,4.06
GU 208,42.0,170.0,4.05
GU 209,18.0,80.0,4.44
GU 210,12.0,40.0,3.33
GU 211,37.0,140.0,3.78
GU 212,13.0,65.0,5.0
GU 213,19.0,80.0,4.21
GU 214,34.0,75.0,2.21
GU 215,30.0,70.0,2.33
GU 216,28.0,80.0,2.86
GU 217,21.0,50.0,2.38
GU 218,27.0,55.0,2.04
GU 219,20.0,70.0,3.5
GU 220,18.0,45.0,2.5
GU 221,32.0,90.0,2.81
GU 222,20.0,60.0,3.0
GU 223,11.0,35.0,3.18
GU 224,29.0,60.0,2.07
GU 225,35.0,115.0,3.29
GU 226,29.0,100.0,3.45
GU 227,39.0,105.0,2.69
GU 228,41.0,140.0,3.41
GU 229,29.0,90.0,3.1
GU 230,19.0,55.0,2.89
GU 231,24.0,90.0,3.75
GU 232,21.0,55.0,2.62
GU 233,30.0,70.0,2.33
GU 234,39.0,110.0,2.82
GU 235,31.0,100.0,3.23
GU 236,18.0,75.0,4.17
GU 237,31.0,80.0,2.58
GU 238,29.0,120.0,4.14
GU 239,2.0,90.0,4.09
GU 240,21.0,85.0,4.05
GU 241,36.0,90.0,2.5
GU 242,8.0,30.0,3.75
GU 243,14.0,50.0,3.57
GU 244,39.0,150.0,3.85
GU 245,44.0,150.0,3.41
GU 246,14.0,35.0,2.5
GU 247,26.0,50.0,1.92
GU 248,30.0,105.0,3.5
GU 249,25.0,80.0,3.2
GU 250,15.0,65.0,4.33
GU 251,35.0,200.0,5.71
GU 252,39.0,135.0,3.46
GU 253,31.0,120.0,3.87
GU 254,37.0,110.0,2.97
GU 255,18.0,60.0,3.33
GU 256,14.0,60.0,4.29
GU 257,39.0,180.0,4.62
GU 258,18.0,60.0,3.33
GU 259,24.0,80.0,3.33
GU 260,27.0,95.0,3.52
GU 261,40.0,140.0,3.5
GU 262,39.0,130.0,3.33
GU 263,10.0,60.0,6.0
GU 264,40.0,170.0,4.25
GU 265,28.0,170.0,6.07
GU 266,46.0,145.0,3.15
GU 267,33.0,100.0,3.03
GU 268,40.0,125.0,3.13
GU 269,36.0,100.0,2.78
GU 270,17.0,65.0,3.82
GU 271,19.0,90.0,4.74
GU 272,40.0,140.0,3.5
GU 273,35.0,120.0,3.43
GU 274,31.0,110.0,3.55
GU 275,31.0,160.0,5.16
GU 276,21.0,75.0,3.57
GU 277,40.0,180.0,4.5
GU 278,22.0,80.0,3.64
GU 279,41.0,145.0,3.54
GU 280,12.0,40.0,3.33
GU 281,36.0,120.0,3.33
GU 282,23.0,70.0,3.04
GU 283,32.0,125.0,3.91
GU 284,37.0,200.0,5.41
GU 285,26.0,75.0,2.88
GU 286,43.0,260.0,6.05
GU 287,11.0,35.0,3.18
GU 288,20.0,70.0,3.5
GU 289,36.0,130.0,3.61
GU 290,19.0,130.0,6.84
GU 291,10.0,40.0,4.0
GU 292,34.0,110.0,3.24
GU 293,37.0,120.0,3.24
GU 294,31.0,120.0,3.87
GU 295,36.0,100.0,2.78
GU 296,33.0,110.0,3.33
GU 297,49.0,125.0,2.55
GU 298,24.0,60.0,2.5
GU 299,17.0,60.0,3.53
GU 300,14.0,40.0,2.86
GU 301,37.0,85.0,2.3
GU 302,36.0,110.0,3.06
GU 303,10.0,45.0,4.5
GU 304,11.0,35.0,3.18
GU 305,32.0,70.0,2.19
GU 306,24.0,75.0,3.13
GU 307,13.0,40.0,3.08
GU 308,41.0,130.0,3.17
GU 309,19.0,60.0,3.16
GU 310,17.0,70.0,4.12
GU 311,19.0,55.0,2.89
GU 312,14.0,40.0,2.86
GU 313,19.0,50.0,2.63
GU 314,12.0,30.0,2.5
GU 315,49.0,145.0,2.96
GU 316,17.0,80.0,4.71
GU 317,18.0,55.0,3.06
GU 318,13.0,30.0,2.31
GU 319,13.0,45.0,3.46
GU 320,17.0,60.0,3.53
GU 321,33.0,110.0,3.33
GU 322,42.0,100.0,2.38
GU 323,28.0,90.0,3.21
GU 324,14.0,50.0,3.57
GU 325,41.0,95.0,2.32
GU 326,13.0,30.0,2.31
GU 327,40.0,180.0,4.5
GU 328,35.0,75.0,2.14
GU 329,16.0,50.0,3.13
GU 330,13.0,45.0,3.46
GU 331,21.0,70.0,3.33
GU 332,10.0,35.0,3.5
GU 333,15.0,40.0,2.67
GU 334,40.0,100.0,2.5
GU 335,28.0,120.0,4.29
GU 336,21.0,65.0,3.1
GU 337,22.0,70.0,3.18
GU 338,34.0,80.0,2.35
GU 339,13.0,50.0,3.85
GU 340,39.0,135.0,3.46
GU 341,37.0,140.0,3.78
GU 342,45.0,125.0,2.78
GU 343,27.0,100.0,3.7
GU 344,34.0,65.0,1.91
GU 345,37.0,125.0,3.38
GU 346,14.0,20.0,1.43
GU 347,26.0,70.0,2.69
GU 348,7.0,10.0,1.43
GU 349,22.0,60.0,2.73
GU 350,42.0,115.0,2.74
GU 351,10.0,50.0,5.0
GU 352,17.0,55.0,3.24
GU 353,32.0,120.0,3.75
GU 354,20.0,70.0,3.5
GU 355,38.0,110.0,2.89
GU 358,36.0,125.0,3.47
GU 359,37.0,125.0,3.38
