Clone name,Basal constriction,Apex form,Rugosity,Ridge desc,Length,Breadth,Weight,Husk weight,Length breadth ratio
GU 112,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",-,-,470.0,340.0,-
GU 113,slight,acute,slight - moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",150.0,80.0,280.0,185.0,1.88
GU 114,slight,rounded,very slight - slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",150.0,85.0,320.0,220.0,1.76
GU 115,slight,rounded,smooth,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",115.0,80.0,220.0,155.0,1.44
GU 116,slight,mammillate,smooth,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",155.0,90.0,415.0,240.0,1.72
GU 117,slight,rounded,-,-,150.0,80.0,340.0,280.0,1.88
GU 122,slight,rounded,smooth,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,95.0,415.0,300.0,1.37
GU 123,slight,rounded,smooth,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",130.0,90.0,380.0,250.0,1.44
GU 124,slight,rounded,very slight - slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",105.0,75.0,255.0,220.0,1.40
GU 125,slight,rounded,very slight - slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",135.0,80.0,380.0,260.0,1.69
GU 126,very slight,acute,slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",135.0,75.0,315.0,230.0,1.80
GU 127,moderate,acuminate,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,60.0,155.0,125.0,2.00
GU 128,very slight,acute,intense,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",190.0,90.0,720.0,520.0,2.11
GU 129,slight - moderate,rounded,slight - moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",145.0,85.0,455.0,305.0,1.71
GU 130,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",125.0,70.0,295.0,220.0,1.79
GU 131,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,80.0,415.0,325.0,1.88
GU 132,slight,acute,slight - moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",140.0,75.0,285.0,215.0,1.87
GU 133,moderate,mammillate,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",150.0,85.0,440.0,250.0,1.76
GU 134,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,85.0,485.0,370.0,1.82
GU 135,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,80.0,410.0,325.0,1.88
GU 136,moderate,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,70.0,260.0,220.0,1.86
GU 137,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,80.0,485.0,360.0,2.00
GU 138,moderate,-,very slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",140.0,80.0,365.0,255.0,1.75
GU 139,slight - moderate,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,80.0,390.0,300.0,1.88
GU 140,slight - moderate,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",135.0,80.0,440.0,370.0,1.69
GU 141,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,65.0,245.0,185.0,1.85
GU 142,moderate,acuminate,slight - moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",150.0,70.0,345.0,230.0,2.14
GU 143,slight,acute,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",140.0,90.0,425.0,315.0,1.56
GU 144,slight,acute,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,75.0,300.0,190.0,1.73
GU 145,slight,acute,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,70.0,240.0,175.0,1.71
GU 146,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,460.0,345.0,1.67
GU 147,slight,rounded,very slight - slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",140.0,85.0,410.0,260.0,1.65
GU 148,absent,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,85.0,475.0,355.0,1.88
GU 149,slight,rounded,very slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",170.0,85.0,495.0,335.0,2.00
GU 150,slight,rounded,intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",135.0,85.0,365.0,315.0,1.59
GU 151,moderate,-,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",125.0,75.0,260.0,200.0,1.67
GU 152,moderate,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,95.0,555.0,430.0,1.63
GU 153,slight,acute,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",150.0,75.0,390.0,275.0,2.00
GU 154,slight,rounded,moderate - intense,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",150.0,80.0,370.0,270.0,1.88
GU 155,slight,rounded,intense,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",125.0,75.0,310.0,250.0,1.67
GU 156,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,80.0,430.0,310.0,1.81
GU 157,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,80.0,360.0,300.0,1.75
GU 158,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,75.0,310.0,200.0,1.73
GU 159,slight,acuminate,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,80.0,335.0,290.0,1.81
GU 160,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,85.0,470.0,330.0,2.00
GU 161,slight - moderate,mammillate,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,85.0,400.0,265.0,1.65
GU 162,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",110.0,75.0,225.0,170.0,1.47
GU 163,slight,mammillate,very slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",140.0,85.0,355.0,250.0,1.65
GU 164,slight,rounded,very slight - slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",145.0,90.0,380.0,280.0,1.61
GU 165,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",90.0,70.0,155.0,120.0,1.29
GU 166,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",135.0,90.0,380.0,240.0,1.50
GU 167,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,75.0,225.0,165.0,1.60
GU 168,very slight,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,80.0,280.0,200.0,1.63
GU 169,very slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",130.0,90.0,410.0,285.0,1.44
GU 170,very slight,rounded,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",100.0,90.0,400.0,305.0,1.67
GU 171,slight,-,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",100.0,80.0,220.0,180.0,1.25
GU 172,slight,-,very slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",135.0,85.0,335.0,220.0,1.59
GU 173,slight,mammillate,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,80.0,295.0,215.0,1.75
GU 174,slight,rounded,very slight - slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",160.0,90.0,375.0,255.0,1.78
GU 175,slight,acute,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,80.0,270.0,190.0,1.63
GU 176,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",110.0,80.0,225.0,170.0,1.38
GU 177,moderate,acute,very slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",100.0,80.0,180.0,120.0,1.25
GU 178,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",190.0,85.0,465.0,350.0,2.24
GU 179,moderate,-,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,85.0,330.0,250.0,2.00
GU 180,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",200.0,100.0,605.0,425.0,2.00
GU 181,moderate,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,395.0,265.0,1.72
GU 182,slight,acute,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",135.0,90.0,350.0,265.0,1.50
GU 183,moderate,rounded,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",165.0,100.0,510.0,370.0,1.65
GU 184,slight,rounded,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,85.0,380.0,255.0,1.65
GU 185,moderate,mammillate,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,85.0,360.0,240.0,1.65
GU 186,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,435.0,300.0,1.72
GU 187,moderate,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,85.0,370.0,290.0,1.76
GU 188,slight,-,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,420.0,270.0,1.72
GU 189,slight,-,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",145.0,90.0,405.0,300.0,1.61
GU 190,moderate,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",160.0,90.0,400.0,310.0,1.78
GU 191,slight - moderate,acute,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",150.0,75.0,180.0,160.0,1.47
GU 192,slight,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,80.0,350.0,280.0,1.88
GU 193,slight,-,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,280.0,240.0,1.75
GU 194,very slight,acute,very slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",105.0,80.0,275.0,225.0,1.50
GU 195,slight,rounded,very slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,85.0,200.0,150.0,1.31
GU 196,slight,acute,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,80.0,295.0,210.0,1.53
GU 197,slight,acute,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",130.0,80.0,240.0,190.0,1.63
GU 198,slight,acute,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",130.0,80.0,320.0,225.0,1.63
GU 199,slight,rounded,moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",120.0,80.0,235.0,150.0,1.50
GU 200,slight,rounded,moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",100.0,75.0,220.0,160.0,1.33
GU 201,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",90.0,60.0,125.0,85.0,1.50
GU 202,slight,rounded,slight,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",85.0,55.0,130.0,90.0,1.55
GU 203,slight,mammillate,moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",115.0,80.0,290.0,200.0,1.44
GU 204,moderate,acute,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",95.0,65.0,130.0,105.0,1.46
GU 205,slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",135.0,90.0,405.0,285.0,1.50
GU 206,slight,acute,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,440.0,310.0,1.72
GU 207,very slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,85.0,380.0,250.0,1.65
GU 208,very slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,90.0,555.0,385.0,1.78
GU 209,moderate,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",110.0,85.0,260.0,180.0,1.29
GU 210,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",105.0,80.0,235.0,195.0,1.31
GU 211,slight,-,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,85.0,410.0,270.0,1.71
GU 212,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",95.0,70.0,190.0,125.0,1.36
