Clone name,Female parent,Male parent,Station,Country
RB 9 [CIV],UPA 603,IFC 409,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 857 [CIV],T85/799,IFC 15,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 801 [CIV],IFC 29,IFC 303,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 800 [CIV],IFC 303,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 799 [CIV],SCA 6,LF 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 798 [CIV],PA 150,POR,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 797 [CIV],POR,T60/887,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 796 [CIV],MOQ 413,SCA 6,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 795 [CIV],T 79/501,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 720 [CIV],IFC 720,ICS 46,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 608 [CIV],T85/799,IFC 5,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 6 [CIV],SCA 6,ICS 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 490 [CIV],UPA 409,POR,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 435 [CIV],T 79/416,IFC 306,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 321 [CIV],NA 32,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 155 [CIV],PA 150,IFC 5,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 153 [CIV],UPA 608,IFC 412,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 140 [CIV],UPA 419,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 124 [CIV],UPA 409,IFC 1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 117 [CIV],UPA 405,IFC 412,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H 109 [CIV],UPA 402,IFC 410,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
H [CIV],N 38,GU 133/1,"Cote d'Ivoire, Centre National de Recherche Agronomique (CNRA)",Cote d'Ivoire
