Clone name,Pathogen,Reaction,Infection,Info,Part
DR 1,Vascular Streak Dieback,tolerant,-,,
DR 1,Vascular Streak Dieback,resistant,-,,
EET 236 [ECU],Vascular Streak Dieback,tolerant,-,,
EET 236 [ECU],Vascular Streak Dieback,resistant,-,,
EET 353 [ECU],Vascular Streak Dieback,resistant,-,,
EET 381 [ECU],Vascular Streak Dieback,resistant,-,,
EET 390 [ECU],Vascular Streak Dieback,tolerant,-,,
EET 390 [ECU],Vascular Streak Dieback,resistant,-,,
EET 399 [ECU],Vascular Streak Dieback,tolerant,-,,
EET 399 [ECU],Vascular Streak Dieback,resistant,-,,
EET 67 [ECU],Vascular Streak Dieback,tolerant,-,,
EET 67 [ECU],Vascular Streak Dieback,resistant,-,,
GA 57 [MAY],Vascular Streak Dieback,tolerant,-,,
GA 57 [MAY],Vascular Streak Dieback,resistant,-,,
GS 29,Vascular Streak Dieback,tolerant,-,,
GS 29,Vascular Streak Dieback,resistant,-,,
I 230 [IDN],Vascular Streak Dieback,tolerant,-,,
I 230 [IDN],Vascular Streak Dieback,resistant,-,,
IMC 14,Canker,,30.00,Percentage infection of trunk.,Trunk
IMC 67,Vascular Streak Dieback,resistant,-,,
IMC 67,Canker,,10.00,Percentage infection of trunk.,Trunk
KA 2 /106,Vascular Streak Dieback,resistant,-,,
PA 13 [PER],Vascular Streak Dieback,tolerant,-,,
PA 13 [PER],Vascular Streak Dieback,resistant,-,,
PBC 113,Canker,,40.00,Percentage infection of trunk.,Trunk
POUND 11,Vascular Streak Dieback,tolerant,-,,
POUND 11,Vascular Streak Dieback,resistant,-,,
RIM 106 [MEX],Vascular Streak Dieback,tolerant,-,,
RIM 106 [MEX],Vascular Streak Dieback,resistant,-,,
RIM 15 [MEX],Vascular Streak Dieback,tolerant,-,,
RIM 15 [MEX],Vascular Streak Dieback,resistant,-,,
RIM 23 [MEX],Vascular Streak Dieback,tolerant,-,,
RIM 23 [MEX],Vascular Streak Dieback,resistant,-,,
SCA 12,Vascular Streak Dieback,tolerant,-,,
SCA 12,Vascular Streak Dieback,resistant,-,,
SPA 12 [COL],Vascular Streak Dieback,tolerant,-,,
SPA 12 [COL],Vascular Streak Dieback,resistant,-,,
UF 11,Vascular Streak Dieback,tolerant,-,,
UF 11,Vascular Streak Dieback,resistant,-,,
UF 36,Vascular Streak Dieback,tolerant,-,,
UF 36,Vascular Streak Dieback,resistant,-,,
UF 677,Canker,,10.00,Percentage infection of trunk.,Trunk
