Clone name,Pathogen,Reaction,Info,Part,Notes
AM 1 [BR2],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
AM 2 [BR2],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
AMAZ 15 /15,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
AMAZ 5 /2,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
APA 4,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
APA 4,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
BB 1-33 [BR2],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
BB 1-33 [BR2],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
BB 6018 [BR2],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
BB 6021 [BR2],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
BB 6021 [BR2],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
BE 10,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
BE 4,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CAB 5003 /23,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
CATIE 1000,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CATONGO,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CB 205 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CB1 205,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CCN 10,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
CCN 34,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CCN 51,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 10,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 11,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 12,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 13,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 14,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 15,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
CEPEC 15,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
CEPEC 16,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 17,Ceratosystis,susceptible,Based on mycelium growth.,Branch,Classed as Very Susceptible
CEPEC 18,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 19,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 38,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 42,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 515,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Also classed as Very Susceptible based on perithecia production.
CEPEC 74,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 86,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 89,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CEPEC 90,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
CHU 120 [VEN],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
FSU 7,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
BB 6020 [BR2],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FSU 727,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
RS 903 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
HR 29,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
HR 20,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
HR 20,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
FADA 18,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TR 36 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
TR 36 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
CSF 22,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
CSF 22,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
C SUL 3,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
C SUL 7,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
C SUL 9,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
DF 1,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
DF 1,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
EET 377 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 390 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 392 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 397 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 399 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 45 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
EET 59 [ECU],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
EQX 107 [EQX],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SAN MIGUEL 3360 /3 [CHA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FADA 100,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FF 38,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FL 16,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FL 29,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
FL 29,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
FLN 30,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
FSR 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FSU 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
FSU 13,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FSU 151,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
FSU 77,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
FSU 77,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
GM 33,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on perithecia production.
GU 175 /V,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on perithecia production.
GU 225,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
IAC 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
ICS 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
ICS 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
ICS 9,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
ICS 95,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
IMC 67,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
IMC 67,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
IMC 76,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
IMC 47,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
JACA,Ceratosystis,resistant,Based on mycelium growth and the production of perithecia.,Branch,-
LF 1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
LCT EEN 46,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
LCT EEN 37 /L,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
MA 16 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
MAN 15 /2 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
MO 20,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
MO 98,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
MOCORONGO,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
MOQ 2 /16,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
MXC 67,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
NA 33,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
NV 77,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
NV SV-1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
POUND 4 /B,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
POUND 7,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PA 107 [PER],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PA 120 [PER],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on perithecia production.
PA 150 [PER],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PAT 118,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PAT 84,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PB 617,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
PH 16 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
PH 16 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
POUND 11,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Also classed as Very Susceptible based on perithecia production.
PS57 1,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
PS57 1,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
PS57 111,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
PS57 111,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
RB 36 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
RB 39 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
RS 309 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
RS 309 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
RS 316 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
RT 6 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
RT 6 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
RT 9 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
RT 9 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
RT 106 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
