Clone name,Pathogen,Reaction,Part,Notes
CCN 51,Ceratosystis,susceptible,Seedling,"Origin of material: Almirante Cacau, Barro Preto"
CEPEC 42,Ceratosystis,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
FB 17,Ceratosystis,intermediate,Seedling,"Origin of material: Faz.São Bento, Uruçuca"
FB 21,Ceratosystis,resistant,Seedling,"Origin of material: Faz.Brasileira, Uruçuca"
LP 6 [BRA],Ceratosystis,resistant,Seedling,"Origin of material: Faz. Lagoa Pequena, Ilhéus"
Parazinho,Ceratosystis,resistant,Seedling,"Origin of material: Faz. Camacan, Bueararema"
PH 159 [BRA],Ceratosystis,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
PH 16 [BRA],Ceratosystis,susceptible,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória"
PH 92 [BRA],Ceratosystis,intermediate,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória"
PH 9 [BRA],Ceratosystis,intermediate,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória"
ROXO 10,Ceratosystis,susceptible,Seedling,"Origin of material: Faz. Enferrujada, Ilhéus"
SCA 6 x CP 14 [BRA],Ceratosystis,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
SL 70 [BRA],Ceratosystis,resistant,Seedling,"Origin of material: Faz. São Lourenço, Ilhéus"
SM 2 [BRA],Ceratosystis,intermediate,Seedling,"Origin of material: Faz. Brasileira, Uruçuca"
SSV 2,Ceratosystis,susceptible,Seedling,"Origin of material: Faz. Sempre Viva, Uruçuca"
Theobahia,Ceratosystis,susceptible,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
TR 1 [BRA],Ceratosystis,resistant,Seedling,"Origin of material: Faz. Transval, Itabuna"
TSA 644 x COMUM TIPICO,Ceratosystis,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
TSH 1188,Ceratosystis,resistant,Seedling,"Origin of material: Almirante Cacau, Barro Preto"
VB 1151,Ceratosystis,resistant,Seedling,"Origin of material: Faz. São Bento, Uruçuca"
VB 1138,Ceratosystis,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
VB 1151,Ceratosystis,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
VB 1156,Ceratosystis,intermediate,Seedling,"Origin of material: Faz. Brasileira, Uruçuca"
VB 1134,Ceratosystis,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
VB 1139,Ceratosystis,resistant,Seedling,"Origin of material: Faz. São Bento, Uruçuca"
VB 681,Ceratosystis,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus"
VP 1,Ceratosystis,intermediate,Seedling,"Origin of material: Faz.Valparaiso, Uruçuca"
