Clone name,Colour,Colour purple,Colour white,Shape,Size,Info
AHUANO 1,-,+,+,-,-,expedition data
AHUANO 2,-,+,+,-,-,expedition data
AHUANO 3,-,+,+,-,-,expedition data
AHUANO 4,-,+,+,-,-,expedition data
ANTIGUA URBINA 1,-,+,+,-,-,expedition data
ANTIGUA URBINA 2,-,+,+,-,-,expedition data
ANTIGUA URBINA 3,-,+,+,-,-,expedition data
ARCHIDONA 1,-,+,-,-,-,expedition data
ARCHIDONA 2,-,+,-,-,-,expedition data
ARCHIDONA 3,-,+,-,-,-,expedition data
ARCHIDONA 4,-,+,-,-,-,expedition data
ARCHIDONA 5,-,-,+,-,-,expedition data
BELLO HORIZONTE 1,-,+,+,-,-,expedition data
BELLO HORIZONTE 2,-,-,+,-,-,expedition data
BELLO HORIZONTE 3,-,+,-,-,-,expedition data
C SUL 10,purple,-,-,flat,small,expedition data
C SUL 11,purple,-,-,flat,small,expedition data
C SUL 12,purple,-,-,cylindrical,small,expedition data
C SUL 2,purple,-,-,-,small,expedition data
C SUL 6,purple,-,-,-,small,expedition data
C SUL 7,purple,-,-,flat,medium,expedition data
CA 1 [BRA],purple,-,-,cylindrical,medium,expedition data
CA 2 [BRA],purple,-,-,oval,medium,expedition data
CA 3 [BRA],purple,-,-,flat,medium,expedition data
CA 4 [BRA],purple,-,-,cylindrical,small,expedition data
CA 5 [BRA],purple,-,-,oval,small,expedition data
CA 6 [BRA],purple,-,-,flat,small,expedition data
CAMPAMENTO 1,-,+,+,-,-,expedition data
CJ 1 [BRA],purple,-,-,flat,small,expedition data
CJ 10 [BRA],purple,-,-,-,medium,expedition data
CJ 11 [BRA],purple,-,-,flat,small,expedition data
CJ 12 [BRA],purple,-,-,flat,medium,expedition data
CJ 2 [BRA],purple,-,-,cylindrical,medium,expedition data
CJ 3 [BRA],purple,-,-,cylindrical,medium,expedition data
CJ 4 [BRA],purple,-,-,flat,medium,expedition data
CJ 5 [BRA],purple,-,-,flat,small,expedition data
CJ 6 [BRA],purple,-,-,flat,small,expedition data
CJ 7 [BRA],purple,-,-,flat,small,expedition data
CJ 8 [BRA],purple,-,-,oval,small,expedition data
CJ 9 [BRA],purple,-,-,flat,small,expedition data
FATIMA 2,-,+,-,-,-,expedition data
JU 1,purple,-,-,cylindrical,small,expedition data
JU 10,purple,-,-,cylindrical,small,expedition data
JU 2,purple,-,-,oval,small,expedition data
JU 3,light purple,-,-,flat,small,expedition data
JU 4,purple,-,-,flat,small,expedition data
JU 5,purple,-,-,flat,small,expedition data
JU 6,purple,-,-,cylindrical,large,expedition data
JU 8,purple,-,-,cylindrical,small,expedition data
JU 9,purple,-,-,cylindrical,small,expedition data
LIMON COCHA 1,-,-,+,-,-,expedition data
LIMON COCHA 2,-,+,+,-,-,expedition data
LIMON COCHA 3,-,-,+,-,-,expedition data
LIMON COCHA 4,-,-,+,-,-,expedition data
MACAS 1,-,+,-,-,-,expedition data
MACAS 2,-,+,-,-,-,expedition data
MACAS 3,-,+,-,-,-,expedition data
MIRANDA 1,-,-,+,-,-,expedition data
MIRANDA 2,-,-,+,-,-,expedition data
MIRANDA 3,-,-,+,-,-,expedition data
MIRANDA 4,-,-,+,-,-,expedition data
MOA 4,purple,-,-,cylindrical,medium,expedition data
MOTOLO 1,-,+,-,-,-,expedition data
MOTOLO 2,-,+,-,-,-,expedition data
MOTOLO 3,-,+,-,-,-,expedition data
MOTOLO 4,-,+,-,-,-,expedition data
NAPO 1 [DZ],-,-,+,-,-,expedition data
NAPO 2 [DZ],-,-,+,-,-,expedition data
NUEVO ROCAFUERT 1,-,+,-,-,-,expedition data
SAN RAFAEL 1,-,+,-,-,-,expedition data
SILECIA 9 [ECU],-,+,-,-,-,expedition data
SUCUA 1,-,+,+,-,-,expedition data
SUCUA 2,-,+,+,-,-,expedition data
SUCUA 3,-,+,+,-,-,expedition data
TENA 1,-,+,-,-,-,expedition data
TENA 2,-,+,-,-,-,expedition data
VILLA HILDA 1,-,-,+,-,-,expedition data
