Clone name,Pathogen,Reaction,Part
AB 1 [BRA],Witches' Broom,Occasional,Expedition data
AHUANO 1,Witches' Broom,Absent,Expedition data
AHUANO 2,Witches' Broom,Absent,Expedition data
AHUANO 3,Witches' Broom,Absent,Expedition data
AHUANO 4,Witches' Broom,Absent,Expedition data
ANTIGUA URBINA 1,Witches' Broom,Absent,Expedition data
ANTIGUA URBINA 2,Witches' Broom,Absent,Expedition data
ANTIGUA URBINA 3,Witches' Broom,Absent,Expedition data
ARCHIDONA 1,Witches' Broom,Absent,Expedition data
ARCHIDONA 2,Witches' Broom,Absent,Expedition data
ARCHIDONA 3,Witches' Broom,Absent,Expedition data
ARCHIDONA 4,Witches' Broom,Absent,Expedition data
ARCHIDONA 5,Witches' Broom,Absent,Expedition data
BELLO HORIZONTE 1,Witches' Broom,Occasional,Expedition data
BELLO HORIZONTE 2,Witches' Broom,Absent,Expedition data
BELLO HORIZONTE 3,Witches' Broom,Absent,Expedition data
C SUL 1,Witches' Broom,Absent,Expedition data
C SUL 10,Witches' Broom,Absent,Expedition data
C SUL 11,Witches' Broom,Present,Expedition data
C SUL 12,Witches' Broom,Present,Expedition data
C SUL 2,Witches' Broom,Present,Expedition data
C SUL 3,Witches' Broom,Absent,Expedition data
C SUL 4,Witches' Broom,Absent,Expedition data
C SUL 5,Witches' Broom,Absent,Expedition data
C SUL 6,Witches' Broom,Absent,Expedition data
C SUL 7,Witches' Broom,Absent,Expedition data
C SUL 8,Witches' Broom,Absent,Expedition data
C SUL 9,Witches' Broom,Absent,Expedition data
CA 1 [BRA],Witches' Broom,Present,Expedition data
CA 2 [BRA],Witches' Broom,Absent,Expedition data
CA 3 [BRA],Witches' Broom,Absent,Expedition data
CA 4 [BRA],Witches' Broom,Absent,Expedition data
CA 5 [BRA],Witches' Broom,Absent,Expedition data
CA 6 [BRA],Witches' Broom,Present,Expedition data
CJ 1 [BRA],Witches' Broom,Absent,Expedition data
CJ 10 [BRA],Witches' Broom,Present,Expedition data
CJ 11 [BRA],Witches' Broom,Present,Expedition data
CJ 12 [BRA],Witches' Broom,Absent,Expedition data
CJ 2 [BRA],Witches' Broom,Absent,Expedition data
CJ 3 [BRA],Witches' Broom,Absent,Expedition data
CJ 4 [BRA],Witches' Broom,Absent,Expedition data
CJ 5 [BRA],Witches' Broom,Absent,Expedition data
CJ 6 [BRA],Witches' Broom,Present,Expedition data
CJ 7 [BRA],Witches' Broom,Absent,Expedition data
CJ 8 [BRA],Witches' Broom,Absent,Expedition data
CJ 9 [BRA],Witches' Broom,Present,Expedition data
FATIMA 2,Witches' Broom,Absent,Expedition data
JU 1,Witches' Broom,Absent,Expedition data
JU 10,Witches' Broom,Present,Expedition data
JU 2,Witches' Broom,Absent,Expedition data
JU 3,Witches' Broom,Absent,Expedition data
JU 4,Witches' Broom,Absent,Expedition data
JU 5,Witches' Broom,Absent,Expedition data
JU 6,Witches' Broom,Absent,Expedition data
JU 7,Witches' Broom,Absent,Expedition data
JU 8,Witches' Broom,Absent,Expedition data
JU 9,Witches' Broom,Absent,Expedition data
LIMON COCHA 1,Witches' Broom,Absent,Expedition data
LIMON COCHA 2,Witches' Broom,Absent,Expedition data
LIMON COCHA 3,Witches' Broom,Absent,Expedition data
LIMON COCHA 4,Witches' Broom,Absent,Expedition data
MACAS 1,Witches' Broom,Present,(Fan Brooms) Expedition data
MACAS 3,Witches' Broom,Absent,Expedition data
MIRANDA 1,Witches' Broom,Absent,Expedition data
MIRANDA 2,Witches' Broom,Absent,Expedition data
MIRANDA 3,Witches' Broom,Absent,Expedition data
MIRANDA 4,Witches' Broom,Absent,Expedition data
MOA 1,Witches' Broom,Absent,Expedition data
MOA 2,Witches' Broom,Absent,Expedition data
MOA 4,Witches' Broom,Absent,Expedition data
MOTOLO 1,Witches' Broom,Absent,Expedition data
MOTOLO 2,Witches' Broom,Absent,Expedition data
MOTOLO 3,Witches' Broom,Absent,Expedition data
MOTOLO 4,Witches' Broom,Absent,Expedition data
NAPO 1 [DZ],Witches' Broom,Absent,Expedition data
NAPO 2 [DZ],Witches' Broom,Absent,Expedition data
NUEVO ROCAFUERT 1,Witches' Broom,Absent,Expedition data
SAN LUIS 1,Witches' Broom,Absent,Expedition data
SAN RAFAEL 1,Witches' Broom,Absent,Expedition data
SE 1 [B67],Witches' Broom,Absent,Expedition data
SILECIA 9 [ECU],Witches' Broom,Absent,Expedition data
SUCUA 1,Witches' Broom,Absent,Expedition data
SUCUA 2,Witches' Broom,Absent,Expedition data
SUCUA 3,Witches' Broom,Present,(Cushion Brooms) Expedition data
TENA 1,Witches' Broom,Absent,Expedition data
TENA 2,Witches' Broom,Absent,Expedition data
VIEJA ARMENIA 1,Witches' Broom,Absent,Expedition data
VILLA HILDA 1,Witches' Broom,Absent,Expedition data
