Clone name,Stamen colour,Info
AB 1 [BRA],anthocyanin present,expedition data
C SUL 1,anthocyanin present,expedition data
C SUL 10,anthocyanin absent,expedition data
C SUL 12,anthocyanin present,expedition data
C SUL 2,anthocyanin present,expedition data
C SUL 7,anthocyanin absent,expedition data
CA 1 [BRA],anthocyanin present,expedition data
CA 2 [BRA],anthocyanin present,expedition data
CA 3 [BRA],anthocyanin absent,expedition data
CA 4 [BRA],anthocyanin absent,expedition data
CA 5 [BRA],anthocyanin present,expedition data
CA 6 [BRA],anthocyanin present,expedition data
JU 1,anthocyanin present,expedition data
JU 10,anthocyanin present,expedition data
JU 4,anthocyanin present,expedition data
JU 5,anthocyanin present,expedition data
JU 8,anthocyanin absent,expedition data
JU 9,anthocyanin absent,expedition data
MOA 1,anthocyanin present,expedition data
