Clone name,Shape,Rugosity,Size,Colour,Info
AB 1 [BRA],amelonado,-,medium,green,-
ANTIGUA URBINA 1,amelonado,-,-,-,expedition data
ANTIGUA URBINA 2,amelonado,-,-,-,expedition data
ANTIGUA URBINA 3,amelonado,-,-,-,expedition data
ARCHIDONA 1,amelonado,-,-,-,expedition data
ARCHIDONA 2,amelonado,-,-,-,expedition data
ARCHIDONA 3,amelonado,-,-,-,expedition data
ARCHIDONA 4,amelonado,-,-,-,expedition data
C SUL 1,amelonado,-,medium,green,-
C SUL 10,amelonado,smooth,medium,green,-
C SUL 11,cylindrical,-,medium,green - white,-
C SUL 12,cylindrical,moderate,medium,green,-
C SUL 2,cylindrical,intense,medium,green,-
C SUL 6,amelonado,smooth,medium,green,-
C SUL 7,-,moderate,small,green,-
C SUL 9,amelonado,moderate,medium,green - white,-
CA 1 [BRA],cundeamor,intense,medium,green,-
CA 2 [BRA],cundeamor,intense,large,green - white,-
CA 3 [BRA],amelonado,smooth,medium,green,-
CA 4 [BRA],cundeamor,moderate,large,green,-
CA 5 [BRA],amelonado,smooth,-,green,-
CA 6 [BRA],amelonado,smooth,medium,green,-
CJ 1 [BRA],cylindrical,smooth,medium,green - white,-
CJ 10 [BRA],amelonado,smooth,medium,green - white,-
CJ 11 [BRA],amelonado,-,large,green - white,-
CJ 12 [BRA],cylindrical,smooth,large,white,-
CJ 2 [BRA],amelonado,-,medium,green - white,-
CJ 3 [BRA],amelonado,smooth,medium,green - white,-
CJ 4 [BRA],amelonado,smooth,medium,green,-
CJ 5 [BRA],amelonado,-,medium,green - white,-
CJ 6 [BRA],amelonado,smooth,medium,green,-
CJ 7 [BRA],amelonado,moderate,medium,green,-
CJ 8 [BRA],cylindrical,moderate,large,green - white,-
CJ 9 [BRA],cylindrical,moderate,small,green - white,-
JU 1,cylindrical,moderate,small,green - white,-
JU 10,cylindrical,intense,medium,green,-
JU 2,amelonado,smooth,small,green,-
JU 3,amelonado,smooth,small,green,-
JU 4,amelonado,smooth,medium,green - white,-
JU 5,amelonado,moderate,large,green,-
JU 6,amelonado,intense,medium,green - white,-
JU 7,amelonado,-,small,green,-
JU 8,amelonado,smooth,small,green,-
JU 9,cylindrical,intense,small,green,-
LIMON COCHA 2,amelonado,-,-,-,expedition data
LIMON COCHA 3,amelonado,-,-,-,expedition data
LIMON COCHA 4,amelonado,-,-,-,expedition data
MOA 2,amelonado,moderate,medium,green - white,-
MOA 4,amelonado,smooth,medium,green - white,-
SE 1 [B67],amelonado,-,-,green,-
SILECIA 9 [ECU],amelonado,-,-,-,expedition data
TENA 1,amelonado,-,-,-,expedition data
TENA 2,amelonado,-,-,-,expedition data
