Female parent,Male parent,Station,Country,Producer,Status
IMC 60,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
UPA 143,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
UPA 337,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
PA 70,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
BBK 726,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
P7,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
PA 7,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
GU 255/V,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
GU 144/C,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
IMC 67,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
PA 107,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
PA 150,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
SCA 12,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
SCA 6,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
SCA 24,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
T 60/887,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
T 79/501,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
UPA 134,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK630,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,ICS 84,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK15,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK413,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK64,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK608,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,SNK620,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,TIKO32,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,BBK1016,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
-,BBK109,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,PSCC/IRAD,current
